Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Anne Hathaway,7,What was the name of William Shakespeare's wife?  ,290,0.88,0,2775.60000000149,q,S,1959.2999999970198,6149.60000000149,HRV,HRV_0208,2022-11-30 18:52:00
the skin and bones of animals,6,What is gelatin made from?,445,1.414,1,6149.60000000149,p,K,3169.6999999955297,11259.20000000298,HRV,HRV_0208,2022-11-30 18:52:00
Tse-tse fly,6,What transmits the disease typanosomiasis to humans and cattle? ,267,1.437,2,11259.29999999702,q,S,2316.5,15529.29999999702,HRV,HRV_0208,2022-11-30 18:52:00
Endeavour ,2,What is the name of the ship that carried Captain Cook to Australia?  ,208,0.854,3,15529.39999999851,q,S,2229.89999999851,19149.60000000149,HRV,HRV_0208,2022-11-30 18:52:00
Mountain Dew,3,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.543,4,19149.60000000149,q,S,3193.39999999851,24408.89999999851,HRV,HRV_0208,2022-11-30 18:52:00
Apple sauce,1,What was the first food eaten in space?,435,1.873,5,24409.10000000149,q,S,1758.7999999970198,28567.39999999851,HRV,HRV_0208,2022-11-30 18:52:00
Criss-Cross ,4,What was the game of Scrabble originally called? ,286,0.766,6,28567.39999999851,q,S,1623.8999999985099,31492.29999999702,HRV,HRV_0208,2022-11-30 18:52:00
Green Eggs and Ham,7,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,0.796,7,31492.29999999702,q,S,2851.10000000149,35663.10000000149,HRV,HRV_0208,2022-11-30 18:52:00
Rafflesia (corpse lily) ,3,What is the largest flower in the world? ,204,0.69,8,35663.10000000149,q,S,2120.2999999970198,38996.70000000298,HRV,HRV_0208,2022-11-30 18:52:00
The names of the Great Lakes ,7,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,0.553,9,38996.79999999702,q,S,2938.3000000044703,43008.60000000149,HRV,HRV_0208,2022-11-30 18:52:00
Bed ,2,"Shakespeare mentioned his wife only once in his will, making her the odd bequest of his ""second best"" what? ",82,1.591,10,43008.60000000149,q,S,3550.60000000149,48671.89999999851,HRV,HRV_0208,2022-11-30 18:52:00
Teeth,2,"One in every 2,000 babies is born with what? ",77,1.756,11,48672.0,q,S,2567.7999999970198,53521.89999999851,HRV,HRV_0208,2022-11-30 18:52:00
cooking,2,"If you suffer from Mageirocophobia, what are you scared of?",438,1.971,12,53521.89999999851,q,S,2005.3999999985099,58028.89999999851,HRV,HRV_0208,2022-11-30 18:52:00
The paper clip,4,"""Gem"" is the trade name for the most common, three-loop design of what?",4,0.929,13,58028.89999999851,q,S,2914.2000000029802,62391.29999999702,HRV,HRV_0208,2022-11-30 18:52:00
spiced ham,6,What two words were combined to make the word Spam?,426,1.33,14,62391.29999999702,q,S,2959.3000000044703,67201.5,HRV,HRV_0208,2022-11-30 18:52:00
Thomas Hardy,7,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,1.876,15,67201.60000000149,q,S,3325.7999999970198,72937.10000000149,HRV,HRV_0208,2022-11-30 18:52:00
All in the Family ,1,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.675,16,72937.10000000149,q,S,2766.7999999970198,77906.10000000149,HRV,HRV_0208,2022-11-30 18:52:00
Coca-Cola,2,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.444,17,77906.20000000298,q,S,2524.89999999851,82404.29999999702,HRV,HRV_0208,2022-11-30 18:52:00
Spiro Agnew ,3,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,0.725,18,82404.29999999702,q,S,2563.0,86212.20000000298,HRV,HRV_0208,2022-11-30 18:52:00
Australia,5,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.319,19,86212.20000000298,q,S,2914.7999999970198,90977.0,HRV,HRV_0208,2022-11-30 18:52:00
Mouse,3,What is the most common mammal in the U.S.? ,205,1.432,20,90977.0,q,S,1798.2000000029802,94730.0,HRV,HRV_0208,2022-11-30 18:52:00
The Atlas,4,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,1.604,21,94730.10000000149,q,S,2413.1999999955297,99279.39999999851,HRV,HRV_0208,2022-11-30 18:52:00
Let's spend some time together,2,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.092,22,99279.39999999851,q,S,3248.39999999851,104143.5,HRV,HRV_0208,2022-11-30 18:52:00
Fiber is the gut bacteria's preferred fuel source. ,2,What food is most beneficial for your gut bacteria?,458,1.753,23,104143.5,q,S,2047.7000000029802,108472.29999999702,HRV,HRV_0208,2022-11-30 18:52:00
Museum of Modern Art in NYC ,2,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.736,24,108472.29999999702,q,S,2870.8000000044703,113603.29999999702,HRV,HRV_0208,2022-11-30 18:52:00
"Gaslight CafÃ©, Greenwich Village",5,Where did Bob Dylan first play in public? ,314,0.581,25,113603.39999999851,q,S,2043.8999999985099,116763.20000000298,HRV,HRV_0208,2022-11-30 18:52:00
Saffron,1,What is the most expensive spice (by weight) in the world?,431,1.027,26,116763.29999999702,q,S,2412.0,120716.79999999702,HRV,HRV_0208,2022-11-30 18:52:00
Vietnam,5,"In what country did the domesticated ""potbellied pig"" originate?",61,1.249,27,120716.79999999702,q,S,2234.4000000059605,124728.5,HRV,HRV_0208,2022-11-30 18:52:00
"Portland, Oregon",1,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.051,28,124728.5,q,S,2855.39999999851,129157.0,HRV,HRV_0208,2022-11-30 18:52:00
Bruce Springsteen's Born in the USA ,2,What was the first CD pressed for commerical release in the U.S.?,282,0.841,29,129157.0,q,S,2106.2000000029802,132641.6000000015,HRV,HRV_0208,2022-11-30 18:52:00
Nutmeg,3,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,1.267,30,132641.70000000298,q,S,2997.5,137428.20000000298,HRV,HRV_0208,2022-11-30 18:52:00
pastry,1,Choux and filo are two types of what food product?,446,1.61,31,137428.20000000298,p,K,3563.5,143133.79999999702,HRV,HRV_0208,2022-11-30 18:52:00
Bacon,1,"In Britain, what kind of meat comes in rashers?",397,0.795,32,143133.79999999702,q,S,1937.4000000059605,146393.5,HRV,HRV_0208,2022-11-30 18:52:00
Germany,5,Which European country was the first to produce decaffeinated coffee? ,412,0.675,33,146393.6000000015,q,S,2917.6999999955297,150517.1000000015,HRV,HRV_0208,2022-11-30 18:52:00
Mung beans ,4,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,0.637,34,150517.20000000298,p,K,5650.0999999940395,157330.1000000015,HRV,HRV_0208,2022-11-30 18:52:00
