Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,exp,subjectId,date
Kiwi,2,"Which bird species has survived more than 70 million years, despite the fact that it lays one egg a year and is nearly blind?",331,1.351,0,3158.099999964237,12661.899999976158,,,,HRV,HRV_0270,2022-11-30 20:15:51
Spiro Agnew ,3,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,1.064,1,12662.0,19066.69999998808,q,S,4827.199999988079,HRV,HRV_0270,2022-11-30 20:15:51
American Beauty,2,What Oscar-winning Best Picture is named for a type of rose? ,240,0.686,2,19066.80000001192,23875.099999964237,q,S,3606.399999976158,HRV,HRV_0270,2022-11-30 20:15:51
AstroTurf ,5,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,1.691,3,23875.19999998808,29995.899999976158,q,S,3918.0,HRV,HRV_0270,2022-11-30 20:15:51
Chicago,1,What city has the only drive-thru post office in the world? ,147,1.197,4,29995.899999976158,34589.30000001192,q,S,2885.300000011921,HRV,HRV_0270,2022-11-30 20:15:51
An otter,1,What animal lives in a holt? ,133,0.603,5,34589.30000001192,37628.80000001192,q,S,1923.7999999523163,HRV,HRV_0270,2022-11-30 20:15:51
Tuxedo Club ,2,What New York country club lent its name to the kind of dinner jacket first worn there in 1886?  ,238,1.419,6,37628.89999997616,43729.30000001192,q,S,4172.300000011921,HRV,HRV_0270,2022-11-30 20:15:51
Belgium,5,Where were French fries invented?,437,1.625,7,43729.30000001192,48013.5,q,S,2143.899999976158,HRV,HRV_0270,2022-11-30 20:15:51
Peanuts ,5,What snack food is an ingredient in the explosive dynamite?  ,408,1.054,8,48013.59999996424,53654.5,q,S,4067.600000023842,HRV,HRV_0270,2022-11-30 20:15:51
The La Brea tar pits ,1,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.034,9,53654.59999996424,59583.19999998808,q,S,4378.400000035763,HRV,HRV_0270,2022-11-30 20:15:51
Penny Marshall,6,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,0.88,10,59583.19999998808,65308.80000001192,q,S,4329.800000011921,HRV,HRV_0270,2022-11-30 20:15:51
Haricot beans,1,Baked beans are made from what type of bean?,443,0.761,11,65308.89999997616,70777.19999998808,p,K,4196.100000023842,HRV,HRV_0270,2022-11-30 20:15:51
The Ritz (Hotel),4,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,1.222,12,70777.39999997616,76660.0,q,S,4151.699999988079,HRV,HRV_0270,2022-11-30 20:15:51
Love Me Do ,5,What was The Beatles's first song to hit the UK charts?,280,0.855,13,76660.0,81268.5,q,S,3237.199999988079,HRV,HRV_0270,2022-11-30 20:15:51
Pet Rocks,4,What imports from a Baja California beach made Gary Drahl a millionaire in late 1975?,186,1.408,14,81268.59999996424,86901.69999998808,q,S,3708.600000023842,HRV,HRV_0270,2022-11-30 20:15:51
School buses were painted yellow,6,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,9,0.572,15,86901.80000001192,92065.39999997616,q,S,4083.399999976158,HRV,HRV_0270,2022-11-30 20:15:51
Woodrow Wilson ,3,"Which U.S. president declared the first national ""Mother's Day""?  ",355,0.919,16,92065.5,95833.80000001192,q,S,2335.699999988079,HRV,HRV_0270,2022-11-30 20:15:51
Uncle Tom's Cabin ,5,What was the first American novel to sell one million copies? ,281,1.035,17,95834.0,99143.19999998808,q,S,1759.0999999642372,HRV,HRV_0270,2022-11-30 20:15:51
A wiki,6,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,1.06,18,99143.19999998808,103541.39999997616,q,S,2826.0,HRV,HRV_0270,2022-11-30 20:15:51
Paris,7,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,0.848,19,103541.5,108079.0,q,S,3179.699999988079,HRV,HRV_0270,2022-11-30 20:15:51
Dorito is Spanish for little golden things,3,What does Dorito actually mean?,434,0.551,20,108079.0,111595.0,q,S,2450.0,HRV,HRV_0270,2022-11-30 20:15:51
All in the Family ,7,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,0.602,21,111595.0,116358.30000001192,q,S,3646.199999988079,HRV,HRV_0270,2022-11-30 20:15:51
The Notorious BIG,4,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,1.744,22,116358.30000001192,123755.5,p,K,5138.699999988079,HRV,HRV_0270,2022-11-30 20:15:51
Poison-arrow frog,3,"Which animal's poison could kill up to 2,200 people? ",329,1.124,23,123755.5,129080.59999996424,q,S,3685.699999988079,HRV,HRV_0270,2022-11-30 20:15:51
Untethered space walk,7,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,1.337,24,129080.59999996424,135471.39999997616,q,S,4544.400000035763,HRV,HRV_0270,2022-11-30 20:15:51
Avocado,2,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,0.971,25,135471.39999997616,140556.5,q,S,3601.800000011921,HRV,HRV_0270,2022-11-30 20:15:51
Walt Disney,6,Which person has been awarded the most Oscars ever? ,349,1.699,26,140556.5,145193.80000001192,q,S,2428.599999964237,HRV,HRV_0270,2022-11-30 20:15:51
Botany Bay,5,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.511,27,145193.80000001192,151360.59999996424,q,S,4143.299999952316,HRV,HRV_0270,2022-11-30 20:15:51
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,5,What is the most fattening product in the modern diet?,457,1.789,28,151360.69999998808,156049.30000001192,p,K,2392.5,HRV,HRV_0270,2022-11-30 20:15:51
The Atlas,7,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,0.63,29,156049.39999997616,161735.89999997616,q,S,4543.699999988079,HRV,HRV_0270,2022-11-30 20:15:51
Pancreas,2,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,0.985,30,161735.89999997616,166951.0,q,S,3721.300000011921,HRV,HRV_0270,2022-11-30 20:15:51
Patch Addams ,6,"What doctor, whose life was fictionalized in a 1998 film, founded the Gesundheit! Institute and named his oldest son ""Atomic Zagnut""?",166,0.789,31,166951.0,171884.39999997616,q,S,3634.199999988079,HRV,HRV_0270,2022-11-30 20:15:51
Camel,1,Which animal's milk does not curdle? ,328,1.594,32,171884.5,177446.59999996424,p,K,3452.699999988079,HRV,HRV_0270,2022-11-30 20:15:51
Green Eggs and Ham,2,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.708,33,177446.59999996424,183405.5,q,S,3738.5,HRV,HRV_0270,2022-11-30 20:15:51
Sri Lanka,1,Ninety percent of the world's true cinnamon comes from what island nation? ,74,1.688,34,183405.69999998808,188915.89999997616,q,S,3315.399999976158,HRV,HRV_0270,2022-11-30 20:15:51
Betty Rubble,7,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,1.915,35,188915.89999997616,195251.59999996424,q,S,3909.300000011921,HRV,HRV_0270,2022-11-30 20:15:51
Columbus Circle ,4,What Manhattan intersection was America's first traffic circle?,228,1.17,36,195251.69999998808,200703.89999997616,q,S,3765.5,HRV,HRV_0270,2022-11-30 20:15:51
Bono ,4,What singer took his stage name from a Dublin hearing aid billboard?  ,257,1.416,37,200703.89999997616,206531.80000001192,q,S,3905.199999988079,HRV,HRV_0270,2022-11-30 20:15:51
