Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Death,5,"In ancient Egypt, what was the penalty for killing a cat?",58,1.264,0,2108.5,t,W,2802.2000000476837,7432.300000071526,11446.0,5,580.1000000238419,13805.0,HRV,HRV_0093,2022-12-01 06:00:44
Genetics,2,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,1.508,1,13805.100000023842,q,S,1778.7000000476837,,,,,17614.5,HRV,HRV_0093,2022-12-01 06:00:44
honey,4,Which is the only food that can never go off or go bad?,442,1.149,2,17614.5,p,K,2468.600000023842,,,,,21753.600000023842,HRV,HRV_0093,2022-12-01 06:00:44
Black,2,What color lipstick did silent movie stars wear?  ,151,1.786,3,21753.600000023842,t,W,2308.899999976158,26581.700000047684,30591.900000095367,4,1346.1999999284744,34241.60000002384,HRV,HRV_0093,2022-12-01 06:00:44
Mountain Dew,6,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.013,4,34241.60000002384,p,K,4179.700000047684,,,,,39961.60000002384,HRV,HRV_0093,2022-12-01 06:00:44
Endeavour ,7,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.446,5,39961.60000002384,p,K,1661.3000000715256,,,,,43585.5,HRV,HRV_0093,2022-12-01 06:00:44
60 fragments per 100 gram ,4,What amount of insects does the FDA allow in chocolate,453,0.713,6,43585.60000002384,t,W,2077.899999976158,48185.800000071526,52192.10000002384,5,3245.0,56668.5,HRV,HRV_0093,2022-12-01 06:00:44
A Hawaiian goose,6,What is a nene?,195,1.557,7,56668.5,q,S,2632.4000000953674,,,,,61384.800000071526,HRV,HRV_0093,2022-12-01 06:00:44
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",1,Cooking which food requires over two years of training?,461,0.626,8,61384.800000071526,p,K,2244.899999976158,,,,,64776.300000071526,HRV,HRV_0093,2022-12-01 06:00:44
Pancreas,2,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,1.529,9,64776.40000009537,p,K,3993.0999999046326,,,,,70812.70000004768,HRV,HRV_0093,2022-12-01 06:00:44
Oregon ,7,"The world's smallest park, measuring two feet in diameter, is located in what U.S. state? ",112,1.103,10,70812.70000004768,p,K,2832.899999976158,,,,,75273.60000002384,HRV,HRV_0093,2022-12-01 06:00:44
Thomas Crapper,5,What was the unfortunate name of the plumber who helped popularize and improve the flush toilet? ,294,0.944,11,75273.60000002384,t,W,4171.600000023842,81967.80000007153,85977.90000009537,4,1819.7999999523163,89265.5,HRV,HRV_0093,2022-12-01 06:00:44
Brazil,4,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,0.777,12,89265.60000002384,t,W,3475.600000023842,95265.70000004768,99272.10000002384,5,1452.0,102017.60000002384,HRV,HRV_0093,2022-12-01 06:00:44
Jose Castro ,6,"What Mexican general, who governed California for four months in 1835, would probably be surprised by how he's remembered in San Francisco today?",231,1.066,13,102017.60000002384,q,S,2238.899999976158,,,,,105848.60000002384,HRV,HRV_0093,2022-12-01 06:00:44
