Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Coca-cola,1,What popular drink was first marketed as a brain tonic?,405,1.25,0,1913.7000000001863,q,S,3983.7999999998137,7663.5,,HRV,HRV_0307,2022-11-30 22:17:17
State quarters ,2,What's been released five times a year from January 1999 to fall 2008?,300,1.52,1,7663.5,q,S,2954.2999999998137,12665.5,,HRV,HRV_0307,2022-11-30 22:17:17
James Brown,1,"When asked to define ""cool,"" what two words did James Brown use? ",312,1.989,2,12665.599999999627,q,S,2423.9000000003725,17599.5,,HRV,HRV_0307,2022-11-30 22:17:17
Pachyderm,2,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.809,3,17599.5,q,S,1842.0999999996275,21786.599999999627,,HRV,HRV_0307,2022-11-30 22:17:17
Untethered space walk,5,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,1.729,4,21786.599999999627,q,S,2390.9000000003725,26430.599999999627,,HRV,HRV_0307,2022-11-30 22:17:17
The Super Bowl ,6,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,1.489,5,26430.599999999627,q,S,2106.9000000003725,30542.099999999627,,HRV,HRV_0307,2022-11-30 22:17:17
Saffron,6,What is the most expensive spice (by weight) in the world?,431,0.664,6,30542.099999999627,p,K,2923.800000000745,34646.299999999814,,HRV,HRV_0307,2022-11-30 22:17:17
Avocados have twice the amount of potassium as bananas. ,1,Which fruit has more potassium than bananas?,455,0.657,7,34646.299999999814,q,S,2187.2000000001863,38009.5,,HRV,HRV_0307,2022-11-30 22:17:17
60 fragments per 100 gram ,7,What amount of insects does the FDA allow in chocolate,453,0.756,8,38009.5,q,S,3392.0,42682.59999999963,,HRV,HRV_0307,2022-11-30 22:17:17
Excalibur,7,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",14,1.283,9,42682.700000000186,q,S,2927.2000000001863,47407.59999999963,,HRV,HRV_0307,2022-11-30 22:17:17
