Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Cadabra.com ,3,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,0.599,0,3601.399999976158,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 5857.100000023842, 'date time': 1669833132928}]",q,S,4390.800000071526,9124.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Monday,3,The risk of heart attack is highest on which day of the week?,104,1.98,1,9124.5,,q,S,2338.399999976158,13975.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Speed of wind,3,What does an anemometer measure? ,168,1.35,2,13975.600000023842,,q,S,1513.7999999523163,17349.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Pancreas,4,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,0.742,3,17349.5,,q,S,2744.2000000476837,21348.399999976158,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Rafflesia (corpse lily) ,6,What is the largest flower in the world? ,204,1.211,4,21348.399999976158,,t,W,3349.600000023842,34034.799999952316,27225.0,31244.700000047684,4,1051.8999999761581,HRV,HRV_0215,2022-11-30 18:42:11
Bumblebee bat,3,"Which mammal is the world's smallest, weighing less than a penny? ",347,0.685,5,34034.89999997616,,q,S,3465.100000023842,38716.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Medicine,1,What industry uses 20% of China's harvested plants?  ,188,0.556,6,38716.5,,q,S,3185.5,42980.700000047684,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The Discovery,1,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,0.51,7,42980.89999997616,,q,S,2340.5,46361.10000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The Pope,1,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",32,1.608,8,46361.200000047684,,q,S,2112.7999999523163,50626.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
"Portland, Oregon",1,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.379,9,50626.60000002384,,q,S,2783.600000023842,55325.60000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
