Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
New Jersey's Rutgers,1,Which U.S. state's leading public university is the only one not to be named for the state?  ,357,1.64,0,14805.299999952316,q,S,4821.700000047684,21804.699999928474,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Germany,6,Which European country was the first to produce decaffeinated coffee? ,412,0.833,1,21804.799999952316,p,K,3337.899999976158,26497.299999952316,,,,,HRV,HRV_0245,2022-11-30 19:13:14
The Leek ,5,"What bulb vegetable is traditionally worn on Saint David's Day, as it's a national symbol of Wales?",145,1.473,2,26497.299999952316,p,K,5624.399999976158,34113.5,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Matches,1,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,1.916,3,34113.60000002384,q,S,3447.899999976158,40004.10000002384,,,,,HRV,HRV_0245,2022-11-30 19:13:14
cheese ,4,What item of food holds the world record for being the most stolen item of food in the world?,444,1.48,4,40004.10000002384,q,S,4062.399999976158,46079.0,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Louie Louie,4,What 1963 song led to a thirty-one month FBI investigation into supposed obscenities hidden in its unintelligible lyrics?,122,0.545,5,46079.0,t,W,8058.100000023842,63681.0,56678.0,60712.799999952316,3,1878.8000000715256,HRV,HRV_0245,2022-11-30 19:13:14
Brine Shrimp ,5,"What kind of animal is Artemia Salina, the ""sea monkey"" of novelty pet ad fame? ",222,1.655,6,63681.10000002384,q,S,2619.2999999523163,68485.79999995232,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Jamaica Bay,6,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,0.503,7,68485.89999997616,q,S,3729.399999976158,73245.79999995232,,,,,HRV,HRV_0245,2022-11-30 19:13:14
The Oxford English Dictionary,4,"W.C. Minor, a murderer, spent the last decades of his life in an insane asylum writing hundreds of entries for what reference work? ",121,1.041,8,73245.79999995232,q,S,6663.0,81483.0,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Teapot Dome scandal,3,Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ,19,0.579,9,81483.10000002384,q,S,7626.199999928474,90202.79999995232,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Let's spend some time together,1,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.984,10,90202.89999997616,,,,99726.5,,,,,HRV,HRV_0245,2022-11-30 19:13:14
The I Ching,1,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",80,1.037,11,99726.5,t,W,3424.1999999284744,112343.0,105692.29999995232,109697.39999997616,1,1090.6000000238419,HRV,HRV_0245,2022-11-30 19:13:14
Botany Bay,4,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.826,12,112343.0,q,S,4872.600000023842,119570.10000002384,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Library of Congress,3,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",48,1.843,13,119570.10000002384,t,W,5888.5,136510.39999997616,127979.29999995232,131998.19999992847,,,HRV,HRV_0245,2022-11-30 19:13:14
USA,6,Which country invented volleyball?   ,340,1.742,14,136510.5,q,S,5597.5,144388.5,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Hawaii,7,Where is the only royal palace in the United States? ,321,1.178,15,144388.5,p,K,4807.0,150892.19999992847,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Tobacco,5,"In 2005, Bhutan became the first country to entirely ban what?",57,1.356,16,150892.19999992847,q,S,4088.7000000476837,156858.19999992847,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Abraham Lincoln ,5,"What president has three ""A's"" in his first name, each of which has a different sound? ",246,0.99,17,156858.29999995232,q,S,6202.0,164574.19999992847,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Radar,1,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,1.188,18,164574.19999992847,t,W,3445.9000000953674,178435.79999995232,170534.5,174549.79999995232,2,2168.600000023842,HRV,HRV_0245,2022-11-30 19:13:14
The popsicle,5,Which popular treat was invented by an 11-year-old in California? ,413,1.22,19,178435.89999997616,q,S,3338.100000023842,183516.60000002384,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Molasses,1,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",10,1.68,20,183516.69999992847,q,S,4247.400000095367,189963.29999995232,,,,,HRV,HRV_0245,2022-11-30 19:13:14
The crocodile,3,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.789,21,189963.39999997616,q,S,4896.299999952316,197187.0,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Sepia,3,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.524,22,197187.0,q,S,4527.5,203759.79999995232,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Oklahoma,7,"What U.S. state has the slogan ""Native America"" on its license plates?",271,1.928,23,203759.79999995232,p,K,5617.100000023842,211825.0,,,,,HRV,HRV_0245,2022-11-30 19:13:14
Broccoli! ,6,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,0.525,24,211825.10000002384,,,,221343.60000002384,,,,,HRV,HRV_0245,2022-11-30 19:13:14
