Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
New York,1,Which state has the zip code 12345?,354,1.49,0,2492.9000000059605,t,W,3806.199999988079,8816.5,12828.09999999404,4,2006.9000000059605,16853.19999998808,HRV,HRV_0034,2022-11-30 17:51:28
Carbon,2,What element must be burned out of pig iron to make steel? ,170,1.985,1,16853.19999998808,q,S,5414.300000011921,,,,,24768.30000001192,HRV,HRV_0034,2022-11-30 17:51:28
Rooster,6,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,1.355,2,24768.40000000596,t,W,6982.299999982119,34270.59999999404,38295.90000000596,1,863.5,41050.30000001192,HRV,HRV_0034,2022-11-30 17:51:28
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,7,Whice fruit is effective than coffee at waking you up in the morning?,454,1.645,3,41050.40000000596,t,W,6633.199999988079,50198.40000000596,54223.40000000596,4,2459.7999999821186,58847.09999999404,HRV,HRV_0034,2022-11-30 17:51:28
Kansas City ,5,The first suburban shopping center in the U.S. was established in what city?,99,0.669,4,58847.19999998808,q,S,3780.7000000178814,,,,,63816.19999998808,HRV,HRV_0034,2022-11-30 17:51:28
Sapphire,6,What type of stone is referred to as the Star of India?  ,270,0.768,5,63816.19999998808,q,S,5458.600000023842,,,,,70559.59999999404,HRV,HRV_0034,2022-11-30 17:51:28
Sic semper tyrannis ,3,What state motto of Virginia did John Wilkes Booth shout as he jumped from Lincoln's box to the stage of Ford's Theatre? ,262,1.37,6,70559.80000001192,t,W,6679.0999999940395,79761.0,83780.40000000596,2,2146.699999988079,87815.5,HRV,HRV_0034,2022-11-30 17:51:28
Aluminum,3,Bauxite ore is mined so it can be processed into what metal?,25,1.396,7,87815.5,q,S,4439.800000011921,,,,,94177.30000001192,HRV,HRV_0034,2022-11-30 17:51:28
Monday,1,The risk of heart attack is highest on which day of the week?,104,0.671,8,94177.40000000596,t,W,3038.0999999940395,99743.0,103767.80000001192,3,2003.7999999821186,106971.19999998808,HRV,HRV_0034,2022-11-30 17:51:28
Aerie,7,What name is given to an eagle's nest?   ,235,0.531,9,106971.40000000596,t,W,4567.799999982119,114056.59999999404,118066.09999999404,2,1401.2000000178814,120509.0,HRV,HRV_0034,2022-11-30 17:51:28
Jim Lovell,3,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.175,10,120509.0,q,S,4982.199999988079,,,,,127183.0,HRV,HRV_0034,2022-11-30 17:51:28
Koala,1,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,1.838,11,127183.09999999404,t,W,5376.5999999940395,135088.80000001192,139101.19999998808,3,2402.100000023842,143862.59999999404,HRV,HRV_0034,2022-11-30 17:51:28
Saffron,6,What is the most expensive spice (by weight) in the world?,431,1.502,12,143862.59999999404,t,W,5520.300000011921,151895.5,155912.0,4,1907.199999988079,159852.0,HRV,HRV_0034,2022-11-30 17:51:28
Chitty Chitty Bang Bang ,3,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.222,13,159852.09999999404,q,S,3719.5,,,,,165313.30000001192,HRV,HRV_0034,2022-11-30 17:51:28
Ear ,3,"The pinna is the outer, visible part of what?",103,0.751,14,165313.30000001192,t,W,4377.299999982119,172211.19999998808,176227.59999999404,3,2656.4000000059605,180153.80000001192,HRV,HRV_0034,2022-11-30 17:51:28
Egypt,5,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,0.856,15,180153.90000000596,q,S,5237.299999982119,,,,,186760.90000000596,HRV,HRV_0034,2022-11-30 17:51:28
Pressure,2,What is measured in millibars? ,202,0.79,16,186761.0,t,W,3934.5999999940395,193227.30000001192,197246.0,3,2473.199999988079,201041.80000001192,HRV,HRV_0034,2022-11-30 17:51:28
Kayak,2,An umiak is a larger version of what? ,20,1.644,17,201042.0,t,W,4588.800000011921,208142.69999998808,212156.5,2,2850.699999988079,217173.5,HRV,HRV_0034,2022-11-30 17:51:28
