Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Sao Paulo,4,What's the most populous city in the Southern Hemisphere?,304,0.661,0,2586.2999999523163,t,W,5402.700000047684,10514.299999952316,14532.100000143051,5,711.2999999523163,16422.299999952316,HRV,HRV_0086,2022-11-30 17:55:52
There was a pound of every ingredient in the original reciipe. ,7,How did the pound cake get its name?,460,1.823,1,16422.400000095367,t,W,2018.0999999046326,20977.700000047684,24992.10000014305,5,662.8999998569489,28007.200000047684,HRV,HRV_0086,2022-11-30 17:55:52
Bruce Springsteen's Born in the USA ,5,What was the first CD pressed for commerical release in the U.S.?,282,0.946,2,28007.200000047684,t,W,3277.7999999523163,33811.200000047684,37829.5,5,609.0,39917.700000047684,HRV,HRV_0086,2022-11-30 17:55:52
Mountain Dew,3,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.389,3,39917.700000047684,t,W,5350.0,47795.200000047684,51816.700000047684,5,1164.9000000953674,54900.0,HRV,HRV_0086,2022-11-30 17:55:52
Patch Addams ,2,"What doctor, whose life was fictionalized in a 1998 film, founded the Gesundheit! Institute and named his oldest son ""Atomic Zagnut""?",166,1.144,4,54900.0,t,W,4711.5,62133.40000009537,66155.40000009537,5,555.0,68383.40000009537,HRV,HRV_0086,2022-11-30 17:55:52
An ostrich egg yolk ,7,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,1.502,5,68383.60000014305,t,W,5235.799999952316,76161.90000009537,80173.20000004768,4,849.7000000476837,83062.79999995232,HRV,HRV_0086,2022-11-30 17:55:52
Roulette,6,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,1.331,6,83062.79999995232,t,W,5098.5,90695.20000004768,94703.0,5,738.0,97286.60000014305,HRV,HRV_0086,2022-11-30 17:55:52
The Millenium Falcon ,3,"What could be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",156,1.245,7,97286.60000014305,t,W,5146.899999856949,104959.70000004768,108969.5,5,523.9000000953674,111268.5,HRV,HRV_0086,2022-11-30 17:55:52
lobster,2,Which expensive restaurant item used to be fed to pisinors and servants?,449,0.619,8,111268.5,t,W,4554.600000143051,118345.20000004768,122372.0,5,515.5,124019.70000004768,HRV,HRV_0086,2022-11-30 17:55:52
Texas,1,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",67,0.879,9,124019.90000009537,t,W,3163.5,129720.20000004768,133733.5,5,668.2000000476837,135810.40000009537,HRV,HRV_0086,2022-11-30 17:55:52
Aerie,2,What name is given to an eagle's nest?   ,235,1.736,10,135810.40000009537,t,W,2632.2999999523163,140984.40000009537,144998.40000009537,5,899.5,148167.5,HRV,HRV_0086,2022-11-30 17:55:52
Boston Tea Party,5,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",94,1.867,11,148167.60000014305,t,W,4398.199999809265,155090.29999995232,159108.90000009537,5,1051.2000000476837,162555.40000009537,HRV,HRV_0086,2022-11-30 17:55:52
KISS ,3,"According to the Guinness Book of Records, what was the loudest rock band ever?",13,0.524,12,162555.40000009537,t,W,3524.0999999046326,168617.70000004768,172620.40000009537,5,678.7999999523163,174348.70000004768,HRV,HRV_0086,2022-11-30 17:55:52
8 Mile Road ,4,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",254,1.006,13,174349.0,t,W,5218.799999952316,182096.5,186104.60000014305,5,506.19999980926514,188128.10000014305,HRV,HRV_0086,2022-11-30 17:55:52
Graham Greene,3,"Which British novelist said, ""Fame is a powerful aphrodisiac""?",332,1.635,14,188128.10000014305,t,W,3524.0999999046326,194182.5,198193.40000009537,5,616.8999998569489,200965.60000014305,HRV,HRV_0086,2022-11-30 17:55:52
