Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Charles Babbage ,7,"What inventor of the Difference Engine once baked himself in an oven for five minutes, ""to see what would happen""?",192,1.381,0,5152.5,q,S,3646.0999999940395,10707.59999999404,HRV,HRV_0110,2022-11-30 17:56:04
Gecko,1,What is the only type of lizard that has a voice? ,213,1.03,1,10707.70000000298,q,S,1828.199999988079,14094.70000000298,HRV,HRV_0110,2022-11-30 17:56:04
Liffey,4,What river runs through Dublin?   ,253,0.992,2,14094.70000000298,q,S,1768.699999988079,17380.79999999702,HRV,HRV_0110,2022-11-30 17:56:04
The Beatles' Rain ,4,What was the first rock song ever to feature hidden messages in the form of back-masked vocals?  ,284,1.106,3,17380.89999999106,q,S,2442.1000000089407,21458.39999999106,HRV,HRV_0110,2022-11-30 17:56:04
Quotations ,5,What did the letter Q originally stand for in NASDAQ?  ,165,1.929,4,21458.5,q,S,2741.0999999940395,26648.39999999106,HRV,HRV_0110,2022-11-30 17:56:04
China,2,Which country first used the decimal system?  ,338,0.845,5,26648.5,q,S,1615.2000000029802,29625.89999999106,HRV,HRV_0110,2022-11-30 17:56:04
Radar,2,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,1.333,6,29625.89999999106,q,S,3164.6000000089407,34646.5,HRV,HRV_0110,2022-11-30 17:56:04
Rechargeable batteries,3,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,0.745,7,34646.59999999404,q,S,3177.1000000089407,39088.79999999702,HRV,HRV_0110,2022-11-30 17:56:04
Nutmeg,1,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.655,8,39088.79999999702,q,S,1543.2999999970198,41818.09999999404,HRV,HRV_0110,2022-11-30 17:56:04
Mung beans ,6,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,0.897,9,41818.09999999404,q,S,1853.7999999970198,45094.89999999106,HRV,HRV_0110,2022-11-30 17:56:04
AstroTurf ,1,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,1.775,10,45094.89999999106,q,S,1745.300000011921,49144.5,HRV,HRV_0110,2022-11-30 17:56:04
North Korea,3,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",120,1.593,11,49144.5,q,S,3793.5,55053.29999999702,HRV,HRV_0110,2022-11-30 17:56:04
Social Security,3,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,0.752,12,55053.39999999106,q,S,2505.4000000059605,58845.39999999106,HRV,HRV_0110,2022-11-30 17:56:04
Vietnam,7,"In what country did the domesticated ""potbellied pig"" originate?",61,0.61,13,58845.39999999106,q,S,2874.5,62851.5,HRV,HRV_0110,2022-11-30 17:56:04
Dragonflies,1,"Which insect, one of the fastest, can fly at speeds up to 60 mph? ",342,0.849,14,62851.59999999404,q,S,1764.7999999970198,65983.89999999106,HRV,HRV_0110,2022-11-30 17:56:04
Giant squid,3,What is the largest creature without a backbone? ,203,0.961,15,65983.89999999106,q,S,3224.1000000089407,70697.0,HRV,HRV_0110,2022-11-30 17:56:04
Pandemonium,7,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,0.948,16,70697.09999999404,q,S,3639.4000000059605,75792.79999999702,HRV,HRV_0110,2022-11-30 17:56:04
Robert Lincoln ,1,Who was the only person to be nearby at three different presidential assassinations? ,382,0.616,17,75792.89999999106,q,S,4151.9000000059605,81072.0,HRV,HRV_0110,2022-11-30 17:56:04
Mouse,1,What is the most common mammal in the U.S.? ,205,1.861,18,81072.0,q,S,2583.5,86029.5,HRV,HRV_0110,2022-11-30 17:56:04
The barrel of a gun,3,"According to Chairman Mao, ""political power grows out of"" what?",11,1.116,19,86029.5,p,K,2769.0,90442.39999999106,HRV,HRV_0110,2022-11-30 17:56:04
chickpeas,4,What is used to make hummus?,424,1.417,20,90442.39999999106,p,K,1501.7000000029802,93890.39999999106,HRV,HRV_0110,2022-11-30 17:56:04
Speed of wind,6,What does an anemometer measure? ,168,0.696,21,93890.5,q,S,1564.7000000029802,96664.0,HRV,HRV_0110,2022-11-30 17:56:04
George Orwell ,1,"Whose first book was ""Down and Out in Paris and London"", about his year among the poverty-stricken underclass of those cities?",388,1.324,22,96664.0,q,S,2254.7000000029802,100764.20000000298,HRV,HRV_0110,2022-11-30 17:56:04
Sudan,5,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.059,23,100764.20000000298,q,S,3051.5999999940395,105410.89999999106,HRV,HRV_0110,2022-11-30 17:56:04
Tim McGraw,6,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,1.129,24,105411.0,q,S,5371.899999991059,112429.89999999106,HRV,HRV_0110,2022-11-30 17:56:04
Untethered space walk,3,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,1.824,25,112429.89999999106,q,S,4505.800000011921,119281.09999999404,HRV,HRV_0110,2022-11-30 17:56:04
Near Alaska,7,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,0.725,26,119281.09999999404,q,S,2558.4000000059605,123078.79999999702,HRV,HRV_0110,2022-11-30 17:56:04
Everything ,2,Pantophobia is the fear of what?,79,0.534,27,123078.79999999702,q,S,1873.0999999940395,126007.79999999702,HRV,HRV_0110,2022-11-30 17:56:04
citrus fruit (scurvy is caused by a lack of vitamin c),5,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,1.423,28,126007.79999999702,p,K,3504.2999999970198,131456.5,HRV,HRV_0110,2022-11-30 17:56:04
Sepia,7,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.088,29,131456.5,q,S,2423.3999999910593,135489.59999999404,HRV,HRV_0110,2022-11-30 17:56:04
Buck,4,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,1.191,30,135489.70000000298,q,S,2029.5999999940395,139231.29999999702,HRV,HRV_0110,2022-11-30 17:56:04
