Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
"A peanut is a legume, not a nut",4,What type of food is a peanut?,447,0.659,0,4011.199999988079,p,K,3005.7000000029802,8194.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
Cricket,3,"What sport used the term ""home run"" long before baseball?  ",260,0.701,1,8194.29999999702,q,S,4618.70000000298,14051.79999999702,HRV,HRV_0237,2022-11-30 19:11:32
"Cle(a)veland, Ohio",5,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,0.526,2,14051.79999999702,q,S,7275.20000000298,22375.0,HRV,HRV_0237,2022-11-30 19:11:32
It causes sour foods subsequently consumed to taste sweet. ,1,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,1.685,3,22375.09999999404,q,S,4199.70000000298,28792.89999999106,HRV,HRV_0237,2022-11-30 19:11:32
Prussian Blue ,7,What craylola color became 'midnight blue' in 1985 to remove an out-of-date geographical term? ,160,0.988,4,28793.0,q,S,5102.0,35410.79999999702,HRV,HRV_0237,2022-11-30 19:11:32
Orville Wright,5,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.572,5,35410.79999999702,q,S,4571.899999991059,42090.5,HRV,HRV_0237,2022-11-30 19:11:32
George H.W. Bush ,5,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,1.48,6,42090.59999999404,q,S,3317.2000000029802,47407.19999998808,HRV,HRV_0237,2022-11-30 19:11:32
Peanuts ,3,What snack food is an ingredient in the explosive dynamite?  ,408,1.604,7,47407.29999999702,q,S,4319.399999991059,53866.69999998808,HRV,HRV_0237,2022-11-30 19:11:32
Bile,7,"Two of the ""four humors"" the ancients believed controlled temperament consist of what bodily fluid?",118,1.144,8,53866.79999999702,q,S,4184.399999991059,59713.39999999106,HRV,HRV_0237,2022-11-30 19:11:32
Fiber is the gut bacteria's preferred fuel source. ,6,What food is most beneficial for your gut bacteria?,458,1.515,9,59713.39999999106,p,K,5580.0,67334.39999999106,HRV,HRV_0237,2022-11-30 19:11:32
Lolita by Vladimir Nabokov,5,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,0.809,10,67334.5,q,S,3271.199999988079,71933.09999999404,HRV,HRV_0237,2022-11-30 19:11:32
Egypt,1,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,1.013,11,71933.09999999404,q,S,4078.0999999940395,77545.79999999702,HRV,HRV_0237,2022-11-30 19:11:32
Owl,5,"Which animal has tubular shaped eyeballs, which therefore cannot move?  ",325,1.255,12,77545.79999999702,q,S,4920.0,84253.09999999404,HRV,HRV_0237,2022-11-30 19:11:32
popscicle,6,What food was invented by an 11 year old in 1905?,450,0.77,13,84253.19999998808,q,S,2696.4000000059605,88244.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
The budgerigar,1,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,0.652,14,88244.29999999702,q,S,4403.20000000298,93821.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
South America,4,The electric eel is native only to what continent?,96,0.55,15,93821.39999999106,q,S,3885.5,98779.09999999404,HRV,HRV_0237,2022-11-30 19:11:32
Bling bling ,5,What term does rapper B.G. say he wishes he'd patented when he used it for the title of his massive 1999 hit?,264,0.693,16,98779.09999999404,q,S,6410.5,106400.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
coca-cola,7,Which famous soft drink was invented in 1892?,425,1.273,17,106400.29999999702,p,K,2579.8999999910593,110775.0,HRV,HRV_0237,2022-11-30 19:11:32
a spit,7,"If something is described as rotisserie, what has it been cooked on?",428,1.476,18,110775.0,q,S,5652.5,118432.5,HRV,HRV_0237,2022-11-30 19:11:32
A Hawaiian goose,5,What is a nene?,195,1.283,19,118432.5,q,S,3221.8999999910593,123478.5,HRV,HRV_0237,2022-11-30 19:11:32
Juvenile deliquent,6,What did popular author J.D. Salinger reveal the first two intials in his name to stand for?  ,163,1.462,20,123478.59999999404,q,S,3646.5999999940395,129107.5,HRV,HRV_0237,2022-11-30 19:11:32
Your blind spot,6,What's the more common name for the retinal scotoma caused by the optic nerve? ,303,1.034,21,129107.5,q,S,4860.29999999702,135524.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
Sepia,6,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,0.835,22,135524.29999999702,q,S,6455.0999999940395,143329.79999999702,HRV,HRV_0237,2022-11-30 19:11:32
Charles ,4,What river runs through Boston? ,252,0.768,23,143329.79999999702,q,S,2774.5999999940395,147404.79999999702,HRV,HRV_0237,2022-11-30 19:11:32
Ostrich,1,Which animal's eyes are bigger than its brain?   ,327,1.322,24,147404.79999999702,q,S,3095.7999999970198,152356.79999999702,HRV,HRV_0237,2022-11-30 19:11:32
As Good As It Gets ,3,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,0.757,25,152356.79999999702,q,S,4373.5999999940395,158003.09999999404,HRV,HRV_0237,2022-11-30 19:11:32
Hong Kong ,7,What city's harbor is overlooked by Victoria Peak? ,185,1.842,26,158003.09999999404,q,S,1668.7000000029802,162040.89999999106,HRV,HRV_0237,2022-11-30 19:11:32
Coca-Cola,4,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.813,27,162040.89999999106,q,S,2556.2999999970198,165935.69999998808,HRV,HRV_0237,2022-11-30 19:11:32
citrus fruit (scurvy is caused by a lack of vitamin c),7,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,1.475,28,165935.79999999702,q,S,4375.5999999940395,172306.5,HRV,HRV_0237,2022-11-30 19:11:32
Choking on food,3,"Each year, approximately 125 people die of what? ",417,0.793,29,172306.5,q,S,1899.5999999940395,175516.5,HRV,HRV_0237,2022-11-30 19:11:32
Yahoo!,3,What Internet portal was sued for copyright infringement in 2000 by the star of Young Einstein? ,190,0.539,30,175516.5,q,S,4097.29999999702,180677.5,HRV,HRV_0237,2022-11-30 19:11:32
Italy ,7,What country borders both of the world's only two nations with square flags? ,157,0.744,31,180677.5,q,S,3936.199999988079,185879.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
Marven (Marvin) Gardens,2,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.846,32,185879.29999999702,q,S,6442.5,194694.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
Pressure,6,What is measured in millibars? ,202,0.68,33,194694.29999999702,q,S,2497.2999999970198,198392.09999999404,HRV,HRV_0237,2022-11-30 19:11:32
Canada,1,What's the only country to have hosted a Summer Olympics in which it didn't win a single medal?   ,308,1.28,34,198392.09999999404,q,S,3660.7999999970198,203860.59999999404,HRV,HRV_0237,2022-11-30 19:11:32
Pearl Harbor ,3,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,0.615,35,203860.59999999404,q,S,7060.5,212058.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,6,Whice fruit is effective than coffee at waking you up in the morning?,454,1.02,36,212058.29999999702,q,S,4390.899999991059,217990.69999998808,HRV,HRV_0237,2022-11-30 19:11:32
Espresso,6,The Italian government regulates the price of what beverage?,399,0.836,37,217990.79999999702,q,S,3863.7000000029802,223219.5,HRV,HRV_0237,2022-11-30 19:11:32
Luge,6,What sports term is the shortest word ever to decide the National Spelling Bee?   ,261,1.822,38,223219.5,q,S,4784.0,230354.69999998808,HRV,HRV_0237,2022-11-30 19:11:32
Avocado,3,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.262,39,230354.79999999702,q,S,6226.0999999940395,238362.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
Radar,6,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,1.113,40,238362.29999999702,q,S,3354.7000000029802,243345.39999999106,HRV,HRV_0237,2022-11-30 19:11:32
Cockroach,5,What animal can live up to a week without its head?,131,1.533,41,243345.39999999106,p,K,4323.70000000298,249738.69999998808,HRV,HRV_0237,2022-11-30 19:11:32
A sneeze,5,The air expelled from what can travel at 100 mph?,90,1.331,42,249738.79999999702,q,S,2348.7000000029802,253950.29999999702,HRV,HRV_0237,2022-11-30 19:11:32
State quarters ,4,What's been released five times a year from January 1999 to fall 2008?,300,1.149,43,253950.29999999702,q,S,4281.899999991059,259900.0,HRV,HRV_0237,2022-11-30 19:11:32
Traffic lights,4,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",113,1.819,44,259900.0,q,S,6030.79999999702,268274.89999999106,HRV,HRV_0237,2022-11-30 19:11:32
Nutmeg,3,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.568,45,268274.89999999106,q,S,3169.2999999970198,272549.5,HRV,HRV_0237,2022-11-30 19:11:32
Columbus Circle ,7,What Manhattan intersection was America's first traffic circle?,228,0.901,46,272549.5,q,S,2662.2999999970198,276645.1999999881,HRV,HRV_0237,2022-11-30 19:11:32
Australia,7,What country has six sheep for every human? ,158,1.185,47,276645.1999999881,q,S,1842.4000000059605,280199.799999997,HRV,HRV_0237,2022-11-30 19:11:32
All in the Family ,3,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.602,48,280199.799999997,q,S,4398.79999999702,286732.1999999881,HRV,HRV_0237,2022-11-30 19:11:32
Dragees,7,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.833,49,286732.1999999881,q,S,5086.70000000298,294188.59999999404,HRV,HRV_0237,2022-11-30 19:11:32
A wiki,3,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,1.784,50,294188.59999999404,q,S,3696.5999999940395,300204.6999999881,HRV,HRV_0237,2022-11-30 19:11:32
Lhasa Apso,3,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,1.481,51,300204.799999997,p,K,6583.20000000298,308791.1999999881,HRV,HRV_0237,2022-11-30 19:11:32
The Hindenburg explosion,6,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.694,52,308791.1999999881,q,S,3145.6000000089407,314165.1999999881,HRV,HRV_0237,2022-11-30 19:11:32
