Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Strom Thurmond ,3,Who filibustered for a record twenty-four hours and eighteen minutes -- with a urine pail standing at the ready -- in the hope of preventing the Civil Rights Act of 1957?,366,0.766,0,2406.6999999955297,p,K,3484.7000000029802,7186.5,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Holy Roman Emperor Henry IV ,4,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.93,1,7186.5999999940395,t,W,1816.8000000044703,22267.5,11539.5,15547.79999999702,3,4255.29999999702,,HRV,HRV_0052,2022-11-30 17:49:56
The popsicle,7,Which popular treat was invented by an 11-year-old in California? ,413,0.629,2,22267.59999999404,p,K,2407.5,25834.5,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Coca-Cola,1,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.371,3,25834.5,q,S,1592.5999999940395,29321.69999999553,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
pastry,7,Choux and filo are two types of what food product?,446,1.252,4,29321.69999999553,q,S,1585.2000000029802,32692.59999999404,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Tea leaves,3,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.866,5,32692.69999999553,p,K,1670.1000000014901,36770.39999999851,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Quotations ,2,What did the letter Q originally stand for in NASDAQ?  ,165,1.904,6,36770.39999999851,p,K,3304.60000000149,42514.39999999851,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Russia,5,Which country has the most public libraries?  ,339,0.705,7,42514.5,q,S,1616.5,45370.59999999404,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Utah,3,"What US state advertised ""The Greatest Snow on Earth"" on its license plates? ",273,1.203,8,45370.59999999404,p,K,3200.3000000044703,50306.39999999851,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Escape,6,"What word is the actual title of the 1979 hit usually called ""The Pina Colada Song""?   ",299,0.612,9,50306.59999999404,p,K,4536.20000000298,55976.39999999851,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Midnight Cowboy ,7,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,0.738,10,55976.39999999851,p,K,2442.2999999970198,59690.69999999553,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Tse-tse fly,1,What transmits the disease typanosomiasis to humans and cattle? ,267,0.876,11,59690.69999999553,p,K,2224.0,63317.29999999702,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Thomas Crapper,4,What was the unfortunate name of the plumber who helped popularize and improve the flush toilet? ,294,0.708,12,63317.29999999702,p,K,7829.39999999851,72390.19999999553,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
George Washington,2,Who is pictured on a US Purple Heart medal? ,368,1.363,13,72390.29999999702,p,K,3428.2000000029802,77708.09999999404,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Silicon,6,What element is combined with oxygen to make up the mineral quartz?,269,1.43,14,77708.09999999404,q,S,3758.4000000059605,83423.29999999702,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
A wiki,5,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,1.313,15,83423.29999999702,,,,92935.69999999553,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Columbia,7,What company introduced the first LP record albums?  ,155,0.571,16,92935.79999999702,q,S,1626.6000000014901,95662.89999999851,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
The Stanley Cup ,5,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,0.779,17,95663.0,p,K,7011.0999999940395,103977.89999999851,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
"the Red Hot Chili Peppers, followed closely by Meatloaf",2,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.782,18,103977.89999999851,q,S,5480.29999999702,111758.69999999553,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
" ""!"" ",2,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?",35,1.071,19,111758.69999999553,p,K,2251.3000000044703,115600.89999999851,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Phosphorus,5,"What element did alchemist Hennig Brand discover in 1669 when, boiling his own urine in the hopes of making gold, he observed glowing fumes?",169,1.028,20,115600.89999999851,p,K,2793.0,119945.5,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
Ciabatta,1,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,1.556,21,119945.59999999404,p,K,4928.30000000447,126961.29999999702,,,,,,HRV,HRV_0052,2022-11-30 17:49:56
