trialN,QuestionNum,Question,Answer,QuestionRating,AnswerRating,exp,subjectId,date
0.0,424,What is used to make hummus?,chickpeas,31,72,HRV,HRV_0209,2022-11-30 18:42:01
1.0,425,Which famous soft drink was invented in 1892?,coca-cola,72,74,HRV,HRV_0209,2022-11-30 18:42:01
2.0,259,What slot on the back of an arrow's shaft keeps it on the bowstring? ,The nock,15,60,HRV,HRV_0209,2022-11-30 18:42:01
3.0,165,What did the letter Q originally stand for in NASDAQ?  ,Quotations ,Know,NaN,HRV,HRV_0209,2022-11-30 18:42:01
4.0,118,"Two of the ""four humors"" the ancients believed controlled temperament consist of what bodily fluid?",Bile,18,67,HRV,HRV_0209,2022-11-30 18:42:01
5.0,444,What item of food holds the world record for being the most stolen item of food in the world?,cheese ,Know,NaN,HRV,HRV_0209,2022-11-30 18:42:01
6.0,204,What is the largest flower in the world? ,Rafflesia (corpse lily) ,Know,NaN,HRV,HRV_0209,2022-11-30 18:42:01
7.0,102,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,"Cle(a)veland, Ohio",19,35,HRV,HRV_0209,2022-11-30 18:42:01
8.0,313,"When is the optical phenomenon called a ""green flash"" or ""green ray"" visible?  ",Sunrise or sunset,45,70,HRV,HRV_0209,2022-11-30 18:42:01
9.0,364,"Who did Gargamel create using ingredients like crocodile tears, the tip of an adder's tongue and a hard stone for a heart?",Smurfette,57,68,HRV,HRV_0209,2022-11-30 18:42:01
