Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Choking on food,2,"Each year, approximately 125 people die of what? ",417,1.585,0,196307,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 198008, 'date time': 1669829368973}]",205829,,,,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Australia,3,What country has six sheep for every human? ,158,1.525,1,205831,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 212616, 'date time': 1669829383581}]",216199,q,S,8332.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Ampersand (&),3,"What began as a ligature of the letters ""e"" and ""t""?",144,0.586,2,216199,,221003,p,K,3699.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
There was a pound of every ingredient in the original reciipe. ,3,How did the pound cake get its name?,460,1.267,3,221003,,224936,p,K,2155.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Juvenile deliquent,7,What did popular author J.D. Salinger reveal the first two intials in his name to stand for?  ,163,1.825,4,224936,,238062,t,W,1646.0,229088.0,233107.0,2,2615.0,HRV,HRV_0063,2022-11-30 17:36:15
Bumblebee bat,4,"Which mammal is the world's smallest, weighing less than a penny? ",347,1.968,5,238062,,251821,t,W,3480.0,244067.0,248152.0,2,1171.0,HRV,HRV_0063,2022-11-30 17:36:15
The Notorious BIG,1,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,0.81,6,251824,,254919,p,K,1768.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
World War I,6,"During which war was ""The African Queen"" set?",34,1.264,7,254919,,258553,p,K,1858.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
James Buchanan ,2,Who was the only U.S. president never to be married?,383,0.589,8,258553,,261207,q,S,1538.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Radioactivity,7,What is measured in becquerels? ,201,0.512,9,261207,,264246,p,K,2003.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Japan,1,Where is the longest suspension bridge? ,319,0.922,10,264246,,267630,p,K,1935.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
