Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Ripe cranerries bounce when dropped on the ground,6,How do farmers test whether cranberries are ripe?,452,0.989,0,4977.399999976158,q,S,7324.199999928474,13818.399999976158,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
cheese ,3,What item of food holds the world record for being the most stolen item of food in the world?,444,0.564,1,13818.599999904633,t,W,4644.200000047684,29545.899999976158,20999.899999976158,25029.5,,,,HRV,HRV_0125,2022-11-30 18:13:24
Speed of wind,4,What does an anemometer measure? ,168,0.982,2,29546.0,q,S,2216.5999999046326,33280.799999952316,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Belgium,7,Where were French fries invented?,437,0.842,3,33280.89999997616,q,S,3471.1999999284744,38131.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,1,Whice fruit is effective than coffee at waking you up in the morning?,454,1.638,4,38131.09999990463,t,W,4969.5,53349.5,45635.0,49643.89999997616,5,1543.0,,HRV,HRV_0125,2022-11-30 18:13:24
Chitty Chitty Bang Bang ,6,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.057,5,53349.5,q,S,2594.6999999284744,57518.199999928474,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
George H.W. Bush ,4,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,1.386,6,57518.299999952316,t,W,3696.2999999523163,70287.79999995232,63724.5,67740.79999995232,5,645.5,,HRV,HRV_0125,2022-11-30 18:13:24
Mickey Finn,2,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,241,1.942,7,70287.79999995232,t,W,2727.2999999523163,82835.29999995232,75539.29999995232,79553.79999995232,3,810.2999999523163,,HRV,HRV_0125,2022-11-30 18:13:24
Smoke,2,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?",52,1.778,8,82835.29999995232,p,K,1692.1000000238419,86842.19999992847,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The Big Bang,1,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,0.894,9,86842.19999992847,p,K,2576.899999976158,90838.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Italy ,4,What country borders both of the world's only two nations with square flags? ,157,1.005,10,90838.09999990463,t,W,2086.7000000476837,102198.59999990463,95436.79999995232,99459.0,3,1199.6999999284744,,HRV,HRV_0125,2022-11-30 18:13:24
Bhutan,7,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,0.566,11,102198.69999992847,q,S,1651.3000000715256,104948.5,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Apple sauce,7,What was the first food eaten in space?,435,1.896,12,104948.5,q,S,2269.7999999523163,109637.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,6,What is the most fattening product in the modern diet?,457,1.004,13,109637.09999990463,q,S,2167.3000000715256,113331.79999995232,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
