Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Echinoderms,2,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,0.583,0,3685.7000000476837,p,K,4063.2999999523163,8857.900000095367,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Mushrooms which have been exposed to light,4,What is the only non-animal natural source of vitamin D?,459,0.55,1,8858.0,p,K,8257.200000047684,18188.700000047684,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Adam,3,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.869,2,18188.700000047684,t,W,3488.2999999523163,32726.0,24192.5,28202.10000014305,,,,HRV,HRV_0032,2022-11-30 18:08:13
Mae West,4,"Because her name became a slang term for a life preserver, who is the only actress whose name is an entry in Merriam-Webster's?",26,1.549,3,32726.10000014305,t,W,2961.5,46011.700000047684,38220.700000047684,42241.0,5,1699.0,,HRV,HRV_0032,2022-11-30 18:08:13
Shower curtain ,2,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,33,1.823,4,46011.700000047684,q,S,2931.4000000953674,51293.800000190735,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Midnight Cowboy ,3,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,0.935,5,51293.90000009537,t,W,2539.5,62975.40000009537,56361.0,60384.10000014305,4,1143.5,,HRV,HRV_0032,2022-11-30 18:08:13
Dragonflies,1,"Which insect, one of the fastest, can fly at speeds up to 60 mph? ",342,1.487,6,62975.5,p,K,4463.200000047684,69446.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Bright red,5,Vitamin A is largely available in natural food sources with which colour?,448,1.853,7,69446.0,p,K,3615.4000000953674,75442.70000004768,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Australia,7,What country has six sheep for every human? ,158,0.898,8,75442.90000009537,q,S,3213.9000000953674,80082.30000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Germany,4,Which European country was the first to produce decaffeinated coffee? ,412,1.277,9,80082.40000009537,t,W,3890.7000000476837,93378.30000019073,86499.10000014305,90510.60000014305,4,1073.2999999523163,,HRV,HRV_0032,2022-11-30 18:08:13
Rabbit,6,What kind of animal attacked Jimmy Carter during an April 1979 fishing trip?   ,221,0.656,10,93378.30000019073,q,S,2841.199999809265,97400.70000004768,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Sri Lanka,7,Ninety percent of the world's true cinnamon comes from what island nation? ,74,0.813,11,97400.70000004768,p,K,2700.0,101453.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
An otter,3,What animal lives in a holt? ,133,1.976,12,101453.5,p,K,3362.5,107312.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
On a Jell-O box,2,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,1.078,13,107312.5,t,W,2430.4000000953674,118869.30000019073,112314.60000014305,116324.80000019073,4,935.6999998092651,,HRV,HRV_0032,2022-11-30 18:08:13
Tse-tse fly,3,What transmits the disease typanosomiasis to humans and cattle? ,267,1.771,14,118869.30000019073,,,,128382.70000004768,,,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 122010.30000019073, 'date time': 1669831201002}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 126734, 'date time': 1669831205726}]",HRV,HRV_0032,2022-11-30 18:08:13
J,6,What's the only letter that doesn't appear in the periodic table of elements?,309,0.546,15,128382.90000009537,t,W,2163.9000000953674,141652.0,133077.90000009537,137098.60000014305,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 131579.10000014305, 'date time': 1669831210572}]",HRV,HRV_0032,2022-11-30 18:08:13
Twenty-fourth ,6,Which Constitutional Amendment deals with poll taxes? ,335,1.545,16,141652.10000014305,,,,151176.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
PayPal,2,YouTube.com is the brainchild of three former employees of what other major website? ,396,1.885,17,151176.60000014305,t,W,7762.200000047684,169440.80000019073,161476.5,165497.40000009537,3,1542.4000000953674,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 157835.30000019073, 'date time': 1669831236828}]",HRV,HRV_0032,2022-11-30 18:08:13
"Cle(a)veland, Ohio",4,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,0.678,18,169440.80000019073,p,K,2342.0,172979.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Chicago,7,What city has the only drive-thru post office in the world? ,147,1.263,19,172979.5,q,S,2545.7000000476837,177325.20000004768,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
A Hawaiian goose,4,What is a nene?,195,0.801,20,177325.20000004768,p,K,2278.9000000953674,180935.80000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The Netherlands,2,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,0.885,21,180935.80000019073,p,K,1949.3999998569489,184314.80000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
