Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,exp,subjectId,date
Bono ,7,What singer took his stage name from a Dublin hearing aid billboard?  ,257,1.052,0,4691.799999998882,t,W,3102.2000000011176,10324.0,14395.099999999627,18906.599999999627,,,HRV,HRV_0072,2022-11-30 18:02:39
The Mona Lisa,4,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.904,1,18906.900000000373,q,S,4108.199999999255,,,25452.599999999627,,,HRV,HRV_0072,2022-11-30 18:02:39
Adobe,1,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,1.011,2,25452.799999998882,p,K,5044.10000000149,,,32040.699999999255,,,HRV,HRV_0072,2022-11-30 18:02:39
popscicle,5,What food was invented by an 11 year old in 1905?,450,1.94,3,32040.799999998882,q,S,4245.10000000149,,,38764.5,,,HRV,HRV_0072,2022-11-30 18:02:39
Matches,6,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,1.77,4,38764.59999999963,q,S,4326.4000000003725,,,45401.59999999963,,,HRV,HRV_0072,2022-11-30 18:02:39
potein,6,"What nutrient comes from meat, eggs, and fish?",433,1.173,5,45402.29999999888,p,K,3327.60000000149,,,50436.09999999963,,,HRV,HRV_0072,2022-11-30 18:02:39
The Galapagos Islands ,3,What islands are home to most of the world's blue-footed boobies? ,216,1.115,6,50436.29999999888,p,K,4892.9000000003725,,,56965.79999999888,,,HRV,HRV_0072,2022-11-30 18:02:39
On a Jell-O box,4,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.785,7,56966.09999999963,t,W,5511.699999999255,65002.59999999963,69019.79999999888,73367.29999999888,2,3021.2000000011176,HRV,HRV_0072,2022-11-30 18:02:39
Iraq,3,In which country were the Hanging Gardens of Babylon located?,69,1.981,8,73367.40000000037,q,S,3320.5999999996275,,,79203.90000000037,,,HRV,HRV_0072,2022-11-30 18:02:39
spiced ham,1,What two words were combined to make the word Spam?,426,0.882,9,79204.0,p,K,3548.4000000003725,,,84160.59999999963,,,HRV,HRV_0072,2022-11-30 18:02:39
Belgium,4,Where were French fries invented?,437,1.911,10,84160.90000000037,q,S,4262.39999999851,,,90862.19999999925,,,HRV,HRV_0072,2022-11-30 18:02:39
