Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Steamboat Geyser,3,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,0.746,0,2067.60000000149,q,S,3148.89999999851,6501.0,HRV,HRV_0004,2022-11-30 17:44:53
Every jar of peanut butter must be at least 90% peanuts,4,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.302,1,6501.0,q,S,3180.10000000149,11499.90000000596,HRV,HRV_0004,2022-11-30 17:44:53
Don Adams,4,Who provided the voice for cartoon character Inspector Gadget? ,372,1.675,2,11500.0,q,S,1981.4000000059605,15663.0,HRV,HRV_0004,2022-11-30 17:44:53
Sixteenth,3,Which Constitutional Amendment deals with the income tax? ,336,1.554,3,15663.0,q,S,1786.4000000059605,19514.0,HRV,HRV_0004,2022-11-30 17:44:53
Dark Side of the Moon,3,What album spent a record 741 weeks on Billboard's Top 200 Albums chart? ,129,1.984,4,19514.10000000149,q,S,1558.8999999985099,23581.0,HRV,HRV_0004,2022-11-30 17:44:53
Martin Luther King Jr. ,1,Who won the Nobel Peace Prize in 1964? ,386,1.933,5,23581.10000000149,q,S,1572.7000000029802,27616.80000000447,HRV,HRV_0004,2022-11-30 17:44:53
Gerald Ford ,7,What president was shot while walking to California Governor Jerry Brown's office?  ,247,1.353,6,27616.90000000596,q,S,3024.0,32516.90000000596,HRV,HRV_0004,2022-11-30 17:44:53
honey,3,Which is the only food that can never go off or go bad?,442,1.068,7,32516.90000000596,q,S,2556.0999999940395,36669.20000000298,HRV,HRV_0004,2022-11-30 17:44:53
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",6,Cooking which food requires over two years of training?,461,1.874,8,36669.30000000447,q,S,2588.10000000149,41653.0,HRV,HRV_0004,2022-11-30 17:44:53
Jamaica Bay,2,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,1.367,9,41653.10000000149,q,S,1596.3999999985099,45143.0,HRV,HRV_0004,2022-11-30 17:44:53
Chitty Chitty Bang Bang ,6,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.435,10,45143.0,q,S,1578.1000000014901,48674.0,HRV,HRV_0004,2022-11-30 17:44:53
Ciabatta,1,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,0.981,11,48674.0,q,S,2751.4000000059605,52924.0,HRV,HRV_0004,2022-11-30 17:44:53
