Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Sweden,3,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,1.499,0,5756.100000023842,15261.400000035763,,,,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Coca-Cola,6,"The BBC once banned the Beatles' ""Come Together"" for ""advertising"" what product in the lyrics?",93,0.902,1,15261.5,19987.5,p,K,3315.800000011921,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Genetics,7,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,1.388,2,19987.700000047684,25491.80000001192,q,S,3605.7999999523163,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Thomas Hardy,6,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,1.594,3,25491.80000001192,31331.700000047684,q,S,3729.900000035763,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Russia,5,Which country has the most public libraries?  ,339,1.88,4,31331.80000001192,36939.700000047684,q,S,3210.400000035763,,,,,HRV,HRV_0243,2022-11-30 19:14:39
A wiki,7,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,1.884,5,36939.80000001192,45379.40000003576,q,S,6046.0,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Brine Shrimp ,3,"What kind of animal is Artemia Salina, the ""sea monkey"" of novelty pet ad fame? ",222,1.611,6,45379.5,52216.5,p,K,4712.5,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Shaving,1,"The average male spends 2,965 hours doing what over the course of his lifetime?",92,0.8,7,52216.5,56811.30000001192,p,K,3273.600000023842,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Dragees,3,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.593,8,56811.40000003576,63763.30000001192,p,K,4843.599999964237,,,,,HRV,HRV_0243,2022-11-30 19:14:39
Saffron,2,What is the most expensive spice (by weight) in the world?,431,1.713,9,63763.40000003576,68499.40000003576,p,K,2508.300000011921,,,,,HRV,HRV_0243,2022-11-30 19:14:39
