Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
cheese ,4,What item of food holds the world record for being the most stolen item of food in the world?,444,0.558,0,2606.7999999523163,t,W,4237.200000047684,9369.199999988079,13388.5,4,1515.5999999642372,15987.0,HRV,HRV_0279,2022-11-30 20:21:58
Genetics,3,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,1.25,1,15987.099999964237,q,S,3156.900000035763,,,,,20919.399999976158,HRV,HRV_0279,2022-11-30 20:21:58
Francisco Goya,4,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?",15,1.199,2,20919.799999952316,t,W,6554.600000023842,29992.19999998808,34018.0,3,675.5,36416.39999997616,HRV,HRV_0279,2022-11-30 20:21:58
Pet Rocks,7,What imports from a Baja California beach made Gary Drahl a millionaire in late 1975?,186,1.751,3,36416.59999996424,t,W,6187.0,45122.09999996424,49135.299999952316,4,2189.7000000476837,53603.39999997616,HRV,HRV_0279,2022-11-30 20:21:58
Rod Serling ,1,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,175,1.379,4,53603.5,q,S,4991.399999976158,,,,,60488.69999998808,HRV,HRV_0279,2022-11-30 20:21:58
On a Jell-O box,5,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.909,5,60489.799999952316,t,W,5815.200000047684,68827.5,72842.29999995232,4,2592.0,76869.89999997616,HRV,HRV_0279,2022-11-30 20:21:58
Honey,2,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.939,6,76870.0,p,K,5904.099999964237,,,,,85225.0,HRV,HRV_0279,2022-11-30 20:21:58
The crocodile,6,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.139,7,85225.0,t,W,7599.599999964237,95356.59999996424,99377.09999996424,4,997.3000000119209,102040.0,HRV,HRV_0279,2022-11-30 20:21:58
Pepper and Mustard,3,What are the top two most popular spices in the world?,422,0.688,8,102041.0,t,W,4333.199999988079,108889.5,112904.79999995232,4,1369.1000000238419,115475.69999998808,HRV,HRV_0279,2022-11-30 20:21:58
Thomas Nast ,6,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,0.762,9,115476.69999998808,q,S,3938.300000011921,,,,,120717.29999995232,HRV,HRV_0279,2022-11-30 20:21:58
A sneeze,6,The air expelled from what can travel at 100 mph?,90,1.734,10,120717.29999995232,t,W,3817.100000023842,127051.19999998808,131065.69999998808,3,2408.399999976158,135734.89999997616,HRV,HRV_0279,2022-11-30 20:21:58
Butterfly,5,The Admiral is which type of insect? ,89,1.954,11,135734.89999997616,t,W,4769.0,143027.09999996424,147041.29999995232,4,573.4000000357628,150099.0,HRV,HRV_0279,2022-11-30 20:21:58
Green Eggs and Ham,2,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,0.699,12,150099.29999995232,q,S,3384.2000000476837,,,,,154704.19999998808,HRV,HRV_0279,2022-11-30 20:21:58
