Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Luxor,6,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,0.769,0,3903.5,q,S,4243.5999999940395,9447.199999988079,HRV,HRV_0118,2022-11-30 18:03:41
Bhutan,5,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,1.51,1,9447.199999988079,q,S,3879.5,15352.59999999404,HRV,HRV_0118,2022-11-30 18:03:41
Dragees,7,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,0.788,2,15352.59999999404,q,S,5114.0999999940395,21783.59999999404,HRV,HRV_0118,2022-11-30 18:03:41
Coca-cola,7,What popular drink was first marketed as a brain tonic?,405,1.932,3,21783.59999999404,q,S,4083.9000000059605,28332.5,HRV,HRV_0118,2022-11-30 18:03:41
Brigham Young University,1,What is the most sober school according to The Princeton Review? ,206,1.701,4,28332.5,q,S,3397.399999976158,33968.39999997616,HRV,HRV_0118,2022-11-30 18:03:41
Ear ,2,"The pinna is the outer, visible part of what?",103,1.502,5,33968.39999997616,q,S,2699.4000000059605,38706.5,HRV,HRV_0118,2022-11-30 18:03:41
Cadabra.com ,1,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,1.458,6,38706.59999999404,,,,48228.09999999404,HRV,HRV_0118,2022-11-30 18:03:41
Texas,3,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",67,1.78,7,48228.09999999404,q,S,2213.4000000059605,52747.19999998808,HRV,HRV_0118,2022-11-30 18:03:41
AstroTurf ,1,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,1.855,8,52747.19999998808,q,S,2322.699999988079,57459.29999998212,HRV,HRV_0118,2022-11-30 18:03:41
Honey,4,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,0.656,9,57459.29999998212,q,S,3143.5,61783.29999998212,HRV,HRV_0118,2022-11-30 18:03:41
Radioactivity,6,What is measured in becquerels? ,201,1.882,10,61783.39999997616,q,S,1597.7000000178814,65789.79999998212,HRV,HRV_0118,2022-11-30 18:03:41
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,7,Whice fruit is effective than coffee at waking you up in the morning?,454,1.437,11,65789.79999998212,q,S,4005.300000011921,71759.59999999404,HRV,HRV_0118,2022-11-30 18:03:41
Albert Einstein,6,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,1.036,12,71759.59999999404,q,S,2709.0,76013.59999999404,HRV,HRV_0118,2022-11-30 18:03:41
Ripe cranerries bounce when dropped on the ground,5,How do farmers test whether cranberries are ripe?,452,1.856,13,76013.59999999404,q,S,2026.7999999821186,80414.19999998808,HRV,HRV_0118,2022-11-30 18:03:41
Jamaica Bay,2,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,1.045,14,80414.19999998808,q,S,3047.800000011921,85026.79999998212,HRV,HRV_0118,2022-11-30 18:03:41
