Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Mung beans ,5,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.265,0,2349.0,p,K,4598.0,8726.39999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Radioactivity,2,What is measured in becquerels? ,201,1.14,1,8726.39999961853,q,S,1689.3000011444092,12064.30000114441,,HRV,HRV_0205,2022-11-30 18:32:53
Graham Greene,2,"Which British novelist said, ""Fame is a powerful aphrodisiac""?",332,1.695,2,12064.30000114441,q,S,1968.5,16236.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
cooking,7,"If you suffer from Mageirocophobia, what are you scared of?",438,0.854,3,16236.89999961853,q,S,1974.6000003814697,19576.5,,HRV,HRV_0205,2022-11-30 18:32:53
George Marshall,2,What future secretary of state became America's first five-star general in December 1944? ,181,1.913,4,19576.5,q,S,2826.3999996185303,24823.80000114441,,HRV,HRV_0205,2022-11-30 18:32:53
Kansas City ,7,The first suburban shopping center in the U.S. was established in what city?,99,0.611,5,24823.89999961853,q,S,2233.6000003814697,28178.5,,HRV,HRV_0205,2022-11-30 18:32:53
Bacon,4,"In Britain, what kind of meat comes in rashers?",397,1.929,6,28178.5,q,S,2307.8999996185303,32926.20000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Hong Kong ,5,What city's harbor is overlooked by Victoria Peak? ,185,1.714,7,32926.20000076294,q,S,1782.2999992370605,36931.20000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Canada,3,What's the only country to have hosted a Summer Olympics in which it didn't win a single medal?   ,308,0.69,8,36931.20000076294,q,S,3166.2999992370605,41300.30000114441,,HRV,HRV_0205,2022-11-30 18:32:53
The popsicle,3,Which popular treat was invented by an 11-year-old in California? ,413,1.262,9,41300.39999961853,q,S,6221.0,49296.10000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Zinfindel,3,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,0.888,10,49296.10000038147,q,S,2818.8999996185303,53514.80000114441,,HRV,HRV_0205,2022-11-30 18:32:53
Condoleeza (con dolcezza) Rice ,4,"Whose unusual first name is derived from an Italian musical term for ""with sweetness""? ",390,0.511,11,53514.89999961853,q,S,2698.1000003814697,57229.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Ciabatta,7,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,0.525,12,57229.89999961853,q,S,3415.5,61684.10000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Midnight Cowboy ,6,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,0.948,13,61684.20000076294,q,S,3115.7999992370605,66258.80000114441,,HRV,HRV_0205,2022-11-30 18:32:53
Speed of wind,5,What does an anemometer measure? ,168,1.206,14,66258.80000114441,p,K,3772.199998855591,71742.70000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Molasses,6,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",10,1.749,15,71742.70000076294,q,S,1990.8999996185303,75993.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Michael Dell,3,What founder of PCs Limited went on to become the youngest Fortune 500 CEO in history?,180,1.612,16,75993.89999961853,q,S,3849.400001525879,81966.60000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Martin Luther King Jr. ,5,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,1.349,17,81966.60000038147,q,S,2217.7000007629395,86042.60000038147,,HRV,HRV_0205,2022-11-30 18:32:53
St. Louis Gateway Arch ,7,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,1.911,18,86042.70000076294,q,S,2119.5,90583.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Marven (Marvin) Gardens,7,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,0.947,19,90583.89999961853,p,K,4241.0,96281.60000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Cell,6,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,0.91,20,96281.60000038147,q,S,2999.2999992370605,100698.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Rod Serling ,3,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,175,1.408,21,100699.0,q,S,2067.300001144409,104682.0,,HRV,HRV_0205,2022-11-30 18:32:53
Coca-Cola,4,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.974,22,104682.0,q,S,3160.6000003814697,110325.70000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Saffron,7,What is the most expensive spice (by weight) in the world?,431,1.054,23,110325.70000076294,q,S,3254.0,115147.80000114441,,HRV,HRV_0205,2022-11-30 18:32:53
Dorito is Spanish for little golden things,1,What does Dorito actually mean?,434,1.786,24,115147.89999961853,q,S,3129.6000003814697,120577.70000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Happy Birthday,4,What was the first song ever performed in outer space? ,285,1.835,25,120577.70000076294,q,S,2260.6000003814697,125180.60000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Steamboat Geyser,7,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,1.92,26,125180.60000038147,q,S,3480.5,131090.8000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Kayak,6,An umiak is a larger version of what? ,20,1.535,27,131090.8000011444,q,S,1592.3999996185303,134723.39999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Belgium,4,Where were French fries invented?,437,0.603,28,134723.39999961853,q,S,1785.3000011444092,137623.8000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Rabbit,1,What kind of animal attacked Jimmy Carter during an April 1979 fishing trip?   ,221,1.489,29,137623.8000011444,q,S,1926.5,141553.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Australia,5,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.156,30,141553.3000011444,q,S,3464.199998855591,146682.8000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Orville Wright,5,Who was flying the plane in which the first US airplane fatality occurred? ,377,0.55,31,146682.8000011444,q,S,2878.699998855591,150621.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Green Eggs and Ham,6,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.279,32,150621.89999961853,q,S,2554.800001144409,154960.0,,HRV,HRV_0205,2022-11-30 18:32:53
Carbon,2,What element must be burned out of pig iron to make steel? ,170,1.653,33,154960.0,q,S,2785.1000003814697,159911.70000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Honey,3,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.871,34,159911.70000076294,q,S,2456.2999992370605,164753.20000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Papillae,7,What are the bumps on the tongue that carry the taste buds called? ,137,1.854,35,164753.39999961853,q,S,6009.0,173126.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Columbus Circle ,4,What Manhattan intersection was America's first traffic circle?,228,1.058,36,173126.39999961853,q,S,1859.900001525879,176553.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
"the Red Hot Chili Peppers, followed closely by Meatloaf",2,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,0.596,37,176553.39999961853,q,S,2674.7000007629395,180333.10000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Poison-arrow frog,6,"Which animal's poison could kill up to 2,200 people? ",329,0.57,38,180333.10000038147,q,S,2036.5,183444.10000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,6,What is the most fattening product in the modern diet?,457,1.43,39,183444.10000038147,q,S,1551.5,186936.0,,HRV,HRV_0205,2022-11-30 18:32:53
Gary Busey,6,What actor campaigned against helmet laws until he was almost killed in a helmetless 1988 motorcycle accident?,127,1.107,40,186936.0,q,S,2242.800001144409,190792.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Museum of Modern Art in NYC ,3,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,0.593,41,190792.3000011444,q,S,5653.299999237061,197553.5,,HRV,HRV_0205,2022-11-30 18:32:53
Tim McGraw,5,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,1.093,42,197553.5,q,S,4158.89999961853,203314.70000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Teeth,3,"One in every 2,000 babies is born with what? ",77,1.302,43,203314.8000011444,q,S,1921.1999988555908,207050.5,,HRV,HRV_0205,2022-11-30 18:32:53
The Discovery,3,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,1.58,44,207050.5,q,S,2204.8999996185303,211341.60000038147,,HRV,HRV_0205,2022-11-30 18:32:53
The World Almanac and Book of Facts,6,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.886,45,211341.60000038147,q,S,3724.7999992370605,217460.10000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Canadian Oil,4,What is canola an abbreviation for?,436,1.054,46,217460.10000038147,q,S,2754.7000007629395,221780.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
On Christ's crucifix ,6,"Where did the abbreviation ""INRI"" traditionally appear? ",315,1.893,47,221780.3000011444,q,S,1703.099998474121,225882.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
"A peanut is a legume, not a nut",7,What type of food is a peanut?,447,1.663,48,225882.3000011444,p,K,2295.199998855591,230349.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Ivory Coast's ,2,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",111,0.598,49,230349.3000011444,q,S,1587.0,233044.20000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Social Security,7,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.418,50,233044.20000076294,q,S,2625.6000003814697,237595.10000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Rafflesia (corpse lily) ,2,What is the largest flower in the world? ,204,1.475,51,237595.10000038147,q,S,2442.2000007629395,242019.60000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Queen Isabella I ,3,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",50,1.717,52,242019.60000038147,q,S,2275.7000007629395,246521.60000038147,,HRV,HRV_0205,2022-11-30 18:32:53
Silicon,7,What element is combined with oxygen to make up the mineral quartz?,269,0.715,53,246521.70000076294,q,S,1550.8999996185303,249297.5,,HRV,HRV_0205,2022-11-30 18:32:53
An otter,5,What animal lives in a holt? ,133,0.588,54,249297.60000038147,q,S,1758.7999992370605,252157.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Avocados have twice the amount of potassium as bananas. ,2,Which fruit has more potassium than bananas?,455,1.906,55,252157.3000011444,q,S,1652.599998474121,256225.8000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Habanero,6,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.097,56,256225.89999961853,q,S,2585.6000003814697,260421.0,,HRV,HRV_0205,2022-11-30 18:32:53
The Korean War,3,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,1.848,57,260421.0,q,S,2012.1000003814697,264791.5,,HRV,HRV_0205,2022-11-30 18:32:53
Delaware,2,"Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?",38,0.813,58,264791.60000038147,q,S,1916.3999996185303,268025.20000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Chitty Chitty Bang Bang ,2,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.193,59,268025.3000011444,q,S,2648.0,272380.20000076294,,HRV,HRV_0205,2022-11-30 18:32:53
Ear ,1,"The pinna is the outer, visible part of what?",103,1.434,60,272380.20000076294,q,S,1827.6999988555908,276155.10000038147,,HRV,HRV_0205,2022-11-30 18:32:53
The Missouri River ,2,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",179,0.928,61,276155.10000038147,q,S,3437.1000003814697,281030.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
spiced ham,4,What two words were combined to make the word Spam?,426,1.533,62,281030.89999961853,q,S,3785.7000007629395,286862.8000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Ginseng ,1,"What plant takes its name for the Chinese words for ""man root""? ",245,1.272,63,286862.8000011444,p,K,3527.699998855591,292175.0,,HRV,HRV_0205,2022-11-30 18:32:53
Fiber is the gut bacteria's preferred fuel source. ,4,What food is most beneficial for your gut bacteria?,458,1.933,64,292175.0,p,K,3403.800001144409,298023.5,,HRV,HRV_0205,2022-11-30 18:32:53
Anaconda,6,Which species of snake gives birth to its young instead of laying eggs?  ,353,1.652,65,298023.5,q,S,3493.800001144409,303678.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Strom Thurmond ,7,Who filibustered for a record twenty-four hours and eighteen minutes -- with a urine pail standing at the ready -- in the hope of preventing the Civil Rights Act of 1957?,366,1.532,66,303678.3000011444,q,S,3172.099998474121,308896.8000011444,,HRV,HRV_0205,2022-11-30 18:32:53
China,5,Which country first used the decimal system?  ,338,1.02,67,308896.89999961853,q,S,1827.7000007629395,312255.0,,HRV,HRV_0205,2022-11-30 18:32:53
Nuclear Disarmament,6,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.674,68,312255.0,q,S,2805.0,317244.5,,HRV,HRV_0205,2022-11-30 18:32:53
Sic semper tyrannis ,3,What state motto of Virginia did John Wilkes Booth shout as he jumped from Lincoln's box to the stage of Ford's Theatre? ,262,1.851,69,317244.5,q,S,2277.800001144409,321885.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Spiro Agnew ,1,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,1.948,70,321885.89999961853,q,S,1928.900001525879,326276.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
Rechargeable batteries,5,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,0.751,71,326276.3000011444,q,S,2038.7999992370605,329573.39999961853,,HRV,HRV_0205,2022-11-30 18:32:53
University of Phoenix,5,"What school has the most students over age 25, according to U.S. News & World Report?",256,0.841,72,329573.39999961853,q,S,2052.6000003814697,332975.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
The Atlas,7,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,1.563,73,332975.89999961853,q,S,3004.5,338052.20000076294,,HRV,HRV_0205,2022-11-30 18:32:53
South America,5,The electric eel is native only to what continent?,96,1.295,74,338052.20000076294,q,S,1742.7999992370605,341602.89999961853,,HRV,HRV_0205,2022-11-30 18:32:53
Paris,3,"What city is home to the world's very first pet cemetery, in which Rin Tin Tin is buried?",148,1.003,75,341603.0,q,S,2619.5,345738.3000011444,,HRV,HRV_0205,2022-11-30 18:32:53
