Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Espresso,4,The Italian government regulates the price of what beverage?,399,0.767,0,3499.0999999046326,q,S,1864.9000000953674,6655.299999952316,,HRV,HRV_0248,2022-11-30 19:36:09
Bacon,4,"In Britain, what kind of meat comes in rashers?",397,0.525,1,6655.399999976158,q,S,2222.6999999284744,9919.799999952316,,HRV,HRV_0248,2022-11-30 19:36:09
France,2,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,1.463,2,9919.799999952316,q,S,2343.2999999523163,14254.699999928474,,HRV,HRV_0248,2022-11-30 19:36:09
Phosphorus,3,"What element did alchemist Hennig Brand discover in 1669 when, boiling his own urine in the hopes of making gold, he observed glowing fumes?",169,1.026,3,14254.699999928474,q,S,1799.7000000476837,17596.599999904633,,HRV,HRV_0248,2022-11-30 19:36:09
AstroTurf ,6,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,1.217,4,17596.799999952316,q,S,2291.399999976158,21630.099999904633,,HRV,HRV_0248,2022-11-30 19:36:09
Sapphire,3,What type of stone is referred to as the Star of India?  ,270,1.062,5,21630.199999928474,q,S,1939.3999999761581,25138.599999904633,,HRV,HRV_0248,2022-11-30 19:36:09
Frog,6,Certain types of which animal can be frozen solid and then continue living once thawed?,30,0.844,6,25138.699999928474,q,S,1941.8999999761581,28449.5,,HRV,HRV_0248,2022-11-30 19:36:09
Holy Roman Emperor Henry IV ,4,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.24,7,28449.599999904633,q,S,2091.600000023842,32305.199999928474,,HRV,HRV_0248,2022-11-30 19:36:09
Paris,5,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,1.568,8,32305.299999952316,q,S,2164.7000000476837,36560.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
Italy ,6,What country borders both of the world's only two nations with square flags? ,157,0.968,9,36561.0,q,S,2138.899999976158,40199.299999952316,,HRV,HRV_0248,2022-11-30 19:36:09
Mushrooms which have been exposed to light,6,What is the only non-animal natural source of vitamin D?,459,1.203,10,40199.299999952316,q,S,2384.2000000476837,44313.09999990463,,HRV,HRV_0248,2022-11-30 19:36:09
Camel,2,Which animal's milk does not curdle? ,328,1.234,11,44313.199999928474,q,S,1563.1000000238419,47622.799999952316,,HRV,HRV_0248,2022-11-30 19:36:09
Cadabra.com ,4,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,1.576,12,47622.89999997616,q,S,2707.0,52418.699999928474,,HRV,HRV_0248,2022-11-30 19:36:09
Quotations ,7,What did the letter Q originally stand for in NASDAQ?  ,165,1.792,13,52418.699999928474,q,S,1707.7000000476837,56464.39999997616,,HRV,HRV_0248,2022-11-30 19:36:09
Pepper and Mustard,1,What are the top two most popular spices in the world?,422,1.951,14,56464.39999997616,q,S,1701.7999999523163,60636.799999952316,,HRV,HRV_0248,2022-11-30 19:36:09
Egypt,6,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,1.11,15,60636.89999997616,q,S,1522.1000000238419,63787.39999997616,,HRV,HRV_0248,2022-11-30 19:36:09
South Africa,5,In what country was the largest rough diamond ever discovered?,62,0.915,16,63787.59999990463,q,S,1761.3000000715256,66980.29999995232,,HRV,HRV_0248,2022-11-30 19:36:09
Latex. This is known as the latex-fruit syndrome. ,4,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.857,17,66980.39999997616,q,S,2534.100000023842,71883.79999995232,,HRV,HRV_0248,2022-11-30 19:36:09
citrus fruit (scurvy is caused by a lack of vitamin c),5,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,1.547,18,71883.79999995232,q,S,1743.8999999761581,75699.5,,HRV,HRV_0248,2022-11-30 19:36:09
The old-fashioned,6,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,1.277,19,75699.79999995232,q,S,2022.7000000476837,79516.09999990463,,HRV,HRV_0248,2022-11-30 19:36:09
coca-cola,2,Which famous soft drink was invented in 1892?,425,0.857,20,79516.09999990463,q,S,2056.8000000715256,82941.39999997616,,HRV,HRV_0248,2022-11-30 19:36:09
Haddock,5,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.031,21,82941.5,q,S,2076.5999999046326,86572.09999990463,,HRV,HRV_0248,2022-11-30 19:36:09
Pumpkin,1,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,360,1.743,22,86572.39999997616,q,S,1912.6999999284744,90742.59999990463,,HRV,HRV_0248,2022-11-30 19:36:09
Odor Eaters ,6,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,1.224,23,90742.59999990463,q,S,1542.8000000715256,94023.69999992847,,HRV,HRV_0248,2022-11-30 19:36:09
chickpeas,5,What is used to make hummus?,424,1.398,24,94023.69999992847,q,S,1684.0,97627.69999992847,,HRV,HRV_0248,2022-11-30 19:36:09
Silicon,3,What element is combined with oxygen to make up the mineral quartz?,269,1.305,25,97627.69999992847,q,S,1573.2000000476837,101029.0,,HRV,HRV_0248,2022-11-30 19:36:09
lobster,4,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.215,26,101029.09999990463,q,S,2927.8000000715256,105697.09999990463,,HRV,HRV_0248,2022-11-30 19:36:09
USA,3,Which country invented volleyball?   ,340,0.761,27,105697.09999990463,q,S,1790.7000000476837,108790.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
The names of the Great Lakes ,3,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,1.943,28,108790.89999997616,q,S,2075.5,113327.39999997616,,HRV,HRV_0248,2022-11-30 19:36:09
Giant squid,5,Which animal can have eyes that are a foot in diameter? ,324,0.884,29,113327.5,q,S,1702.5999999046326,116445.5,,HRV,HRV_0248,2022-11-30 19:36:09
Ronin,1,"What Japanese word for ""wave person"" refers to a masterless samurai?  ",219,1.708,30,116445.5,q,S,1718.3999999761581,120387.69999992847,,HRV,HRV_0248,2022-11-30 19:36:09
Oliver!,2,What's the only Best Picture Oscar winner whose title ends with an exclamation point?  ,306,1.8,31,120387.79999995232,q,S,2354.899999976158,125077.59999990463,,HRV,HRV_0248,2022-11-30 19:36:09
Come by her,7,"The title of the song ""Kumbaya"" is actually a distortion of what three-word phrase?",106,1.192,32,125077.59999990463,q,S,1551.9000000953674,128348.69999992847,,HRV,HRV_0248,2022-11-30 19:36:09
Pressure,2,What is measured in millibars? ,202,1.144,33,128348.69999992847,q,S,1697.3999999761581,131716.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
The World Almanac and Book of Facts,6,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.406,34,131716.89999997616,q,S,2527.5,136175.0,,HRV,HRV_0248,2022-11-30 19:36:09
popscicle,5,What food was invented by an 11 year old in 1905?,450,0.504,35,136175.0,q,S,1627.6999999284744,138836.5,,HRV,HRV_0248,2022-11-30 19:36:09
Hong Kong ,2,What city's harbor is overlooked by Victoria Peak? ,185,1.703,36,138836.59999990463,q,S,1947.6000000238419,143008.0,,HRV,HRV_0248,2022-11-30 19:36:09
Gabriele Falloppio ,4,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,0.652,37,143008.0,q,S,2301.6999999284744,146502.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
Kayak,4,An umiak is a larger version of what? ,20,0.528,38,146502.89999997616,q,S,1984.1999999284744,149557.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
San Fancisco,5,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.679,39,149557.89999997616,q,S,1518.6000000238419,153279.79999995232,,HRV,HRV_0248,2022-11-30 19:36:09
The Pope,5,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",32,1.425,40,153279.89999997616,q,S,1901.1999999284744,157128.59999990463,,HRV,HRV_0248,2022-11-30 19:36:09
Coca-Cola,6,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.981,41,157128.59999990463,q,S,1586.7000000476837,161219.5,,HRV,HRV_0248,2022-11-30 19:36:09
Ripe cranerries bounce when dropped on the ground,4,How do farmers test whether cranberries are ripe?,452,0.703,42,161219.5,q,S,1911.5,164369.0,,HRV,HRV_0248,2022-11-30 19:36:09
Claudius,4,Which Roman emperor had a speech impediment?  ,351,1.397,43,164369.0,q,S,1648.5999999046326,167938.5,,HRV,HRV_0248,2022-11-30 19:36:09
Columbia,6,What company introduced the first LP record albums?  ,155,0.777,44,167938.5,q,S,2212.6999999284744,171443.69999992847,,HRV,HRV_0248,2022-11-30 19:36:09
Papillae,1,What are the bumps on the tongue that carry the taste buds called? ,137,1.638,45,171443.89999997616,q,S,2305.2999999523163,175899.59999990463,,HRV,HRV_0248,2022-11-30 19:36:09
pastry,3,Choux and filo are two types of what food product?,446,1.916,46,175899.69999992847,q,S,2017.7000000476837,180376.59999990463,,HRV,HRV_0248,2022-11-30 19:36:09
The Netherlands,6,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,1.839,47,180376.69999992847,q,S,2002.2000000476837,184744.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,3,What is the most fattening product in the modern diet?,457,1.234,48,184744.89999997616,q,S,2029.1999999284744,188548.79999995232,,HRV,HRV_0248,2022-11-30 19:36:09
Gerald Ford ,2,What president was shot while walking to California Governor Jerry Brown's office?  ,247,1.049,49,188548.89999997616,q,S,2531.399999976158,192657.19999992847,,HRV,HRV_0248,2022-11-30 19:36:09
A Spoonful of Sugar ,1,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.584,50,192657.29999995232,q,S,2887.2000000476837,197652.29999995232,,HRV,HRV_0248,2022-11-30 19:36:09
University of Phoenix,7,"What school has the most students over age 25, according to U.S. News & World Report?",256,0.615,51,197652.29999995232,q,S,1901.2000000476837,200696.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
honey,1,Which is the only food that can never go off or go bad?,442,1.438,52,200696.89999997616,p,K,6229.0,208903.09999990463,,HRV,HRV_0248,2022-11-30 19:36:09
KISS ,6,"According to the Guinness Book of Records, what was the loudest rock band ever?",13,0.501,53,208903.09999990463,q,S,4492.300000071526,214425.89999997616,,HRV,HRV_0248,2022-11-30 19:36:09
Smoke,7,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?",52,0.557,54,214425.89999997616,q,S,1830.7999999523163,217353.09999990463,,HRV,HRV_0248,2022-11-30 19:36:09
cheese ,5,What item of food holds the world record for being the most stolen item of food in the world?,444,1.208,55,217353.09999990463,q,S,2454.4000000953674,221542.39999997616,,HRV,HRV_0248,2022-11-30 19:36:09
