Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
the skin and bones of animals,5,What is gelatin made from?,445,1.946,0,4231.600000143051,p,K,1751.1999998092651,8457.400000095367,HRV,HRV_0222,2022-11-30 19:03:08
Peanuts ,7,What snack food is an ingredient in the explosive dynamite?  ,408,1.56,1,8457.400000095367,q,S,2271.7999999523163,12804.799999952316,HRV,HRV_0222,2022-11-30 19:03:08
Rafflesia (corpse lily) ,5,What is the largest flower in the world? ,204,0.536,2,12805.600000143051,q,S,2227.5999999046326,16087.400000095367,HRV,HRV_0222,2022-11-30 19:03:08
The Notorious BIG,7,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,1.198,3,16087.5,p,K,3552.5,21364.700000047684,HRV,HRV_0222,2022-11-30 19:03:08
Iraq,6,In which country were the Hanging Gardens of Babylon located?,69,1.406,4,21364.799999952316,q,S,1791.0,25097.299999952316,HRV,HRV_0222,2022-11-30 19:03:08
Shoe sizes,7,"In Europe, but not the U.S., what are measured in ""Paris Points""?",59,0.665,5,25097.400000095367,q,S,2260.5999999046326,28546.900000095367,HRV,HRV_0222,2022-11-30 19:03:08
James Buchanan ,7,Who was the only U.S. president never to be married?,383,1.312,6,28547.10000014305,q,S,1898.8999998569489,32273.400000095367,HRV,HRV_0222,2022-11-30 19:03:08
Robert Lincoln ,2,Who was the only person to be nearby at three different presidential assassinations? ,382,1.612,7,32273.5,q,S,2397.5,36793.90000009537,HRV,HRV_0222,2022-11-30 19:03:08
The crocodile,6,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.887,8,36794.0,q,S,1999.6000001430511,41217.90000009537,HRV,HRV_0222,2022-11-30 19:03:08
Oklahoma,3,"What U.S. state has the slogan ""Native America"" on its license plates?",271,1.295,9,41218.200000047684,q,S,1935.0999999046326,44972.90000009537,HRV,HRV_0222,2022-11-30 19:03:08
