Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,exp,subjectId,date
Yellow,4,What color is insect blood? ,150,1.821,0,2704.5,t,W,2176.199999999255,7408.60000000149,11435.10000000149,15946.5,,,HRV,HRV_0184,2022-11-30 18:35:09
Charles Babbage ,6,"What inventor of the Difference Engine once baked himself in an oven for five minutes, ""to see what would happen""?",192,1.119,1,15946.60000000149,t,W,4005.099999997765,22467.300000000745,26484.400000002235,29631.300000000745,5,1505.2999999970198,HRV,HRV_0184,2022-11-30 18:35:09
Pepper and Mustard,5,What are the top two most popular spices in the world?,422,1.277,2,29631.800000000745,t,W,3368.199999999255,35517.60000000149,39527.900000002235,42513.900000002235,3,1192.7999999970198,HRV,HRV_0184,2022-11-30 18:35:09
at least 97%,4,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,1.145,3,42514.400000002235,t,W,3224.0,48269.300000000745,52284.0,56801.5,,,HRV,HRV_0184,2022-11-30 18:35:09
Temple Prostitute,1,"Anciently, what was the job description of a ""hierodule""?",21,1.655,4,56801.5,p,K,1749.1000000014901,,,60725.800000000745,,,HRV,HRV_0184,2022-11-30 18:35:09
Silicon,5,What element is combined with oxygen to make up the mineral quartz?,269,0.614,5,60725.800000000745,q,S,2063.39999999851,,,63920.0,,,HRV,HRV_0184,2022-11-30 18:35:09
Cayenne pepper ,3,What spice is named for the capital of French Guiana? ,409,1.005,6,63920.400000002235,p,K,1912.0,,,67362.19999999925,,,HRV,HRV_0184,2022-11-30 18:35:09
The Atlas,6,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,1.964,7,67362.40000000224,t,W,1692.0999999977648,71577.0,75584.19999999925,79642.5,4,1563.0,HRV,HRV_0184,2022-11-30 18:35:09
a spit,4,"If something is described as rotisserie, what has it been cooked on?",428,1.211,8,79642.60000000149,q,S,2200.199999999255,,,83571.10000000149,,,HRV,HRV_0184,2022-11-30 18:35:09
Nutmeg,7,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,1.521,9,83571.30000000075,p,K,2276.0,,,87885.30000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
