Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Hippopotamus ,5,Which wild mammal in Africa has killed the highest number of people? ,358,0.988,0,2982.100000023842,p,K,4197.0,8686.800000011921,HRV,HRV_0255,2022-11-30 19:27:28
Mung beans ,3,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.339,1,8686.900000035763,q,S,5748.5,16282.600000023842,HRV,HRV_0255,2022-11-30 19:27:28
Gibralter,5,"Europe's only free-range monkeys are the Barbary apes, which live where?",37,1.517,2,16282.600000023842,q,S,4512.5,22841.19999998808,HRV,HRV_0255,2022-11-30 19:27:28
Genetics,3,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,1.274,3,22841.19999998808,q,S,2074.100000023842,26716.900000035763,HRV,HRV_0255,2022-11-30 19:27:28
Zinfindel,6,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.87,4,26716.900000035763,q,S,2822.399999976158,31931.0,HRV,HRV_0255,2022-11-30 19:27:28
Australia,5,What country has six sheep for every human? ,158,1.747,5,31931.100000023842,p,K,3168.300000011921,37358.5,HRV,HRV_0255,2022-11-30 19:27:28
Papillae,6,What are the bumps on the tongue that carry the taste buds called? ,137,1.651,6,37358.5,p,K,5012.600000023842,44549.10000002384,HRV,HRV_0255,2022-11-30 19:27:28
Pearl Harbor ,3,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,0.723,7,44549.10000002384,q,S,7206.399999976158,53015.5,HRV,HRV_0255,2022-11-30 19:27:28
Westminster Kennel Club dog show ,4,What is the second oldest continuously held American sporting event?  ,214,1.255,8,53015.5,q,S,3755.400000035763,58548.80000001192,HRV,HRV_0255,2022-11-30 19:27:28
Saffron,1,What is the most expensive spice (by weight) in the world?,431,0.967,9,58548.80000001192,p,K,2574.5,62616.80000001192,HRV,HRV_0255,2022-11-30 19:27:28
Adding olive juice,4,What turns a plain martini into a dirty martini?,440,0.936,10,62616.80000001192,p,K,2362.399999976158,66432.30000001192,HRV,HRV_0255,2022-11-30 19:27:28
A glacial ridge,3,What is an esker? ,198,1.296,11,66432.30000001192,q,S,1634.800000011921,69881.19999998808,HRV,HRV_0255,2022-11-30 19:27:28
