Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Adding olive juice,6,What turns a plain martini into a dirty martini?,440,1.731,0,2391.300000000745,q,S,3379.5,8015.300000000745,HRV,HRV_0312,2022-11-30 22:03:12
Two of the seven cities of gold,1,What are Quivira and Cibola?  ,136,1.477,1,8015.60000000149,q,S,2835.199999999255,12839.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Throat,6,Where in the human body is the only bone that is not jointed to another?  ,317,1.603,2,12839.10000000149,q,S,4115.699999999255,19071.0,HRV,HRV_0312,2022-11-30 22:03:12
a spit,3,"If something is described as rotisserie, what has it been cooked on?",428,1.862,3,19071.10000000149,p,K,5859.699999999255,27303.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
American Pie,2,What was the name of the plane Buddy Holly died in?  ,289,1.941,4,27303.10000000149,q,S,3939.699999999255,33695.20000000112,HRV,HRV_0312,2022-11-30 22:03:12
cooking,7,"If you suffer from Mageirocophobia, what are you scared of?",438,0.97,5,33695.20000000112,q,S,2570.5999999996275,37751.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Abraham Lincoln,7,Who was the only U.S. president to also hold a patent for an invention?,384,1.302,6,37751.10000000149,q,S,1666.699999999255,41231.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Boston Tea Party,6,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",94,1.553,7,41231.10000000149,q,S,5178.699999999255,48479.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
over 10 billion donuts. ,4,How many donuts are concumed in the US every year?,463,1.024,8,48479.10000000149,q,S,3682.699999999255,53703.0,HRV,HRV_0312,2022-11-30 22:03:12
A Galapagos giant tortoise ,2,"What kind of animal was Hariet, who died at the Queensland Zoo in 2006 and was claimed to have belonged to Charles Darwin?",223,1.811,9,53703.20000000112,q,S,8354.599999999627,64383.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Avocados have twice the amount of potassium as bananas. ,2,Which fruit has more potassium than bananas?,455,1.337,10,64383.10000000149,q,S,2066.699999999255,68303.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Australia,4,What country has six sheep for every human? ,158,1.602,11,68303.20000000112,q,S,1770.5999999996275,72191.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Shower curtain ,3,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,33,0.686,12,72191.10000000149,q,S,4641.699999999255,78031.20000000112,HRV,HRV_0312,2022-11-30 22:03:12
Odor Eaters ,6,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,0.613,13,78031.20000000112,q,S,4817.5999999996275,83975.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
All in the Family ,2,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,0.914,14,83975.10000000149,q,S,3473.699999999255,88879.20000000112,HRV,HRV_0312,2022-11-30 22:03:12
The crocodile,2,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.456,15,88879.20000000112,q,S,8177.5999999996275,99023.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Nutmeg,3,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.836,16,99023.20000000112,q,S,4537.5999999996275,104911.0,HRV,HRV_0312,2022-11-30 22:03:12
The Missouri River ,4,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",179,0.972,17,104911.10000000149,q,S,6161.699999999255,112551.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
The Hindenburg explosion,3,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.005,18,112551.10000000149,q,S,2433.699999999255,116495.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Gone with the Wind,2,The first swear word on the big screen was in what movie?,100,1.256,19,116495.10000000149,q,S,2872.699999999255,121135.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
"the Red Hot Chili Peppers, followed closely by Meatloaf",5,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,0.53,20,121135.10000000149,q,S,7584.699999999255,129759.10000000149,HRV,HRV_0312,2022-11-30 22:03:12
Mexico ,1,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ",65,0.884,21,129759.10000000149,p,K,6856.699999999255,138007.1000000015,HRV,HRV_0312,2022-11-30 22:03:12
The Mona Lisa,3,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,0.72,22,138007.1000000015,q,S,3568.699999999255,142807.1000000015,HRV,HRV_0312,2022-11-30 22:03:12
Joeys,1,What are infant marsupials called?  ,135,0.975,23,142807.1000000015,q,S,7280.699999999255,151567.1000000015,HRV,HRV_0312,2022-11-30 22:03:12
Arthur Conan Doyle,1,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,1.984,24,151567.20000000112,q,S,5255.5999999996275,159319.1000000015,HRV,HRV_0312,2022-11-30 22:03:12
Gabriele Falloppio ,2,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.879,25,159319.1000000015,q,S,3007.699999999255,164711.20000000112,HRV,HRV_0312,2022-11-30 22:03:12
Canada,2,What's the only country to have hosted a Summer Olympics in which it didn't win a single medal?   ,308,1.009,26,164711.20000000112,q,S,4415.5999999996275,170647.0,HRV,HRV_0312,2022-11-30 22:03:12
Rabbit,1,What kind of animal attacked Jimmy Carter during an April 1979 fishing trip?   ,221,0.881,27,170647.0,q,S,3695.800000000745,175735.1000000015,HRV,HRV_0312,2022-11-30 22:03:12
The Guinness Book of World Records,4,What did Ross and Norris McWhirter compile as a promotional giveaway in 1955? ,164,1.11,28,175735.20000000112,q,S,2471.5999999996275,179823.0,HRV,HRV_0312,2022-11-30 22:03:12
