Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Sri Lanka,6,"The word serendipity comes from Serendip, the Persian name for what island? ",109,1.108,0,2711.899999976158,t,W,4034.399999976158,9281.600000023842,13296.100000023842,5,523.5,15441.699999928474,HRV,HRV_0211,2022-11-30 18:42:47
The Galapagos Islands ,7,What islands are home to most of the world's blue-footed boobies? ,216,1.631,1,15441.899999976158,t,W,3328.600000023842,21300.699999928474,25319.600000023842,5,1090.6999999284744,28569.299999952316,HRV,HRV_0211,2022-11-30 18:42:47
Twenty-fourth ,2,Which Constitutional Amendment deals with poll taxes? ,335,1.228,2,28569.399999976158,t,W,3168.7999999523163,34255.199999928474,38275.799999952316,3,576.0,40616.299999952316,HRV,HRV_0211,2022-11-30 18:42:47
Brazil,6,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,1.969,3,40616.299999952316,q,S,5985.899999976158,,,,,49103.199999928474,HRV,HRV_0211,2022-11-30 18:42:47
Shower curtain ,7,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,33,1.184,4,49103.299999952316,t,W,4156.5,55772.5,59796.5,3,1461.6999999284744,62963.60000002384,HRV,HRV_0211,2022-11-30 18:42:47
The Millenium Falcon ,6,"What could be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",156,0.764,5,62963.699999928474,t,W,5585.600000023842,71079.10000002384,75095.60000002384,3,1226.6999999284744,77619.79999995232,HRV,HRV_0211,2022-11-30 18:42:47
Tse-tse fly,3,What transmits the disease typanosomiasis to humans and cattle? ,267,1.167,6,77619.79999995232,t,W,4272.0,84420.69999992847,88441.10000002384,5,1609.3999999761581,91752.5,HRV,HRV_0211,2022-11-30 18:42:47
Bono ,6,What singer took his stage name from a Dublin hearing aid billboard?  ,257,1.499,7,91752.60000002384,t,W,4690.899999976158,98968.19999992847,102981.29999995232,5,1086.0,106086.79999995232,HRV,HRV_0211,2022-11-30 18:42:47
Abraham Lincoln ,5,"What president has three ""A's"" in his first name, each of which has a different sound? ",246,1.665,8,106086.89999997616,q,S,3285.0,,,,,111549.69999992847,HRV,HRV_0211,2022-11-30 18:42:47
Nuclear Disarmament,5,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.256,9,111549.79999995232,t,W,5468.5,119541.0,123562.10000002384,4,1752.3999999761581,127087.5,HRV,HRV_0211,2022-11-30 18:42:47
The popsicle,6,Which popular treat was invented by an 11-year-old in California? ,413,1.002,10,127087.60000002384,t,W,5818.799999952316,135440.60000002384,139447.0,5,948.6999999284744,141928.29999995232,HRV,HRV_0211,2022-11-30 18:42:47
Shoe sizes,7,"In Europe, but not the U.S., what are measured in ""Paris Points""?",59,1.109,11,141928.29999995232,t,W,4625.600000023842,149077.79999995232,153101.10000002384,2,1294.6999999284744,156035.0,HRV,HRV_0211,2022-11-30 18:42:47
