Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Every jar of peanut butter must be at least 90% peanuts,5,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.427,0,3209.4000000953674,t,W,4159.399999976158,9894.700000047684,13904.700000047684,5,2320.5,18186.300000071526,HRV,HRV_0082,2022-11-30 17:54:19
Giant squid,6,Which animal can have eyes that are a foot in diameter? ,324,1.796,1,18186.300000071526,p,K,5726.699999928474,,,,,26237.0,HRV,HRV_0082,2022-11-30 17:54:19
Martin Luther King Jr. ,4,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,1.61,2,26237.100000023842,,,,,,,,35757.90000009537,HRV,HRV_0082,2022-11-30 17:54:19
Yellow,1,What color is insect blood? ,150,1.804,3,35757.90000009537,t,W,3459.1999999284744,41743.5,45764.60000002384,3,580.5,48671.700000047684,HRV,HRV_0082,2022-11-30 17:54:19
Espresso,2,The Italian government regulates the price of what beverage?,399,1.673,4,48671.700000047684,p,K,3673.2000000476837,,,,,54549.40000009537,HRV,HRV_0082,2022-11-30 17:54:19
60 fragments per 100 gram ,5,What amount of insects does the FDA allow in chocolate,453,0.521,5,54549.5,t,W,3643.7000000476837,60713.200000047684,64725.60000002384,5,2755.3000000715256,68524.60000002384,HRV,HRV_0082,2022-11-30 17:54:19
Owl,5,"Which animal has tubular shaped eyeballs, which therefore cannot move?  ",325,1.822,6,68524.60000002384,t,W,6668.700000047684,77715.90000009537,81725.40000009537,5,2283.0,86348.30000007153,HRV,HRV_0082,2022-11-30 17:54:19
Thomas Nast ,2,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,1.587,7,86348.30000007153,t,W,5700.899999976158,94583.0,98601.0,2,2056.100000023842,102774.90000009537,HRV,HRV_0082,2022-11-30 17:54:19
Koala,7,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,1.353,8,102774.90000009537,,,,,,,,112308.10000002384,HRV,HRV_0082,2022-11-30 17:54:19
Death,6,"In ancient Egypt, what was the penalty for killing a cat?",58,1.619,9,112308.10000002384,t,W,3957.0,118801.10000002384,122818.20000004768,5,2534.7000000476837,127488.60000002384,HRV,HRV_0082,2022-11-30 17:54:19
Bling bling ,4,What term does rapper B.G. say he wishes he'd patented when he used it for the title of his massive 1999 hit?,264,1.431,10,127488.70000004768,q,S,7448.299999952316,,,,,136886.5,HRV,HRV_0082,2022-11-30 17:54:19
Bright red,1,Vitamin A is largely available in natural food sources with which colour?,448,1.207,11,136886.60000002384,p,K,5809.399999976158,,,,,144414.30000007153,HRV,HRV_0082,2022-11-30 17:54:19
An ostrich egg yolk ,4,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,1.011,12,144414.30000007153,t,W,5169.899999976158,152109.70000004768,156117.80000007153,5,2274.6999999284744,159925.0,HRV,HRV_0082,2022-11-30 17:54:19
Texas,6,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",67,0.902,13,159925.0,p,K,5580.200000047684,,,,,166924.0,HRV,HRV_0082,2022-11-30 17:54:19
World War I,5,"During which war was ""The African Queen"" set?",34,1.663,14,166924.0,p,K,3868.7000000476837,,,,,172981.0,HRV,HRV_0082,2022-11-30 17:54:19
Odor Eaters ,3,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,0.798,15,172981.0,t,W,5212.400000095367,180714.40000009537,184725.30000007153,5,2315.6999999284744,188363.5,HRV,HRV_0082,2022-11-30 17:54:19
Arkansas ,6,Where is the only active diamond mine in the U.S.?,320,1.466,16,188363.5,t,W,5677.5,196564.5,200580.90000009537,5,1900.2999999523163,204486.80000007153,HRV,HRV_0082,2022-11-30 17:54:19
Love Me Do ,3,What was The Beatles's first song to hit the UK charts?,280,1.578,17,204486.80000007153,p,K,4345.600000023842,,,,,210936.70000004768,HRV,HRV_0082,2022-11-30 17:54:19
James Brown,1,"When asked to define ""cool,"" what two words did James Brown use? ",312,0.766,18,210936.80000007153,t,W,6767.5,220210.40000009537,224223.80000007153,3,2097.600000023842,227611.5,HRV,HRV_0082,2022-11-30 17:54:19
The Discovery,1,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,1.461,19,227611.5,t,W,8005.600000023842,238138.80000007153,242155.70000004768,5,605.2999999523163,244747.80000007153,HRV,HRV_0082,2022-11-30 17:54:19
Peanuts ,3,What snack food is an ingredient in the explosive dynamite?  ,408,1.319,20,244747.80000007153,t,W,5621.100000023842,252895.0,256910.20000004768,5,2107.100000023842,260863.5,HRV,HRV_0082,2022-11-30 17:54:19
Penny Marshall,2,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,0.601,21,260863.5,t,W,5473.0,268877.90000009537,272889.0,5,2032.7000000476837,276043.90000009537,HRV,HRV_0082,2022-11-30 17:54:19
Avocado,4,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,0.648,22,276043.90000009537,q,S,7844.299999952316,,,,,285064.3000000715,HRV,HRV_0082,2022-11-30 17:54:19
