Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Rechargeable batteries,1,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,1.949,0,1974.4000000059605,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 2520.5, 'date time': 1669830343631}]",q,S,1968.5999999940395,6419.600000008941,HRV,HRV_0145,2022-11-30 17:55:44
Teeth,4,"One in every 2,000 babies is born with what? ",77,1.024,1,6419.70000000298,,q,S,4340.79999999702,12300.60000000894,HRV,HRV_0145,2022-11-30 17:55:44
The bishop,7,Which chess piece was originally called 'the elephant'? ,334,1.189,2,12300.70000000298,,q,S,2297.9000000059605,16291.90000000596,HRV,HRV_0145,2022-11-30 17:55:44
citrus fruit (scurvy is caused by a lack of vitamin c),3,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,1.614,3,16291.90000000596,,q,S,1826.5,20254.60000000894,HRV,HRV_0145,2022-11-30 17:55:44
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,5,Whice fruit is effective than coffee at waking you up in the morning?,454,1.686,4,20254.60000000894,,q,S,1912.5999999940395,24387.30000001192,HRV,HRV_0145,2022-11-30 17:55:44
Haricot beans,5,Baked beans are made from what type of bean?,443,0.774,5,24387.40000000596,,q,S,1651.7000000029802,27333.70000000298,HRV,HRV_0145,2022-11-30 17:55:44
Green Eggs and Ham,1,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.019,6,27333.80000001192,,q,S,1593.0999999940395,30460.60000000894,HRV,HRV_0145,2022-11-30 17:55:44
Ostrich,3,Which animal's eyes are bigger than its brain?   ,327,1.636,7,30460.60000000894,,q,S,2050.0,34658.70000000298,HRV,HRV_0145,2022-11-30 17:55:44
Eisenhower ,1,Who was president when the first U.S. presidential news conference was filmed for TV?,378,1.609,8,34658.80000001192,,q,S,2116.199999988079,38903.20000000298,HRV,HRV_0145,2022-11-30 17:55:44
popscicle,6,What food was invented by an 11 year old in 1905?,450,1.741,9,38903.40000000596,,q,S,1607.9000000059605,42785.90000000596,HRV,HRV_0145,2022-11-30 17:55:44
Gibralter,1,"Europe's only free-range monkeys are the Barbary apes, which live where?",37,1.831,10,42785.90000000596,,q,S,1549.4000000059605,46686.70000000298,HRV,HRV_0145,2022-11-30 17:55:44
The Mona Lisa,1,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.642,11,46686.70000000298,,q,S,1840.0,50679.80000001192,HRV,HRV_0145,2022-11-30 17:55:44
Joeys,5,What are infant marsupials called?  ,135,1.024,12,50679.80000001192,,q,S,1904.5,54149.40000000596,HRV,HRV_0145,2022-11-30 17:55:44
As Good As It Gets ,2,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,1.661,13,54149.40000000596,,q,S,2130.7000000029802,58473.30000001192,HRV,HRV_0145,2022-11-30 17:55:44
Smoke,1,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?",52,0.62,14,58473.30000001192,,q,S,2117.8999999910593,61742.20000000298,HRV,HRV_0145,2022-11-30 17:55:44
60 fragments per 100 gram ,2,What amount of insects does the FDA allow in chocolate,453,1.362,15,61742.20000000298,,q,S,1561.4000000059605,65202.30000001192,HRV,HRV_0145,2022-11-30 17:55:44
Pancreas,1,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,0.741,16,65202.30000001192,,q,S,1838.5,68321.90000000596,HRV,HRV_0145,2022-11-30 17:55:44
Martin Luther King Jr. ,1,Who won the Nobel Peace Prize in 1964? ,386,1.621,17,68321.90000000596,,q,S,1766.4000000059605,72232.60000000894,HRV,HRV_0145,2022-11-30 17:55:44
coca-cola,3,Which famous soft drink was invented in 1892?,425,1.151,18,72232.60000000894,,q,S,1559.3999999910593,75468.5,HRV,HRV_0145,2022-11-30 17:55:44
Francisco Goya,7,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?",15,1.23,19,75468.60000000894,,q,S,2859.8999999910593,80083.20000000298,HRV,HRV_0145,2022-11-30 17:55:44
honey,5,Which is the only food that can never go off or go bad?,442,0.828,20,80083.20000000298,,q,S,1780.2000000029802,83224.60000000894,HRV,HRV_0145,2022-11-30 17:55:44
Cockroach,6,What animal can live up to a week without its head?,131,1.658,21,83224.60000000894,,p,K,2063.3999999910593,87471.0,HRV,HRV_0145,2022-11-30 17:55:44
cheese ,2,What item of food holds the world record for being the most stolen item of food in the world?,444,0.518,22,87471.10000000894,,q,S,1760.2999999970198,90281.5,HRV,HRV_0145,2022-11-30 17:55:44
South Africa,7,In what country was the largest rough diamond ever discovered?,62,1.191,23,90281.5,,q,S,1518.800000011921,93530.60000000894,HRV,HRV_0145,2022-11-30 17:55:44
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,3,What is the most fattening product in the modern diet?,457,1.194,24,93530.60000000894,,q,S,1877.2999999970198,97124.40000000596,HRV,HRV_0145,2022-11-30 17:55:44
Cadabra.com ,6,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,0.989,25,97124.5,,q,S,2868.2000000029802,101511.20000000298,HRV,HRV_0145,2022-11-30 17:55:44
The Hardy Boys ,6,"Who solves crimes in Bayport, located on Barmet Bay? ",374,1.555,26,101511.20000000298,,q,S,1608.7999999970198,105210.20000000298,HRV,HRV_0145,2022-11-30 17:55:44
"Gaslight Caf̩, Greenwich Village",2,Where did Bob Dylan first play in public? ,314,1.927,27,105210.30000001192,,q,S,1774.0,109428.90000000596,HRV,HRV_0145,2022-11-30 17:55:44
Paper,5,"What invention should make Ts'ai Lun, a second-century inventor, a household name? ",191,1.264,28,109428.90000000596,,q,S,1835.7999999970198,113050.40000000596,HRV,HRV_0145,2022-11-30 17:55:44
Pandemonium,2,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,1.794,29,113050.40000000596,,q,S,1533.9000000059605,116910.30000001192,HRV,HRV_0145,2022-11-30 17:55:44
An ostrich egg yolk ,3,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,1.598,30,116910.40000000596,,q,S,2889.2999999970198,121919.0,HRV,HRV_0145,2022-11-30 17:55:44
The La Brea tar pits ,1,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,0.735,31,121919.0,,q,S,2185.6000000089407,125369.10000000894,HRV,HRV_0145,2022-11-30 17:55:44
