Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
The Super Bowl ,5,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,1.59,0,2765.899999856949,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 3132.699999809265, 'date time': 1669832481595}]",q,S,1680.0,6554.0,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Endeavour ,3,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.096,1,6554.199999809265,,q,S,2395.9000000953674,10564.699999809265,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Ripe cranerries bounce when dropped on the ground,4,How do farmers test whether cranberries are ripe?,452,1.28,2,10564.799999952316,,q,S,2137.399999856949,14514.699999809265,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Model train set,5,HO scale is the world's most popular size of what?,45,1.796,3,14514.799999952316,,q,S,2746.899999856949,19578.799999952316,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Mung beans ,3,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,0.729,4,19578.799999952316,,q,S,2515.7999999523163,23359.89999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Giant squid,1,Which animal can have eyes that are a foot in diameter? ,324,1.906,5,23359.89999985695,,t,W,3896.0,37684.89999985695,29784.5,33798.39999985695,2,1447.6000001430511,HRV,HRV_0196,2022-11-30 18:34:52
Russia,5,Which country has the most public libraries?  ,339,0.628,6,37685.199999809265,,q,S,1514.4000000953674,40356.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Kiwi,3,"Which bird species has survived more than 70 million years, despite the fact that it lays one egg a year and is nearly blind?",331,1.259,7,40356.09999990463,,q,S,5161.700000047684,47288.39999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Martin Luther King Jr. ,2,Who won the Nobel Peace Prize in 1964? ,386,0.627,8,47288.39999985695,,q,S,3791.4000000953674,52232.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Eisenhower ,7,Who was president when the first U.S. presidential news conference was filmed for TV?,378,1.314,9,52233.09999990463,,q,S,2725.0,56800.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Brigham Young University,6,What is the most sober school according to The Princeton Review? ,206,1.67,10,56800.199999809265,,q,S,2294.2000000476837,61291.199999809265,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Traffic lights,4,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",113,0.886,11,61291.299999952316,,q,S,1883.0,64583.59999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Grace Kelly ,1,What was the name of the American actress who was first to appear on a postage stamp?  ,288,1.41,12,64583.699999809265,,q,S,3054.7000000476837,69583.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
