Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Anaconda,5,Which species of snake gives birth to its young instead of laying eggs?  ,353,1.387,0,2196.7999999988824,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 5545.199999999255, 'date time': 1669829071125}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 6126.39999999851, 'date time': 1669829071706}]",11703.599999999627,,,,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Everything ,6,Pantophobia is the fear of what?,79,0.638,1,11703.599999999627,,28007.89999999851,t,W,5241.0,19476.0,23489.0,3,3353.89999999851,HRV,HRV_0039,2022-11-30 17:34:30
Sweden,5,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,0.543,2,28007.89999999851,,43235.199999999255,t,W,5591.300000000745,36118.5,40128.699999999255,3,2049.199999999255,HRV,HRV_0039,2022-11-30 17:34:30
Saffron,2,What is the most expensive spice (by weight) in the world?,431,1.764,3,43235.199999999255,,52665.89999999851,p,K,7139.5999999996275,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Medicine,4,What industry uses 20% of China's harvested plants?  ,188,1.803,4,52666.0,,71693.59999999963,t,W,7713.5,62910.699999999255,66927.39999999851,5,2437.0,HRV,HRV_0039,2022-11-30 17:34:30
Geyser,5,What English word comes from the name of a hot spring in Iceland's Haukadalur valley? ,171,0.531,5,71693.59999999963,,81220.89999999851,,,,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Stratosphere,4,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",64,1.338,6,81220.89999999851,,91447.09999999963,p,K,8367.700000001118,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Espresso,1,The Italian government regulates the price of what beverage?,399,1.459,7,91447.09999999963,,107092.29999999888,t,W,6018.0999999996275,99985.09999999963,103993.19999999925,4,1109.800000000745,HRV,HRV_0039,2022-11-30 17:34:30
The bishop,4,Which chess piece was originally called 'the elephant'? ,334,1.95,8,107092.39999999851,,123140.79999999888,t,W,5131.60000000149,114752.89999999851,118768.5,5,1888.3999999985099,HRV,HRV_0039,2022-11-30 17:34:30
The sky,6,The Linke Scale is used to measure the blueness of what?,101,0.967,9,123140.79999999888,,139268.09999999963,t,W,5819.0999999996275,131487.3999999985,135498.3999999985,5,2268.2000000011176,HRV,HRV_0039,2022-11-30 17:34:30
