Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Anaconda,3,Which species of snake gives birth to its young instead of laying eggs?  ,353,1.245,0,1926.5,q,S,4271.5,7978.900000035763,HRV,HRV_0186,2022-11-30 18:29:18
coca-cola,6,Which famous soft drink was invented in 1892?,425,0.792,1,7978.900000035763,p,K,1947.0999999642372,11248.900000035763,HRV,HRV_0186,2022-11-30 18:29:18
Radioactivity,5,What is measured in becquerels? ,201,1.05,2,11248.900000035763,q,S,1709.2999999523163,14534.300000011921,HRV,HRV_0186,2022-11-30 18:29:18
The World Almanac and Book of Facts,6,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.904,3,14534.300000011921,q,S,3663.699999988079,20634.19999998808,HRV,HRV_0186,2022-11-30 18:29:18
A mine shaft passage,7,What is an adit?  ,197,1.263,4,20634.19999998808,q,S,2227.800000011921,24655.100000023842,HRV,HRV_0186,2022-11-30 18:29:18
Canadian Oil,5,What is canola an abbreviation for?,436,1.621,5,24655.100000023842,q,S,4215.300000011921,31024.600000023842,HRV,HRV_0186,2022-11-30 18:29:18
Gabriele Falloppio ,3,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.28,6,31024.600000023842,p,K,3197.399999976158,36022.90000003576,HRV,HRV_0186,2022-11-30 18:29:18
Bright red,1,Vitamin A is largely available in natural food sources with which colour?,448,0.584,7,36022.90000003576,q,S,4999.299999952316,42136.80000001192,HRV,HRV_0186,2022-11-30 18:29:18
Let's spend some time together,6,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,0.54,8,42136.80000001192,q,S,4293.199999988079,47500.90000003576,HRV,HRV_0186,2022-11-30 18:29:18
It's stamped on the coin's edge.,4,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,1.268,9,47500.90000003576,q,S,5129.399999976158,54442.19999998808,HRV,HRV_0186,2022-11-30 18:29:18
"the white flesh that houses the seeds, known as the placenta",4,What is the hottest part of a chili?,432,1.647,10,54442.19999998808,p,K,1875.800000011921,58497.0,HRV,HRV_0186,2022-11-30 18:29:18
Vietnam,1,"In what country did the domesticated ""potbellied pig"" originate?",61,0.722,11,58497.0,q,S,2924.900000035763,62667.19999998808,HRV,HRV_0186,2022-11-30 18:29:18
Draw,5,What does a screever do on a sidewalk? ,167,0.547,12,62667.19999998808,q,S,1531.1000000238419,65281.30000001192,HRV,HRV_0186,2022-11-30 18:29:18
Kidnapping and killing the Lindbergh baby,2,For what crime was Bruno Hauptmann executed in 1936?,41,0.672,13,65281.30000001192,q,S,3148.899999976158,69622.40000003576,HRV,HRV_0186,2022-11-30 18:29:18
Habanero,7,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.571,14,69622.40000003576,p,K,3727.599999964237,75443.5,HRV,HRV_0186,2022-11-30 18:29:18
a spit,4,"If something is described as rotisserie, what has it been cooked on?",428,1.93,15,75443.5,p,K,3914.600000023842,81823.80000001192,HRV,HRV_0186,2022-11-30 18:29:18
ZZ Top,7,What musical group chose their name deliberately so that they would appear last in alphabetical listings?,234,1.892,16,81823.80000001192,q,S,3366.100000023842,87608.90000003576,HRV,HRV_0186,2022-11-30 18:29:18
Marriage,6,Gamophobia is the fear of what?,42,1.11,17,87608.90000003576,q,S,3413.599999964237,92645.5,HRV,HRV_0186,2022-11-30 18:29:18
Steamboat Geyser,6,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,1.905,18,92645.5,q,S,3936.5,99022.5,HRV,HRV_0186,2022-11-30 18:29:18
It causes sour foods subsequently consumed to taste sweet. ,5,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,1.538,19,99022.5,p,K,3255.699999988079,104338.69999998808,HRV,HRV_0186,2022-11-30 18:29:18
Pieces of Skylab fell there,3,"Why did the Shire of Esperance, in Western Australia, issue the United States a $400 fine for littering in 1979?",391,0.937,20,104338.69999998808,q,S,4635.200000047684,110440.19999998808,HRV,HRV_0186,2022-11-30 18:29:18
A Spoonful of Sugar ,1,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,0.99,21,110440.30000001192,q,S,5470.0,117431.60000002384,HRV,HRV_0186,2022-11-30 18:29:18
Woodrow Wilson ,4,"Which U.S. president declared the first national ""Mother's Day""?  ",355,0.909,22,117431.60000002384,p,K,5006.399999976158,123875.80000001192,HRV,HRV_0186,2022-11-30 18:29:18
Come by her,7,"The title of the song ""Kumbaya"" is actually a distortion of what three-word phrase?",106,1.78,23,123875.80000001192,q,S,2882.5,129077.80000001192,HRV,HRV_0186,2022-11-30 18:29:18
Russia,3,Which country has the most public libraries?  ,339,1.183,24,129077.80000001192,q,S,4552.199999988079,135333.60000002384,HRV,HRV_0186,2022-11-30 18:29:18
"the Red Hot Chili Peppers, followed closely by Meatloaf",2,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.766,25,135333.60000002384,q,S,7168.699999988079,144787.69999998808,HRV,HRV_0186,2022-11-30 18:29:18
The barrel of a gun,1,"According to Chairman Mao, ""political power grows out of"" what?",11,1.783,26,144787.69999998808,q,S,2850.300000011921,149940.10000002384,HRV,HRV_0186,2022-11-30 18:29:18
Thrust,7,What term for a rocket's propulsive force is calculated by multiplying its exhaust velocity by the burn rate of its fuel?,265,1.966,27,149940.10000002384,q,S,5306.300000011921,157731.69999998808,HRV,HRV_0186,2022-11-30 18:29:18
The I Ching,6,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",80,1.948,28,157731.80000001192,p,K,4026.199999988079,164246.5,HRV,HRV_0186,2022-11-30 18:29:18
Mung beans ,3,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.075,29,164246.5,p,K,2991.900000035763,168845.10000002384,HRV,HRV_0186,2022-11-30 18:29:18
NY,6,In which state was the first execution by electric chair?  ,70,0.61,30,168845.10000002384,q,S,1889.0,171868.69999998808,HRV,HRV_0186,2022-11-30 18:29:18
AstroTurf ,4,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,1.215,31,171868.69999998808,q,S,3425.300000011921,177043.69999998808,HRV,HRV_0186,2022-11-30 18:29:18
Every jar of peanut butter must be at least 90% peanuts,3,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.564,32,177043.69999998808,q,S,2042.7000000476837,181164.69999998808,HRV,HRV_0186,2022-11-30 18:29:18
Ripe cranerries bounce when dropped on the ground,1,How do farmers test whether cranberries are ripe?,452,0.909,33,181164.69999998808,p,K,1713.300000011921,184307.60000002384,HRV,HRV_0186,2022-11-30 18:29:18
Dorito is Spanish for little golden things,5,What does Dorito actually mean?,434,1.475,34,184307.60000002384,q,S,3618.399999976158,189934.0,HRV,HRV_0186,2022-11-30 18:29:18
The crocodile,5,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.165,35,189934.10000002384,p,K,3440.199999988079,195069.90000003576,HRV,HRV_0186,2022-11-30 18:29:18
Luxor,5,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,0.715,36,195069.90000003576,p,K,6712.099999964237,203026.10000002384,HRV,HRV_0186,2022-11-30 18:29:18
