Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,exp,subjectId,date
"the Red Hot Chili Peppers, followed closely by Meatloaf",2,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.338,0,2394.600000023842,11913.400000035763,,,,HRV,HRV_0017,2022-11-30 17:46:09
Iraq,3,In which country were the Hanging Gardens of Babylon located?,69,0.964,1,11913.600000023842,14966.5,q,S,1573.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Nuclear Disarmament,2,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.791,2,14966.600000023842,20063.200000047684,p,K,2783.100000023842,HRV,HRV_0017,2022-11-30 17:46:09
Equal Employment Opportunity Commission ,2,"What federal agency, which targets workplace discrimination, was chaired by Clarence Thomas for most of the 1980s?",176,1.912,3,20063.30000001192,24897.0,q,S,2400.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Green Eggs and Ham,6,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.682,4,24897.200000047684,29682.600000023842,q,S,2585.2999999523163,HRV,HRV_0017,2022-11-30 17:46:09
Monrovia,6,What African capital city is named after a U.S. president? ,128,1.155,5,29682.600000023842,33150.5,q,S,1799.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
"A peanut is a legume, not a nut",4,What type of food is a peanut?,447,0.87,6,33150.60000002384,36182.5,p,K,1640.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Joeys,4,What are infant marsupials called?  ,135,1.582,7,36182.60000002384,40446.60000002384,q,S,2157.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
The guppy,2,What common aquarium fish is named for the naturalist who discovered it in Trinidad in 1876? ,152,0.73,8,40446.60000002384,44238.700000047684,q,S,2540.399999976158,HRV,HRV_0017,2022-11-30 17:46:09
Papillae,6,What are the bumps on the tongue that carry the taste buds called? ,137,0.676,9,44238.90000003576,47967.10000002384,p,K,2528.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Shenandoah Valley,2,What area changed hands 72 times during the Civil War? ,139,1.122,10,47967.200000047684,51511.80000001192,q,S,1905.5999999642372,HRV,HRV_0017,2022-11-30 17:46:09
J,2,What's the only letter that doesn't appear in the periodic table of elements?,309,0.858,11,51511.90000003576,55127.0,p,K,2237.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
South America,7,The electric eel is native only to what continent?,96,0.612,12,55127.0,58165.80000001192,q,S,1906.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
Ronin,2,"What Japanese word for ""wave person"" refers to a masterless samurai?  ",219,1.322,13,58165.80000001192,63158.30000001192,q,S,3157.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Paper,2,"What invention should make Ts'ai Lun, a second-century inventor, a household name? ",191,0.887,14,63158.40000003576,66870.10000002384,q,S,2307.599999964237,HRV,HRV_0017,2022-11-30 17:46:09
Stratosphere,6,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",64,1.9,15,66870.20000004768,71018.5,q,S,1722.5999999642372,HRV,HRV_0017,2022-11-30 17:46:09
spiced ham,3,What two words were combined to make the word Spam?,426,1.211,16,71018.60000002384,74726.60000002384,p,K,1976.6000000238419,HRV,HRV_0017,2022-11-30 17:46:09
Coca-cola,2,What popular drink was first marketed as a brain tonic?,405,0.624,17,74726.70000004768,77729.0,p,K,1857.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Matches,4,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,0.936,18,77729.0,81614.60000002384,q,S,2429.2000000476837,HRV,HRV_0017,2022-11-30 17:46:09
Mung beans ,6,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,0.793,19,81614.60000002384,85634.30000001192,p,K,2703.100000023842,HRV,HRV_0017,2022-11-30 17:46:09
I'm a Believer ,6,What Monkees number one hit was written by a young Neil Diamond? ,233,0.689,20,85634.30000001192,88623.60000002384,q,S,1782.0,HRV,HRV_0017,2022-11-30 17:46:09
Geyser,7,What English word comes from the name of a hot spring in Iceland's Haukadalur valley? ,171,1.473,21,88623.60000002384,93696.0,q,S,3079.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Giant squid,2,What is the largest creature without a backbone? ,203,1.359,22,93696.0,97301.60000002384,q,S,1728.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
San Fancisco,7,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.13,23,97301.70000004768,100786.0,q,S,1834.5,HRV,HRV_0017,2022-11-30 17:46:09
Butterfly,5,The Admiral is which type of insect? ,89,0.674,24,100786.10000002384,103504.40000003576,q,S,1522.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
Jamaica Bay,1,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,0.844,25,103504.40000003576,106922.10000002384,q,S,2052.099999964237,HRV,HRV_0017,2022-11-30 17:46:09
Radar,6,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,0.719,26,106922.10000002384,109768.20000004768,q,S,1616.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
A Cheeta born in 1932,4,Who is the world's oldest (non-human) primate on record?  ,369,1.47,27,109768.20000004768,114029.90000003576,p,K,2273.599999964237,HRV,HRV_0017,2022-11-30 17:46:09
lobster,2,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.113,28,114030.0,117607.90000003576,p,K,1945.2000000476837,HRV,HRV_0017,2022-11-30 17:46:09
Death,5,"In ancient Egypt, what was the penalty for killing a cat?",58,1.08,29,117608.0,120791.30000001192,p,K,1580.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
American Pie,3,What was the name of the plane Buddy Holly died in?  ,289,1.953,30,120791.30000001192,124791.40000003576,q,S,1531.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Sixteenth,3,Which Constitutional Amendment deals with the income tax? ,336,1.746,31,124791.40000003576,128950.60000002384,q,S,1898.5999999642372,HRV,HRV_0017,2022-11-30 17:46:09
Shower curtain ,4,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,33,1.508,32,128950.60000002384,132898.5,q,S,1917.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Prairie dogs,2,"In 1900, Texas biologist Vernon Bailey discovered a network of tunnels the size of the state of Maryland. What had dug them?",51,0.784,33,132898.5,136462.5,q,S,2261.7000000476837,HRV,HRV_0017,2022-11-30 17:46:09
Haricot beans,3,Baked beans are made from what type of bean?,443,1.155,34,136462.60000002384,140089.20000004768,p,K,1956.0,HRV,HRV_0017,2022-11-30 17:46:09
It sits beside the Finger Lakes ,3,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,0.972,35,140089.30000001192,143534.60000002384,q,S,1958.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
India,1,What's the only country outside Africa where lions still live in the wild?  ,307,1.664,36,143534.60000002384,148150.60000002384,q,S,2435.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Bhutan,2,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,1.618,37,148150.60000002384,152792.30000001192,q,S,2503.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
The Super Bowl ,1,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,0.625,38,152792.30000001192,157543.60000002384,q,S,3611.0,HRV,HRV_0017,2022-11-30 17:46:09
