Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Every jar of peanut butter must be at least 90% peanuts,3,What percentage of peanuts is found in a standard jar of peanut butter?,423,0.773,0,4992.5,t,W,4371.5,11889.599999904633,15905.799999952316,2,1106.6000000238419,18308.5,HRV,HRV_0317,2022-11-30 22:51:00
Marriage,7,Gamophobia is the fear of what?,42,1.13,1,18308.799999952316,p,K,3967.2000000476837,,,,,23942.5,HRV,HRV_0317,2022-11-30 22:51:00
George Washington,4,Who is pictured on a US Purple Heart medal? ,368,0.878,2,23942.5,t,W,4061.899999976158,30525.299999952316,34533.89999997616,3,1062.1000000238419,37000.299999952316,HRV,HRV_0317,2022-11-30 22:51:00
Frog,1,Certain types of which animal can be frozen solid and then continue living once thawed?,30,1.573,3,37000.39999997616,t,W,7964.0,47486.89999997616,51497.39999997616,3,602.5,54194.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,1,What is the most fattening product in the modern diet?,457,0.837,4,54194.699999928474,t,W,4313.700000047684,61027.0,65052.89999997616,4,591.1000000238419,66996.59999990463,HRV,HRV_0317,2022-11-30 22:51:00
Monday,1,The risk of heart attack is highest on which day of the week?,104,1.897,5,66996.69999992847,p,K,3912.0,,,,,73336.5,HRV,HRV_0317,2022-11-30 22:51:00
Gone with the Wind,4,The first swear word on the big screen was in what movie?,100,1.199,6,73336.79999995232,t,W,4267.200000047684,80123.0,84148.89999997616,2,1287.6000000238419,87160.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
Thrust,3,What term for a rocket's propulsive force is calculated by multiplying its exhaust velocity by the burn rate of its fuel?,265,1.2,7,87160.69999992847,q,S,5211.200000047684,,,,,94092.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
An ostrich egg yolk ,6,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,0.725,8,94092.69999992847,q,S,6551.899999976158,,,,,101905.5,HRV,HRV_0317,2022-11-30 22:51:00
Haddock,4,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,0.906,9,101905.89999997616,t,W,5378.100000023842,109809.0,113824.09999990463,3,1587.8000000715256,116828.5,HRV,HRV_0317,2022-11-30 22:51:00
Sudan,7,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.696,10,116828.5,q,S,6119.5,,,,,125162.5,HRV,HRV_0317,2022-11-30 22:51:00
Thomas Nast ,1,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,1.536,11,125162.69999992847,t,W,4465.0,132151.0,136163.0,3,512.7999999523163,138744.79999995232,HRV,HRV_0317,2022-11-30 22:51:00
The Leek ,4,"What bulb vegetable is traditionally worn on Saint David's Day, as it's a national symbol of Wales?",145,0.851,12,138744.79999995232,p,K,5211.100000023842,,,,,145336.59999990463,HRV,HRV_0317,2022-11-30 22:51:00
Turkey,2,Which animal was named for what was wrongly thought to be its country of origin? ,326,1.597,13,145336.59999990463,t,W,5163.200000047684,153028.59999990463,157048.0,3,1020.2999999523163,160190.5,HRV,HRV_0317,2022-11-30 22:51:00
citrus fruit (scurvy is caused by a lack of vitamin c),7,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,0.679,14,160190.69999992847,p,K,5237.200000047684,,,,,166624.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
Sunrise or sunset,7,"When is the optical phenomenon called a ""green flash"" or ""green ray"" visible?  ",313,1.678,15,166624.69999992847,t,W,7091.600000023842,176233.0,180247.79999995232,2,1316.2000000476837,183764.5,HRV,HRV_0317,2022-11-30 22:51:00
Mushrooms which have been exposed to light,2,What is the only non-animal natural source of vitamin D?,459,1.313,16,183764.5,t,W,5479.899999976158,191767.0,195777.5,3,858.5,198470.5,HRV,HRV_0317,2022-11-30 22:51:00
George VI,6,Who was the last British Monarch to also be an emperor?  ,381,1.542,17,198470.69999992847,q,S,2709.100000023842,,,,,203230.5,HRV,HRV_0317,2022-11-30 22:51:00
"the white flesh that houses the seeds, known as the placenta",5,What is the hottest part of a chili?,432,1.555,18,203230.5,p,K,3245.399999976158,,,,,208548.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
cooking,3,"If you suffer from Mageirocophobia, what are you scared of?",438,0.886,19,208548.5,t,W,2639.399999976158,213704.79999995232,217717.39999997616,2,806.3999999761581,219934.59999990463,HRV,HRV_0317,2022-11-30 22:51:00
Japan,5,Where is the longest suspension bridge? ,319,0.53,20,219934.59999990463,t,W,3517.2000000476837,225980.89999997616,229993.79999995232,2,1105.8999999761581,232144.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
Pandemonium,3,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,1.336,21,232144.59999990463,q,S,4931.200000047684,,,,,238924.89999997616,HRV,HRV_0317,2022-11-30 22:51:00
Steamboat Geyser,3,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,0.66,22,238925.0,t,W,4039.1999999284744,245483.79999995232,249496.09999990463,4,1003.8000000715256,251683.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
The Big Bang,6,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,1.599,23,251683.69999992847,t,W,4640.600000023842,258845.79999995232,262858.89999997616,2,513.0,265501.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
Fiber is the gut bacteria's preferred fuel source. ,6,What food is most beneficial for your gut bacteria?,458,1.333,24,265501.59999990463,p,K,3262.7000000476837,,,,,270613.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
Cricket,2,"What sport used the term ""home run"" long before baseball?  ",260,0.547,25,270613.5,t,W,4445.899999976158,277584.0,281600.1999999285,1,1572.2000000476837,284233.39999997616,HRV,HRV_0317,2022-11-30 22:51:00
George H.W. Bush ,6,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,1.002,26,284233.5,t,W,5034.299999952316,291783.6999999285,295796.1999999285,1,808.1000000238419,298125.89999997616,HRV,HRV_0317,2022-11-30 22:51:00
Gecko,4,What is the only type of lizard that has a voice? ,213,0.889,27,298125.89999997616,t,W,2477.899999976158,303116.0,307130.7999999523,2,953.5,309487.5,HRV,HRV_0317,2022-11-30 22:51:00
The Blair Witch Project,3,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,1.114,28,309487.6999999285,q,S,5212.200000047684,,,,,316323.5,HRV,HRV_0317,2022-11-30 22:51:00
Koala,7,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,1.148,29,316323.6999999285,t,W,4448.399999976158,323290.0,327316.39999997616,4,1095.3999999761581,330093.5,HRV,HRV_0317,2022-11-30 22:51:00
Green Eggs and Ham,6,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.955,30,330093.59999990463,q,S,2686.0,,,,,335255.2999999523,HRV,HRV_0317,2022-11-30 22:51:00
