Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Adam,4,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,0.636,0,1670.0,t,W,3568.5999999998603,7759.0,11782.0,3,1545.8999999999069,14493.59999999986,HRV,HRV_0173,2022-11-30 18:09:31
Spanish,4,Which language is spoken in the Canary Islands?   ,346,1.659,1,14493.59999999986,q,S,3290.8000000000466,,,,,19966.199999999953,HRV,HRV_0173,2022-11-30 18:09:31
"Portland, Oregon",3,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.064,2,19966.300000000047,t,W,3964.899999999907,26462.09999999986,30478.0,4,725.1999999999534,32794.5,HRV,HRV_0173,2022-11-30 18:09:31
Plumbing,3,"What common English word derives from the Latin for ""lead"", for the Roman practice of making water pipes out of lead?",153,0.613,3,32794.5,q,S,3521.6999999999534,,,,,37447.5,HRV,HRV_0173,2022-11-30 18:09:31
India,5,What's the only country outside Africa where lions still live in the wild?  ,307,0.982,4,37447.5,t,W,3684.6999999999534,43650.89999999991,47661.59999999986,5,512.7000000001863,49682.69999999995,HRV,HRV_0173,2022-11-30 18:09:31
Arthur Conan Doyle,4,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,1.583,5,49682.80000000005,q,S,4067.5999999998603,,,,,55853.69999999995,HRV,HRV_0173,2022-11-30 18:09:31
Antawn Jamison ,6,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,1.114,6,55853.69999999995,q,S,2825.6999999999534,,,,,60323.59999999986,HRV,HRV_0173,2022-11-30 18:09:31
Avocados have twice the amount of potassium as bananas. ,2,Which fruit has more potassium than bananas?,455,1.87,7,60323.59999999986,t,W,4612.600000000093,67465.09999999986,71482.69999999995,5,1824.8999999999069,75698.8999999999,HRV,HRV_0173,2022-11-30 18:09:31
Butterfly,6,The Admiral is which type of insect? ,89,0.572,8,75698.8999999999,q,S,1744.1000000000931,,,,,78544.30000000005,HRV,HRV_0173,2022-11-30 18:09:31
Matches,2,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,1.894,9,78544.30000000005,t,W,4083.1999999999534,85149.5,89165.59999999986,1,504.70000000018626,92078.09999999986,HRV,HRV_0173,2022-11-30 18:09:31
Mushrooms which have been exposed to light,4,What is the only non-animal natural source of vitamin D?,459,1.654,10,92078.09999999986,q,S,2656.0,,,,,96909.3999999999,HRV,HRV_0173,2022-11-30 18:09:31
Apple sauce,2,What was the first food eaten in space?,435,1.657,11,96909.5,q,S,2144.399999999907,,,,,101222.19999999995,HRV,HRV_0173,2022-11-30 18:09:31
Giant squid,2,Which animal can have eyes that are a foot in diameter? ,324,1.864,12,101222.30000000005,t,W,4034.5999999998603,107795.5,111812.8999999999,2,619.3000000000466,114824.59999999986,HRV,HRV_0173,2022-11-30 18:09:31
Italy ,4,What country borders both of the world's only two nations with square flags? ,157,1.316,13,114824.69999999995,q,S,3185.1999999999534,,,,,119859.3999999999,HRV,HRV_0173,2022-11-30 18:09:31
