Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Orca (Killer Whale) ,1,Which is the largest species of dolphin? ,343,1.102,0,3387.2000000476837,t,W,5626.899999856949,11533.799999952316,15548.0,4,1277.7999999523163,18455.89999985695,HRV,HRV_0058,2022-11-30 18:02:14
San Francisco Bay ,7,"What bay is Otis Redding serenading in ""(Sittin' on) the Dock of the Bay""? ",142,1.958,1,18456.0,q,S,7685.700000047684,,,,,28616.099999904633,HRV,HRV_0058,2022-11-30 18:02:14
Tea leaves,7,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.472,2,28616.099999904633,q,S,3061.600000143051,,,,,33676.5,HRV,HRV_0058,2022-11-30 18:02:14
Mice,2,"After humans, what's the worlds most abundant mammal species?",16,0.965,3,33676.59999990463,t,W,7739.100000143051,43944.5,47947.09999990463,5,1580.7999999523163,51030.200000047684,HRV,HRV_0058,2022-11-30 18:02:14
spiced ham,6,What two words were combined to make the word Spam?,426,1.691,4,51030.200000047684,,,,,,,,60551.799999952316,HRV,HRV_0058,2022-11-30 18:02:14
Ripe cranerries bounce when dropped on the ground,4,How do farmers test whether cranberries are ripe?,452,0.691,5,60551.89999985695,q,S,2772.600000143051,,,,,64546.09999990463,HRV,HRV_0058,2022-11-30 18:02:14
"Third finger, left hand ",1,What part of his body did Keith Richards insure for a million pounds?,243,1.148,6,64546.09999990463,p,K,3872.600000143051,,,,,70101.29999995232,HRV,HRV_0058,2022-11-30 18:02:14
J,2,What's the only letter that doesn't appear in the periodic table of elements?,309,1.822,7,70101.29999995232,q,S,4893.0,,,,,77342.09999990463,HRV,HRV_0058,2022-11-30 18:02:14
Kidnapping and killing the Lindbergh baby,1,For what crime was Bruno Hauptmann executed in 1936?,41,0.713,8,77342.09999990463,q,S,2107.0,,,,,80675.70000004768,HRV,HRV_0058,2022-11-30 18:02:14
Latex. This is known as the latex-fruit syndrome. ,1,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.956,9,80675.79999995232,q,S,4131.900000095367,,,,,87280.79999995232,HRV,HRV_0058,2022-11-30 18:02:14
North Korea,6,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",120,1.999,10,87280.89999985695,q,S,9517.600000143051,,,,,99330.39999985695,HRV,HRV_0058,2022-11-30 18:02:14
lobster,5,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.82,11,99330.39999985695,q,S,6567.300000190735,,,,,108233.09999990463,HRV,HRV_0058,2022-11-30 18:02:14
Cadabra.com ,5,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,0.632,12,108233.20000004768,,,,,,,,117772.89999985695,HRV,HRV_0058,2022-11-30 18:02:14
The evacuation of Saigon,1,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",6,1.414,13,117772.89999985695,q,S,4427.200000047684,,,,,124138.39999985695,HRV,HRV_0058,2022-11-30 18:02:14
Czechoslovakia,1,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.442,14,124138.39999985695,t,W,7073.0,133732.0,137746.20000004768,3,1960.1999998092651,141678.79999995232,HRV,HRV_0058,2022-11-30 18:02:14
Smurfette,5,"Who did Gargamel create using ingredients like crocodile tears, the tip of an adder's tongue and a hard stone for a heart?",364,0.747,15,141678.79999995232,q,S,4578.599999904633,,,,,147528.39999985695,HRV,HRV_0058,2022-11-30 18:02:14
Westminster Kennel Club dog show ,6,What is the second oldest continuously held American sporting event?  ,214,1.579,16,147528.39999985695,p,K,4760.5,,,,,154402.0,HRV,HRV_0058,2022-11-30 18:02:14
Honey,6,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,0.772,17,154402.0,p,K,3973.0,,,,,159667.5,HRV,HRV_0058,2022-11-30 18:02:14
New Jersey's Rutgers,6,Which U.S. state's leading public university is the only one not to be named for the state?  ,357,0.886,18,159667.5,q,S,6933.200000047684,,,,,168006.20000004768,HRV,HRV_0058,2022-11-30 18:02:14
Rechargeable batteries,5,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,0.878,19,168006.20000004768,q,S,7745.399999856949,,,,,177158.5,HRV,HRV_0058,2022-11-30 18:02:14
Bacon,3,"In Britain, what kind of meat comes in rashers?",397,1.225,20,177158.5,q,S,4097.899999856949,,,,,183002.89999985695,HRV,HRV_0058,2022-11-30 18:02:14
