Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
The guppy,6,What common aquarium fish is named for the naturalist who discovered it in Trinidad in 1876? ,152,0.83,0,5071.89999999851,p,K,6099.0,12512.10000000149,HRV,HRV_0033,2022-11-30 17:34:11
The Blair Witch Project,3,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,1.061,1,12512.19999999553,q,S,3834.10000000149,17919.89999999851,HRV,HRV_0033,2022-11-30 17:34:11
George Orwell ,4,"Whose first book was ""Down and Out in Paris and London"", about his year among the poverty-stricken underclass of those cities?",388,1.318,2,17920.0,q,S,3806.6999999955297,23551.89999999851,HRV,HRV_0033,2022-11-30 17:34:11
South Africa,1,In what country was the largest rough diamond ever discovered?,62,1.222,3,23552.10000000149,q,S,3737.6999999955297,29023.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Teapot Dome scandal,7,Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ,19,1.818,4,29023.79999999702,q,S,1849.3999999985099,33199.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Pachyderm,6,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.835,5,33199.79999999702,q,S,2153.0,37695.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
USA,2,Which country invented volleyball?   ,340,0.729,6,37695.79999999702,q,S,2481.89999999851,41423.89999999851,HRV,HRV_0033,2022-11-30 17:34:11
Bhutan,3,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,1.123,7,41423.89999999851,q,S,3833.39999999851,46897.0,HRV,HRV_0033,2022-11-30 17:34:11
It's stamped on the coin's edge.,2,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,1.266,8,46897.10000000149,q,S,2855.5999999940395,51527.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Benjamin Franklin ,2,"Who carried hundreds of imported books in his Philadelphia shop in the 1730s, the same decade in which he started America's first lending library?",362,1.756,9,51528.0,q,S,3411.0,57208.39999999851,HRV,HRV_0033,2022-11-30 17:34:11
Bile,5,"Two of the ""four humors"" the ancients believed controlled temperament consist of what bodily fluid?",118,0.537,10,57208.5,q,S,3509.39999999851,61768.5,HRV,HRV_0033,2022-11-30 17:34:11
spiced ham,6,What two words were combined to make the word Spam?,426,0.933,11,61768.5,q,S,4780.39999999851,67991.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
lobster,2,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.648,12,67991.79999999702,q,S,2458.8000000044703,72683.89999999851,HRV,HRV_0033,2022-11-30 17:34:11
Canadian Oil,3,What is canola an abbreviation for?,436,1.617,13,72683.89999999851,q,S,1792.7999999970198,76607.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Utah,3,"What US state advertised ""The Greatest Snow on Earth"" on its license plates? ",273,1.567,14,76608.10000000149,q,S,1941.0999999940395,80637.10000000149,HRV,HRV_0033,2022-11-30 17:34:11
Avocados have twice the amount of potassium as bananas. ,4,Which fruit has more potassium than bananas?,455,0.529,15,80637.19999999553,q,S,3569.0,85263.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Kayak,1,An umiak is a larger version of what? ,20,1.82,16,85263.79999999702,q,S,2620.60000000149,90215.89999999851,HRV,HRV_0033,2022-11-30 17:34:11
Xanadu ,3,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,123,0.642,17,90215.89999999851,q,S,3327.0,94849.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Adding olive juice,7,What turns a plain martini into a dirty martini?,440,1.215,18,94849.79999999702,q,S,2923.7000000029802,99507.19999999553,HRV,HRV_0033,2022-11-30 17:34:11
Asparagus,2,what vegetable loses its flavour the quickest?,451,1.999,19,99507.19999999553,q,S,1543.8000000044703,103559.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Odor Eaters ,6,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,1.362,20,103559.79999999702,,,,113071.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Captain Cook ,6,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.418,21,113071.79999999702,q,S,2299.39999999851,117305.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
at least 97%,4,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,1.274,22,117305.69999999553,q,S,2306.60000000149,121543.39999999851,HRV,HRV_0033,2022-11-30 17:34:11
Broccoli! ,1,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,0.955,23,121543.39999999851,q,S,2890.39999999851,125903.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Nuclear Disarmament,5,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,0.682,24,125903.69999999553,q,S,3943.5,131063.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
A Spoonful of Sugar ,6,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,0.522,25,131063.79999999702,q,S,3685.8000000044703,135792.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
Saffron,4,What is the most expensive spice (by weight) in the world?,431,1.885,26,135792.1000000015,p,K,6938.89999999851,145127.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Pride and Prejudice,7,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?",1,1.478,27,145127.79999999702,q,S,1842.6000000014901,149000.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
Joan of Arc's ,6,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,1.53,28,149000.1000000015,q,S,2302.6999999955297,153347.0,HRV,HRV_0033,2022-11-30 17:34:11
AstroTurf ,6,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,0.956,29,153347.0,q,S,1867.7999999970198,156707.6000000015,HRV,HRV_0033,2022-11-30 17:34:11
A soccer ball,1,What common item is usually made up of twelve pentagons and twenty hexagons?,154,1.882,30,156707.6000000015,q,S,2255.2999999970198,161359.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Silicon,2,What element is combined with oxygen to make up the mineral quartz?,269,0.779,31,161359.79999999702,p,K,4700.30000000447,167351.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Lolita by Vladimir Nabokov,7,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,1.419,32,167351.79999999702,q,S,3752.0,173039.8999999985,HRV,HRV_0033,2022-11-30 17:34:11
Ripe cranerries bounce when dropped on the ground,7,How do farmers test whether cranberries are ripe?,452,1.066,33,173039.8999999985,q,S,2329.89999999851,176951.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Poland,3,What EU nation was once led by a president and a prime minister who were identical twins? ,172,1.144,34,176951.79999999702,q,S,2372.89999999851,180988.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
Belgium,2,Where were French fries invented?,437,1.93,35,180988.1000000015,q,S,1808.2999999970198,185271.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
The Mona Lisa,6,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.266,36,185271.69999999553,q,S,2945.10000000149,189999.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Haricot beans,7,Baked beans are made from what type of bean?,443,1.697,37,189999.79999999702,p,K,4769.30000000447,196983.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
George Washington,6,Who is pictured on a US Purple Heart medal? ,368,0.977,38,196983.79999999702,q,S,2497.10000000149,200972.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
Arthur Conan Doyle,4,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,1.598,39,200972.19999999553,q,S,4194.4000000059605,207271.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
A truce ,4,What was put in place by the Ancient Greeks before and during all Olympic festivals? ,278,1.528,40,207271.79999999702,q,S,2000.3000000044703,211311.79999999702,HRV,HRV_0033,2022-11-30 17:34:11
Twenty-fourth ,5,Which Constitutional Amendment deals with poll taxes? ,335,1.674,41,211311.79999999702,q,S,3938.89999999851,217439.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Genetics,5,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,0.739,42,217439.69999999553,q,S,2858.4000000059605,221559.8999999985,HRV,HRV_0033,2022-11-30 17:34:11
Tse-tse fly,1,What transmits the disease typanosomiasis to humans and cattle? ,267,1.663,43,221559.8999999985,q,S,1721.5,225455.8999999985,HRV,HRV_0033,2022-11-30 17:34:11
Rat,7,Which animal can go longer without water than a camel can? ,323,0.936,44,225456.0,p,K,4568.5,231480.3999999985,HRV,HRV_0033,2022-11-30 17:34:11
Cygnet ,6,What is the name given to a young swan? ,207,0.765,45,231480.5,p,K,2485.10000000149,235248.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
Arkansas ,6,Where is the only active diamond mine in the U.S.?,320,0.955,46,235248.1000000015,q,S,1976.6999999955297,238688.29999999702,HRV,HRV_0033,2022-11-30 17:34:11
Delaware,7,"Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?",38,0.684,47,238688.29999999702,q,S,2893.8000000044703,242782.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
The barrel of a gun,7,"According to Chairman Mao, ""political power grows out of"" what?",11,0.526,48,242782.1000000015,q,S,2237.6999999955297,246055.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Gerald Ford ,7,What president was shot while walking to California Governor Jerry Brown's office?  ,247,0.504,49,246055.79999999702,q,S,2311.89999999851,249391.8999999985,HRV,HRV_0033,2022-11-30 17:34:11
"Intercourse, Pennsylvania",4,"What Amish country village in Pennsylvania, where ""Witness"" was filmed, is a frequent victim of street-sign theft?",130,0.696,50,249391.8999999985,q,S,3339.2999999970198,253943.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Shark,5,"What animal is thought to be immune to most all diseases, including cancer? ",132,1.373,51,253943.79999999702,p,K,3455.0,259279.8999999985,HRV,HRV_0033,2022-11-30 17:34:11
Black,2,What color lipstick did silent movie stars wear?  ,151,1.28,52,259280.0,q,S,1929.3999999985099,263002.299999997,HRV,HRV_0033,2022-11-30 17:34:11
pastry,7,Choux and filo are two types of what food product?,446,1.852,53,263005.0,p,K,2352.60000000149,267719.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Choking on food,3,"Each year, approximately 125 people die of what? ",417,1.967,54,267719.69999999553,q,S,1826.0,272031.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Coca-Cola,1,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.523,55,272031.69999999553,q,S,1798.7000000029802,274863.8999999985,HRV,HRV_0033,2022-11-30 17:34:11
Germany,7,Which European country was the first to produce decaffeinated coffee? ,412,1.934,56,274863.8999999985,q,S,1979.3999999985099,279288.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
As Good As It Gets ,4,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,0.596,57,279288.1000000015,q,S,2682.39999999851,283079.69999999553,HRV,HRV_0033,2022-11-30 17:34:11
Bruce Springsteen's Born in the USA ,6,What was the first CD pressed for commerical release in the U.S.?,282,1.211,58,283079.69999999553,q,S,1712.4000000059605,286512.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
The Discovery,5,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,1.735,59,286512.1000000015,q,S,1833.8999999985099,290592.0,HRV,HRV_0033,2022-11-30 17:34:11
Abraham Lincoln,3,Who was the only U.S. president to also hold a patent for an invention?,384,0.952,60,290592.0,q,S,2361.39999999851,294432.1000000015,HRV,HRV_0033,2022-11-30 17:34:11
Stratosphere,6,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",64,1.982,61,294432.1000000015,q,S,4364.19999999553,301288.299999997,HRV,HRV_0033,2022-11-30 17:34:11
Andy Kaufman,7,Who was banned from Saturday Night Live by viewer phone vote in 1982? ,376,1.208,62,301288.3999999985,q,S,2464.89999999851,305471.8999999985,HRV,HRV_0033,2022-11-30 17:34:11
