Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Coca-cola,6,What popular drink was first marketed as a brain tonic?,405,1.282,0,3200.399999976158,q,S,1749.5,6745.699999988079,,HRV,HRV_0297,2022-11-30 20:40:47
Happy Birthday,7,What was the first song ever performed in outer space? ,285,0.745,1,6745.699999988079,p,K,2652.300000011921,10656.5,,HRV,HRV_0297,2022-11-30 20:40:47
Thomas Hardy,4,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,1.403,2,10656.5,q,S,2238.199999988079,14808.699999988079,,HRV,HRV_0297,2022-11-30 20:40:47
Sri Lanka,3,"The word serendipity comes from Serendip, the Persian name for what island? ",109,1.03,3,14808.699999988079,p,K,2605.199999988079,18952.5,,HRV,HRV_0297,2022-11-30 20:40:47
Nuclear Disarmament,4,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.305,4,18952.5,q,S,1637.3999999761581,22408.0,,HRV,HRV_0297,2022-11-30 20:40:47
Rechargeable batteries,2,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,1.502,5,22408.0,q,S,1549.800000011921,25969.100000023842,,HRV,HRV_0297,2022-11-30 20:40:47
Draw,6,What does a screever do on a sidewalk? ,167,0.52,6,25969.19999998808,p,K,1780.699999988079,28784.30000001192,,HRV,HRV_0297,2022-11-30 20:40:47
Jim Lovell,4,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.807,7,28784.399999976158,q,S,1933.300000011921,33041.39999997616,,HRV,HRV_0297,2022-11-30 20:40:47
Jose Castro ,7,"What Mexican general, who governed California for four months in 1835, would probably be surprised by how he's remembered in San Francisco today?",231,1.405,8,33041.39999997616,p,K,1596.5,36552.39999997616,,HRV,HRV_0297,2022-11-30 20:40:47
Matches,4,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,1.64,9,36552.39999997616,p,K,2405.300000011921,41113.39999997616,,HRV,HRV_0297,2022-11-30 20:40:47
Orville Wright,7,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.056,10,41113.39999997616,q,S,2005.4000000357628,44691.89999997616,,HRV,HRV_0297,2022-11-30 20:40:47
Oliver!,2,What's the only Best Picture Oscar winner whose title ends with an exclamation point?  ,306,0.651,11,44691.89999997616,p,K,2218.0,48072.39999997616,,HRV,HRV_0297,2022-11-30 20:40:47
Bookkeeper,6,What is the only English word with three consecutive double letters?  ,209,0.682,12,48072.39999997616,q,S,1669.7000000476837,50936.30000001192,,HRV,HRV_0297,2022-11-30 20:40:47
Belgium,3,Where were French fries invented?,437,1.634,13,50936.30000001192,q,S,1741.800000011921,54823.80000001192,,HRV,HRV_0297,2022-11-30 20:40:47
