Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
New Jersey's Rutgers,7,Which U.S. state's leading public university is the only one not to be named for the state?  ,357,1.653,0,2466.5,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 6802.199999809265, 'date time': 1669831304595}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 6803.199999809265, 'date time': 1669831304596}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 6803.799999952316, 'date time': 1669831304596}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 6833, 'date time': 1669831304625}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 6835.599999904633, 'date time': 1669831304628}]",p,K,6714.399999856949,11357.599999904633,HRV,HRV_0149,2022-11-30 18:11:41
The World Almanac and Book of Facts,3,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.804,1,11357.699999809265,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 12773.299999952316, 'date time': 1669831310566}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 12792.699999809265, 'date time': 1669831310585}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 12799.5, 'date time': 1669831310592}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 12802.199999809265, 'date time': 1669831310595}]",q,S,3547.800000190735,17245.5,HRV,HRV_0149,2022-11-30 18:11:41
A Cheeta born in 1932,3,Who is the world's oldest (non-human) primate on record?  ,369,1.941,2,17245.5,,q,S,2412.0999999046326,22134.5,HRV,HRV_0149,2022-11-30 18:11:41
Ciabatta,7,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,1.663,3,22134.5,,q,S,4955.899999856949,29281.199999809265,HRV,HRV_0149,2022-11-30 18:11:41
Captain Cook ,6,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.193,4,29281.199999809265,,q,S,3318.600000143051,34308.199999809265,HRV,HRV_0149,2022-11-30 18:11:41
Catapult ,6,What artillery weapon was launched upon the world in 400 B.C.?  ,140,1.723,5,34308.199999809265,,q,S,4803.700000047684,41351.0,HRV,HRV_0149,2022-11-30 18:11:41
Gabriele Falloppio ,4,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.79,6,41351.09999990463,,q,S,2525.5999999046326,46192.199999809265,HRV,HRV_0149,2022-11-30 18:11:41
Steamboat Geyser,7,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,0.875,7,46192.299999952316,,q,S,3130.5999999046326,50730.699999809265,HRV,HRV_0149,2022-11-30 18:11:41
Plumbing,4,"What common English word derives from the Latin for ""lead"", for the Roman practice of making water pipes out of lead?",153,1.081,8,50730.799999952316,,q,S,3568.0,55916.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Dorito is Spanish for little golden things,5,What does Dorito actually mean?,434,1.197,9,55916.699999809265,,p,K,3816.100000143051,61443.5,HRV,HRV_0149,2022-11-30 18:11:41
The Korean War,3,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,1.248,10,61443.59999990463,,q,S,2315.5,65524.0,HRV,HRV_0149,2022-11-30 18:11:41
Sic semper tyrannis ,5,What state motto of Virginia did John Wilkes Booth shout as he jumped from Lincoln's box to the stage of Ford's Theatre? ,262,1.208,11,65524.0,,p,K,4607.399999856949,71874.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
Utah,2,"What US state advertised ""The Greatest Snow on Earth"" on its license plates? ",273,1.918,12,71874.09999990463,,p,K,3521.7000000476837,77836.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
The guppy,4,What common aquarium fish is named for the naturalist who discovered it in Trinidad in 1876? ,152,1.582,13,77836.29999995232,,q,S,1924.2999999523163,81870.29999995232,HRV,HRV_0149,2022-11-30 18:11:41
Every jar of peanut butter must be at least 90% peanuts,4,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.164,14,81870.39999985695,,p,K,3146.7999999523163,86710.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
chickpeas,7,What is used to make hummus?,424,0.805,15,86710.19999980927,,p,K,2185.5,90215.0,HRV,HRV_0149,2022-11-30 18:11:41
Montenegro,6,What European country is named for the dark-looking Dinaric Alps? ,173,1.167,16,90215.0,,q,S,3953.5,95865.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
Eric the Red,5,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,0.721,17,95865.09999990463,,p,K,3389.5999999046326,100508.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
Luge,1,What sports term is the shortest word ever to decide the National Spelling Bee?   ,261,1.239,18,100508.09999990463,,p,K,5907.299999952316,108181.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Social Security,7,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.651,19,108181.19999980927,,p,K,3097.9000000953674,113465.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
Nutmeg,5,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,1.459,20,113465.09999990463,,p,K,3988.5999999046326,119452.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
Temple Prostitute,2,"Anciently, what was the job description of a ""hierodule""?",21,1.195,21,119452.39999985695,,q,S,4030.2999999523163,125205.5,HRV,HRV_0149,2022-11-30 18:11:41
over 10 billion donuts. ,4,How many donuts are concumed in the US every year?,463,1.495,22,125205.5,,p,K,2211.5,129426.29999995232,HRV,HRV_0149,2022-11-30 18:11:41
Pumpkin,6,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,360,0.768,23,129426.39999985695,,q,S,5433.5,136155.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
AstroTurf ,2,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,1.32,24,136155.29999995232,,p,K,5058.299999952316,143059.79999995232,HRV,HRV_0149,2022-11-30 18:11:41
Japan ,2,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,1.45,25,143059.79999995232,,p,K,3130.0999999046326,148162.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Echinoderms,6,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.489,26,148163.0,,p,K,3057.699999809265,153242.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Bookkeeper,7,What is the only English word with three consecutive double letters?  ,209,1.859,27,153242.19999980927,,p,K,1905.9000000953674,157527.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
the skin and bones of animals,2,What is gelatin made from?,445,1.502,28,157527.59999990463,,p,K,2690.5999999046326,162239.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
St. Louis Gateway Arch ,5,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,1.228,29,162239.59999990463,,q,S,3691.5999999046326,167687.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
Don Adams,5,Who provided the voice for cartoon character Inspector Gadget? ,372,0.738,30,167687.09999990463,,p,K,1685.9000000953674,170640.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Belgium,1,Where were French fries invented?,437,1.614,31,170640.89999985695,,p,K,1530.4000000953674,174302.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Ripe cranerries bounce when dropped on the ground,4,How do farmers test whether cranberries are ripe?,452,0.725,32,174302.19999980927,,p,K,1603.2000000476837,177149.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Silver,4,What metal was found in Nevada's famed Comstock Lode?  ,230,1.344,33,177150.0,,p,K,1606.5999999046326,180626.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Columbia,4,What company introduced the first LP record albums?  ,155,1.542,34,180626.59999990463,,p,K,1610.0,184307.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Camel,2,Which animal's milk does not curdle? ,328,0.831,35,184307.29999995232,,p,K,1573.5,187227.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Crocodiles,7,"Which animals swallow large stones, which remain in their bellies and are thought to be used as ballasts for diving?",330,1.114,36,187227.59999990463,,p,K,1705.9000000953674,190580.29999995232,HRV,HRV_0149,2022-11-30 18:11:41
Saffron,7,What is the most expensive spice (by weight) in the world?,431,1.102,37,190580.39999985695,,p,K,1693.5,193888.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Asparagus,3,what vegetable loses its flavour the quickest?,451,0.611,38,193888.89999985695,,p,K,1571.5,196605.79999995232,HRV,HRV_0149,2022-11-30 18:11:41
