Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
The Hardy Boys ,6,"Who solves crimes in Bayport, located on Barmet Bay? ",374,1.639,0,13303.29999999702,q,S,2016.1000000014901,17472.60000000149,HRV,HRV_0240,2022-11-30 19:17:11
Nutmeg,7,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,1.584,1,17472.70000000298,q,S,3186.6999999955297,22776.79999999702,HRV,HRV_0240,2022-11-30 19:17:11
Montenegro,2,What European country is named for the dark-looking Dinaric Alps? ,173,1.428,2,22777.20000000298,q,S,1575.8999999985099,26296.89999999851,HRV,HRV_0240,2022-11-30 19:17:11
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",7,Cooking which food requires over two years of training?,461,0.502,3,26298.0,p,K,4845.29999999702,32160.60000000149,HRV,HRV_0240,2022-11-30 19:17:11
Rechargeable batteries,1,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,1.966,4,32160.79999999702,q,S,4562.70000000298,39229.20000000298,HRV,HRV_0240,2022-11-30 19:17:11
OutKast,6,Who was sued in 1999 by Rosa Parks after they used her name to title a hit song?  ,379,0.631,5,39229.60000000149,q,S,2658.5,43033.89999999851,HRV,HRV_0240,2022-11-30 19:17:11
Endeavour ,4,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.995,6,43033.89999999851,q,S,2374.10000000149,47920.5,HRV,HRV_0240,2022-11-30 19:17:11
Adlai Stevenson,5,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.242,7,47920.60000000149,q,S,3227.1999999955297,52911.89999999851,HRV,HRV_0240,2022-11-30 19:17:11
Eric the Red,1,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,1.539,8,52912.0,q,S,3082.5,58061.39999999851,HRV,HRV_0240,2022-11-30 19:17:11
Francisco Goya,6,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?",15,1.905,9,58061.5,q,S,6160.5,66657.70000000298,HRV,HRV_0240,2022-11-30 19:17:11
Matches,2,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,1.173,10,66657.79999999702,q,S,4805.10000000149,73163.79999999702,HRV,HRV_0240,2022-11-30 19:17:11
Pressure,5,What is measured in millibars? ,202,0.82,11,73164.0,q,S,2757.2999999970198,77268.10000000149,HRV,HRV_0240,2022-11-30 19:17:11
Papillae,6,What are the bumps on the tongue that carry the taste buds called? ,137,0.989,12,77268.29999999702,q,S,3760.2000000029802,82546.60000000149,HRV,HRV_0240,2022-11-30 19:17:11
Cayenne pepper ,6,What spice is named for the capital of French Guiana? ,409,0.543,13,82546.70000000298,q,S,1738.6999999955297,85358.10000000149,HRV,HRV_0240,2022-11-30 19:17:11
The Stanley Cup ,3,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,1.53,14,85358.10000000149,q,S,3229.39999999851,90651.0,HRV,HRV_0240,2022-11-30 19:17:11
Martin Luther King Jr. ,7,Who won the Nobel Peace Prize in 1964? ,386,1.773,15,90651.10000000149,q,S,2350.5,95295.89999999851,HRV,HRV_0240,2022-11-30 19:17:11
Adam,5,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,0.871,16,95296.0,q,S,3871.7999999970198,100558.20000000298,HRV,HRV_0240,2022-11-30 19:17:11
George Orwell ,3,"Whose first book was ""Down and Out in Paris and London"", about his year among the poverty-stricken underclass of those cities?",388,1.198,17,100558.39999999851,q,S,6147.10000000149,108429.0,HRV,HRV_0240,2022-11-30 19:17:11
It's stamped on the coin's edge.,5,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,1.727,18,108429.0,q,S,4261.29999999702,114959.20000000298,HRV,HRV_0240,2022-11-30 19:17:11
Coca-Cola,2,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.776,19,114959.20000000298,q,S,2830.39999999851,119088.70000000298,HRV,HRV_0240,2022-11-30 19:17:11
Adding olive juice,2,What turns a plain martini into a dirty martini?,440,0.708,20,119088.70000000298,q,S,1696.5999999940395,122010.39999999851,HRV,HRV_0240,2022-11-30 19:17:11
Tse-tse fly,4,What transmits the disease typanosomiasis to humans and cattle? ,267,1.525,21,122010.39999999851,q,S,2453.0,126510.39999999851,HRV,HRV_0240,2022-11-30 19:17:11
Equal Employment Opportunity Commission ,6,"What federal agency, which targets workplace discrimination, was chaired by Clarence Thomas for most of the 1980s?",176,1.711,22,126510.5,q,S,6100.29999999702,134846.29999999702,HRV,HRV_0240,2022-11-30 19:17:11
Claudius,2,Which Roman emperor had a speech impediment?  ,351,0.58,23,134846.3999999985,q,S,1751.8000000044703,137695.29999999702,HRV,HRV_0240,2022-11-30 19:17:11
China,6,Which country first used the decimal system?  ,338,1.183,24,137695.29999999702,q,S,2138.8000000044703,141548.1000000015,HRV,HRV_0240,2022-11-30 19:17:11
New York,6,Which state has the zip code 12345?,354,0.961,25,141548.1000000015,q,S,2685.60000000149,145726.0,HRV,HRV_0240,2022-11-30 19:17:11
cheese ,5,What item of food holds the world record for being the most stolen item of food in the world?,444,1.99,26,145726.1000000015,q,S,4472.29999999702,152716.70000000298,HRV,HRV_0240,2022-11-30 19:17:11
a spit,4,"If something is described as rotisserie, what has it been cooked on?",428,0.899,27,152716.70000000298,p,K,5750.5999999940395,159896.29999999702,HRV,HRV_0240,2022-11-30 19:17:11
Charles Babbage ,7,"What inventor of the Difference Engine once baked himself in an oven for five minutes, ""to see what would happen""?",192,1.44,28,159896.5,q,S,7533.60000000149,169396.0,HRV,HRV_0240,2022-11-30 19:17:11
Captain Cook ,7,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.144,29,169396.0,q,S,2678.7999999970198,173742.79999999702,HRV,HRV_0240,2022-11-30 19:17:11
France,4,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,0.509,30,173742.79999999702,q,S,2793.2000000029802,177579.1000000015,HRV,HRV_0240,2022-11-30 19:17:11
over 10 billion donuts. ,3,How many donuts are concumed in the US every year?,463,1.793,31,177579.1000000015,q,S,1661.6999999955297,181551.5,HRV,HRV_0240,2022-11-30 19:17:11
An otter,1,What animal lives in a holt? ,133,1.039,32,181551.5,q,S,2277.2000000029802,185400.29999999702,HRV,HRV_0240,2022-11-30 19:17:11
Pride and Prejudice,3,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?",1,1.563,33,185400.29999999702,q,S,3605.8000000044703,191101.6000000015,HRV,HRV_0240,2022-11-30 19:17:11
Westminster Kennel Club dog show ,2,What is the second oldest continuously held American sporting event?  ,214,0.514,34,191101.6000000015,q,S,3555.0,195690.29999999702,HRV,HRV_0240,2022-11-30 19:17:11
Pachyderm,3,"What word comes to us from the Greek for ""thick-skinned""?  ",297,0.799,35,195690.29999999702,q,S,3183.3000000044703,200188.5,HRV,HRV_0240,2022-11-30 19:17:11
"The code is ""SUX"" ",6,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,0.768,36,200188.5,q,S,5227.89999999851,206708.0,HRV,HRV_0240,2022-11-30 19:17:11
Excalibur,3,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",14,1.419,37,206708.0,q,S,4461.70000000298,213105.0,HRV,HRV_0240,2022-11-30 19:17:11
Pet Rocks,7,What imports from a Baja California beach made Gary Drahl a millionaire in late 1975?,186,1.146,38,213105.0,q,S,2953.5,217721.8999999985,HRV,HRV_0240,2022-11-30 19:17:11
Albert Einstein,7,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,1.163,39,217721.8999999985,q,S,3624.10000000149,223033.3999999985,HRV,HRV_0240,2022-11-30 19:17:11
Teeth,7,"One in every 2,000 babies is born with what? ",77,0.62,40,223033.3999999985,q,S,2510.2000000029802,226692.6000000015,HRV,HRV_0240,2022-11-30 19:17:11
Gabriele Falloppio ,5,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,0.849,41,226692.79999999702,q,S,3564.5,231626.5,HRV,HRV_0240,2022-11-30 19:17:11
