Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
On a Jell-O box,7,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,1.097,0,179446,188972,,,,,,,,HRV,HRV_0135,2022-11-30 18:01:42
The Beatles' Rain ,5,What was the first rock song ever to feature hidden messages in the form of back-masked vocals?  ,284,0.909,1,188972,193345,q,S,2943.0,,,,,HRV,HRV_0135,2022-11-30 18:01:42
Cell,5,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,0.853,2,193345,198158,q,S,3451.0,,,,,HRV,HRV_0135,2022-11-30 18:01:42
"A peanut is a legume, not a nut",7,What type of food is a peanut?,447,1.691,3,198158,201978,q,S,1609.0,,,,,HRV,HRV_0135,2022-11-30 18:01:42
All in the Family ,6,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,0.711,4,201978,214942,t,W,1887.0,206416.0,210432.0,,,HRV,HRV_0135,2022-11-30 18:01:42
The paper clip,4,"""Gem"" is the trade name for the most common, three-loop design of what?",4,0.921,5,214942,225639,t,W,2194.0,219654.0,223665.0,5,541.0,HRV,HRV_0135,2022-11-30 18:01:42
Canadian Oil,3,What is canola an abbreviation for?,436,1.453,6,225639,236654,t,W,1743.0,229887.0,233903.0,5,773.0,HRV,HRV_0135,2022-11-30 18:01:42
Yellow,2,What color is insect blood? ,150,1.419,7,236654,247461,t,W,1662.0,240822.0,244853.0,5,672.0,HRV,HRV_0135,2022-11-30 18:01:42
Ohio,3,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,0.891,8,247461,258151,t,W,1914.0,251880.0,255889.0,5,858.0,HRV,HRV_0135,2022-11-30 18:01:42
The La Brea tar pits ,2,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.366,9,258151,270416,t,W,2764.0,263433.0,267441.0,5,1094.0,HRV,HRV_0135,2022-11-30 18:01:42
Sapphire,7,What type of stone is referred to as the Star of India?  ,270,1.992,10,270416,282007,t,W,1590.0,274545.0,278558.0,5,935.0,HRV,HRV_0135,2022-11-30 18:01:42
Mushrooms which have been exposed to light,2,What is the only non-animal natural source of vitamin D?,459,1.616,11,282007,293354,t,W,2107.0,286638.0,290641.0,5,556.0,HRV,HRV_0135,2022-11-30 18:01:42
Japan,2,Where is the longest suspension bridge? ,319,1.231,12,293354,304055,t,W,1793.0,297655.0,301665.0,5,652.0,HRV,HRV_0135,2022-11-30 18:01:42
James Buchanan ,7,Who was the only U.S. president never to be married?,383,0.783,13,304055,314359,t,W,1811.0,308376.0,312385.0,5,671.0,HRV,HRV_0135,2022-11-30 18:01:42
