Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
USA,1,Which country invented volleyball?   ,340,1.083,0,2550.699999988079,q,S,1913.6000000238419,6070.699999988079,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Gerald Ford ,3,What president was shot while walking to California Governor Jerry Brown's office?  ,247,1.667,1,6070.800000011921,q,S,3241.699999988079,11502.599999964237,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Botany Bay,1,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.97,2,11502.699999988079,q,S,4122.100000023842,18117.899999976158,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Hong Kong ,1,What city's harbor is overlooked by Victoria Peak? ,185,1.379,3,18117.899999976158,q,S,2138.5,22161.30000001192,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Canada,4,What's the only country to have hosted a Summer Olympics in which it didn't win a single medal?   ,308,0.95,4,22161.30000001192,t,W,5664.799999952316,38722.80000001192,30344.5,34357.19999998808,4,2891.300000011921,,HRV,HRV_0225,2022-11-30 18:51:30
The Ritz (Hotel),1,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,1.766,5,38723.0,q,S,3222.399999976158,44226.39999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
South Africa,5,In what country was the largest rough diamond ever discovered?,62,1.277,6,44226.5,q,S,2789.899999976158,48820.0,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Shaving,2,"The average male spends 2,965 hours doing what over the course of his lifetime?",92,0.967,7,48820.09999996424,q,S,4149.100000023842,54467.69999998808,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Fiber is the gut bacteria's preferred fuel source. ,3,What food is most beneficial for your gut bacteria?,458,1.251,8,54467.80000001192,q,S,4756.699999988079,60993.89999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Captain Cook ,4,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.227,9,60994.0,q,S,2679.199999988079,65419.69999998808,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Broccoli! ,5,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.405,10,65419.69999998808,q,S,3460.699999988079,70819.39999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Sapphire,4,What type of stone is referred to as the Star of India?  ,270,1.207,11,70819.5,q,S,3173.300000011921,75727.0,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
The Hardy Boys ,5,"Who solves crimes in Bayport, located on Barmet Bay? ",374,0.653,12,75727.09999996424,q,S,3169.400000035763,80080.59999996424,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Texas,6,"What state's motto is ""friendship"" since that's supposed to have been the meaning of the state's Caddo Indian name?",263,0.904,13,80080.59999996424,q,S,4104.800000011921,85617.5,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Air bags,6,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",84,1.939,14,85617.5,q,S,3599.399999976158,91676.09999996424,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Coca-Cola,2,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.579,15,91676.19999998808,q,S,3748.699999988079,96545.30000001192,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Silver,7,What metal was found in Nevada's famed Comstock Lode?  ,230,1.424,16,96545.39999997616,q,S,3151.100000023842,101654.69999998808,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Montenegro,3,What European country is named for the dark-looking Dinaric Alps? ,173,1.489,17,101654.69999998808,q,S,3001.800000011921,106676.89999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
The Loch Ness Monster,1,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.824,18,106676.89999997616,t,W,5172.199999988079,122943.59999996424,114377.19999998808,118394.0,3,2190.5,,HRV,HRV_0225,2022-11-30 18:51:30
Sudan,6,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.205,19,122943.69999998808,q,S,4257.300000011921,128926.09999996424,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Silicon,5,What element is combined with oxygen to make up the mineral quartz?,269,1.928,20,128926.09999996424,q,S,2506.5,133882.39999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Steamboat Geyser,2,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,0.512,21,133882.39999997616,q,S,4006.600000023842,138921.89999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Saffron,6,What is the most expensive spice (by weight) in the world?,431,1.353,22,138922.0,q,S,2790.599999964237,143589.89999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
The crocodile,1,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.763,23,143589.89999997616,t,W,6170.800000011921,160067.30000001192,152290.09999996424,156304.69999998808,3,1480.1000000238419,,HRV,HRV_0225,2022-11-30 18:51:30
George VI,3,Who was the last British Monarch to also be an emperor?  ,381,0.746,24,160067.30000001192,q,S,1901.699999988079,163233.39999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Ozone,5,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,1.508,25,163233.39999997616,q,S,3679.300000011921,168951.19999998808,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Matches,1,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,0.88,26,168951.30000001192,q,S,4298.299999952316,174650.30000001192,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Espresso,2,The Italian government regulates the price of what beverage?,399,1.148,27,174650.30000001192,q,S,3126.5,179445.09999996424,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Apple sauce,1,What was the first food eaten in space?,435,0.9,28,179445.19999998808,t,W,3731.600000023842,193085.09999996424,185702.30000001192,189756.80000001192,4,1916.2999999523163,,HRV,HRV_0225,2022-11-30 18:51:30
Copperhead snake,5,Which poisonous snake smells like fresh cut cucumbers? ,350,1.683,29,193085.09999996424,q,S,2884.600000023842,198175.30000001192,,,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 193198.5, 'date time': 1669833882031}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 194329.09999996424, 'date time': 1669833883162}]",HRV,HRV_0225,2022-11-30 18:51:30
Pepper and Mustard,2,What are the top two most popular spices in the world?,422,1.967,30,198175.30000001192,q,S,2698.099999964237,203360.19999998808,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
honey,7,Which is the only food that can never go off or go bad?,442,1.507,31,203360.19999998808,q,S,3120.899999976158,208515.69999998808,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Peregrine falcon,6,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,0.658,32,208515.69999998808,q,S,3237.699999988079,212942.30000001192,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Joeys,6,What are infant marsupials called?  ,135,1.724,33,212942.30000001192,q,S,2458.5,217655.80000001192,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
8 Mile Road ,1,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",254,1.29,34,217655.80000001192,q,S,4122.099999964237,223587.39999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Arkansas ,1,Where is the only active diamond mine in the U.S.?,320,1.299,35,223587.39999997616,q,S,3189.400000035763,228598.89999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Cockroach,3,What animal can live up to a week without its head?,131,1.212,36,228599.0,q,S,3594.300000011921,233935.0,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Latex. This is known as the latex-fruit syndrome. ,6,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.698,37,233935.0,q,S,4625.800000011921,240789.80000001192,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Peter Pan ,2,What was the first English play to be written especially for children? ,283,1.993,38,240789.89999997616,q,S,3051.900000035763,246347.5,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
State quarters ,4,What's been released five times a year from January 1999 to fall 2008?,300,0.983,39,246347.5,q,S,3173.800000011921,251030.39999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
On a Jell-O box,5,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.831,40,251030.39999997616,q,S,4338.699999988079,256718.89999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Criss-Cross ,7,What was the game of Scrabble originally called? ,286,1.787,41,256718.89999997616,q,S,3106.300000011921,262132.39999997616,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
Andy Kaufman,6,Who was banned from Saturday Night Live by viewer phone vote in 1982? ,376,1.224,42,262132.5,q,S,3780.699999988079,267658.0,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
coca-cola,1,Which famous soft drink was invented in 1892?,425,1.824,43,267658.0,t,W,4255.199999988079,282271.89999997616,274447.3000000119,278491.59999996424,2,1429.7000000476837,,HRV,HRV_0225,2022-11-30 18:51:30
Pen(n)sylvania ,2,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,0.638,44,282271.89999997616,q,S,4680.900000035763,288106.8000000119,,,,,,HRV,HRV_0225,2022-11-30 18:51:30
