Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Gibralter,7,"Europe's only free-range monkeys are the Barbary apes, which live where?",37,1.707,0,2065.2000000476837,q,S,2384.6999999284744,6672.0,HRV,HRV_0260,2022-11-30 19:44:39
The crocodile,1,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.466,1,6672.0,q,S,1710.7000000476837,10361.700000047684,HRV,HRV_0260,2022-11-30 19:44:39
Germany,5,Which European country was the first to produce decaffeinated coffee? ,412,1.49,2,10361.700000047684,q,S,2784.100000023842,15144.899999976158,HRV,HRV_0260,2022-11-30 19:44:39
Charles ,7,What river runs through Boston? ,252,1.994,3,15144.899999976158,q,S,2256.8000000715256,19900.800000071526,HRV,HRV_0260,2022-11-30 19:44:39
Grace Kelly ,5,What was the name of the American actress who was first to appear on a postage stamp?  ,288,1.096,4,19900.800000071526,q,S,2637.0999999046326,24153.5,HRV,HRV_0260,2022-11-30 19:44:39
Matches,3,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,1.87,5,24153.5,q,S,2032.3000000715256,28562.100000023842,HRV,HRV_0260,2022-11-30 19:44:39
"Gail Borden, Jr. ",2,Who invented condensed milk in 1856? ,414,1.722,6,28562.100000023842,q,S,2407.7999999523163,33209.5,HRV,HRV_0260,2022-11-30 19:44:39
"the white flesh that houses the seeds, known as the placenta",3,What is the hottest part of a chili?,432,0.846,7,33209.5,q,S,1904.3999999761581,36465.39999997616,HRV,HRV_0260,2022-11-30 19:44:39
A Hawaiian goose,5,What is a nene?,195,1.166,8,36465.39999997616,q,S,1511.9000000953674,39649.10000002384,HRV,HRV_0260,2022-11-30 19:44:39
Woodrow Wilson ,7,"Which U.S. president declared the first national ""Mother's Day""?  ",355,1.233,9,39649.200000047684,q,S,1956.8999999761581,43353.5,HRV,HRV_0260,2022-11-30 19:44:39
Cockroach,2,What animal can live up to a week without its head?,131,1.081,10,43353.5,q,S,1648.3000000715256,46592.10000002384,HRV,HRV_0260,2022-11-30 19:44:39
