Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,exp,subjectId,date
Captain Cook ,2,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.871,0,3877.800000011921,t,W,6801.5999999940395,13190.0,17232.40000000596,21742.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Dragees,7,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.069,1,21742.09999999404,t,W,7795.300000011921,32055.0,36072.59999999404,38389.30000001192,4,738.5999999940395,HRV,HRV_0193,2022-11-30 18:24:45
60 fragments per 100 gram ,3,What amount of insects does the FDA allow in chocolate,453,1.051,2,38389.40000000596,q,S,4236.5999999940395,,,44190.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Thomas Hardy,6,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,1.959,3,44190.5,q,S,2508.800000011921,,,49173.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Thrust,7,What term for a rocket's propulsive force is calculated by multiplying its exhaust velocity by the burn rate of its fuel?,265,1.55,4,49173.0,t,W,1863.199999988079,53542.69999998808,57557.0,60440.19999998808,4,815.9000000059605,HRV,HRV_0193,2022-11-30 18:24:45
Pet Rocks,7,What imports from a Baja California beach made Gary Drahl a millionaire in late 1975?,186,1.527,5,60440.90000000596,p,K,5301.5,,,67779.09999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
Koala,4,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,0.612,6,67779.09999999404,p,K,2267.0999999940395,,,71165.59999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
Let's spend some time together,1,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.96,7,71165.59999999404,q,S,4225.9000000059605,,,77861.19999998808,,,HRV,HRV_0193,2022-11-30 18:24:45
The Atlas,6,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,1.573,8,77861.19999998808,t,W,2890.2000000178814,83263.5,87274.19999998808,90141.40000000596,3,789.1000000238419,HRV,HRV_0193,2022-11-30 18:24:45
Woodrow Wilson ,6,"Which U.S. president declared the first national ""Mother's Day""?  ",355,0.971,9,90141.5,q,S,3435.300000011921,,,95061.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Pepper and Mustard,3,What are the top two most popular spices in the world?,422,0.701,10,95061.90000000596,p,K,3747.7999999821186,,,100022.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
A sneeze,4,The air expelled from what can travel at 100 mph?,90,1.22,11,100022.59999999404,q,S,1619.0,,,103373.0,,,HRV,HRV_0193,2022-11-30 18:24:45
spiced ham,6,What two words were combined to make the word Spam?,426,1.808,12,103373.09999999404,p,K,7238.9000000059605,,,112934.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
The sky,7,The Linke Scale is used to measure the blueness of what?,101,1.414,13,112934.40000000596,q,S,5814.5,,,120677.59999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
Capitol Hill,2,"Until 1790, what was known as Jenkins Hill? ",119,0.761,14,120677.69999998808,q,S,4343.200000017881,,,126293.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Iraq,1,In which country were the Hanging Gardens of Babylon located?,69,1.059,15,126293.90000000596,q,S,5024.0,,,132885.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Tea leaves,6,Tasseomancy is a method of fortune telling that primarily uses what? ,418,0.955,16,132885.90000000596,q,S,4688.4000000059605,,,139038.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Throat,2,Where in the human body is the only bone that is not jointed to another?  ,317,1.985,17,139038.0,,,,,,148550.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Pressure,2,What is measured in millibars? ,202,1.766,18,148550.09999999404,t,W,4186.4000000059605,155254.5,159265.59999999404,162222.80000001192,4,671.5999999940395,HRV,HRV_0193,2022-11-30 18:24:45
Holy Roman Emperor Henry IV ,6,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.173,19,162222.80000001192,q,S,1530.0,,,165437.69999998808,,,HRV,HRV_0193,2022-11-30 18:24:45
Habanero,2,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.558,20,165437.69999998808,q,S,3724.2000000178814,,,171238.80000001192,,,HRV,HRV_0193,2022-11-30 18:24:45
Harmonica,7,"What's sometimes called a ""licking stick"" or a ""tin sandwich""?  ",301,1.453,21,171238.80000001192,p,K,3943.2999999821186,,,177149.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
George Marshall,1,What future secretary of state became America's first five-star general in December 1944? ,181,1.555,22,177149.40000000596,q,S,3677.4000000059605,,,182892.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
pastry,7,Choux and filo are two types of what food product?,446,1.838,23,182892.90000000596,q,S,4049.5,,,189293.69999998808,,,HRV,HRV_0193,2022-11-30 18:24:45
Martin Luther King Jr. ,6,Who won the Nobel Peace Prize in 1964? ,386,1.232,24,189293.80000001192,t,W,1919.0999999940395,193725.90000000596,197742.5,200254.30000001192,4,769.0999999940395,HRV,HRV_0193,2022-11-30 18:24:45
Kiwi,7,"Which bird species has survived more than 70 million years, despite the fact that it lays one egg a year and is nearly blind?",331,1.925,25,200254.30000001192,p,K,2321.2999999821186,,,205007.0,,,HRV,HRV_0193,2022-11-30 18:24:45
chickpeas,1,What is used to make hummus?,424,1.1,26,205007.09999999404,q,S,2976.5999999940395,,,209640.69999998808,,,HRV,HRV_0193,2022-11-30 18:24:45
The Hardy Boys ,6,"Who solves crimes in Bayport, located on Barmet Bay? ",374,0.7,27,209640.69999998808,q,S,4392.4000000059605,,,215246.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Oklahoma,4,"What U.S. state has the slogan ""Native America"" on its license plates?",271,1.249,28,215246.90000000596,q,S,4170.799999982119,,,221181.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Broccoli! ,7,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.274,29,221181.40000000596,p,K,4988.699999988079,,,227958.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Charles ,2,What river runs through Boston? ,252,1.258,30,227958.09999999404,p,K,6661.5999999940395,,,236389.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Saffron,5,What is the most expensive spice (by weight) in the world?,431,1.708,31,236389.90000000596,q,S,5357.699999988079,,,243964.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Matches,4,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,1.374,32,243964.90000000596,q,S,2182.0999999940395,,,248037.80000001192,,,HRV,HRV_0193,2022-11-30 18:24:45
Near Alaska,7,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,1.008,33,248037.80000001192,p,K,3701.5,,,253262.09999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
Czechoslovakia,7,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.632,34,253262.09999999404,q,S,3111.5999999940395,,,258518.0,,,HRV,HRV_0193,2022-11-30 18:24:45
C,6,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",71,1.075,35,258518.0,q,S,3192.199999988079,,,263294.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
"Gail Borden, Jr. ",1,Who invented condensed milk in 1856? ,414,0.638,36,263294.40000000596,p,K,2606.5,,,267053.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Queen Isabella I ,2,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",50,1.676,37,267053.0,q,S,4161.9000000059605,,,273397.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Joan of Arc's ,7,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,0.896,38,273397.90000000596,p,K,4395.5999999940395,,,279205.59999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
Germany,2,Which European country was the first to produce decaffeinated coffee? ,412,1.773,39,279205.59999999404,p,K,5850.0999999940395,,,287333.5,,,HRV,HRV_0193,2022-11-30 18:24:45
coca-cola,5,Which famous soft drink was invented in 1892?,425,0.735,40,287333.5,p,K,4483.199999988079,,,293069.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
potein,6,"What nutrient comes from meat, eggs, and fish?",433,0.563,41,293069.90000000596,p,K,4867.5,,,299013.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Avocado,2,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.14,42,299013.0,q,S,2917.9000000059605,,,303582.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Orca (Killer Whale) ,5,Which is the largest species of dolphin? ,343,1.341,43,303582.40000000596,p,K,4124.299999982119,,,309557.6999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
Sao Paulo,5,What's the most populous city in the Southern Hemisphere?,304,1.928,44,309557.6999999881,q,S,4888.200000017881,,,316886.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
University of Phoenix,4,"What school has the most students over age 25, according to U.S. News & World Report?",256,1.012,45,316886.40000000596,p,K,2045.0999999940395,,,320453.3000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Mouse,2,What is the most common mammal in the U.S.? ,205,1.762,46,320453.40000000596,p,K,2751.5999999940395,,,325478.3000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Thomas Nast ,5,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,1.881,47,325478.40000000596,p,K,4191.5,,,332061.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Ivory Coast's ,1,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",111,0.751,48,332061.8000000119,q,S,2248.0999999940395,,,335574.3000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Giant squid,6,What is the largest creature without a backbone? ,203,1.394,49,335574.3000000119,t,W,4015.5999999940395,342102.5,346118.1999999881,349646.8000000119,4,1626.1000000238419,HRV,HRV_0193,2022-11-30 18:24:45
Teeth,7,"One in every 2,000 babies is born with what? ",77,1.421,50,349646.8000000119,p,K,2648.7999999821186,,,354221.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Coca-Cola,1,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.893,51,354221.8000000119,q,S,1891.0,,,357517.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Sri Lanka,1,"The word serendipity comes from Serendip, the Persian name for what island? ",109,0.956,52,357517.8000000119,q,S,4652.299999982119,,,363638.6999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
Don Adams,6,Who provided the voice for cartoon character Inspector Gadget? ,372,1.566,53,363638.6999999881,q,S,4596.0,,,370317.5,,,HRV,HRV_0193,2022-11-30 18:24:45
Albert Einstein,3,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,0.6,54,370317.5,q,S,4181.699999988079,,,375614.1999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
Ear ,4,"The pinna is the outer, visible part of what?",103,0.832,55,375614.3000000119,q,S,4742.0,,,381702.59999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
popscicle,7,What food was invented by an 11 year old in 1905?,450,0.988,56,381702.59999999404,q,S,5733.200000017881,,,388933.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Aerie,2,What name is given to an eagle's nest?   ,235,0.926,57,388933.8000000119,q,S,2719.899999976158,,,393094.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,7,What is the most fattening product in the modern diet?,457,1.065,58,393094.09999999404,q,S,3455.9000000059605,,,398125.1999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
The Mona Lisa,6,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.841,59,398125.1999999881,p,K,3857.100000023842,,,404333.5,,,HRV,HRV_0193,2022-11-30 18:24:45
Ian Thorpe ,4,Who outgrew a childhood chlorine allergy to become the biggest Olympic medal winner in Australian history? ,370,1.674,60,404333.5,q,S,2641.699999988079,,,409157.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Xanadu ,7,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,123,0.752,61,409157.90000000596,q,S,4019.199999988079,,,414446.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
Asparagus,4,what vegetable loses its flavour the quickest?,451,0.94,62,414446.59999999404,q,S,6523.300000011921,,,422422.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
citrus fruit (scurvy is caused by a lack of vitamin c),1,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,1.424,63,422422.8000000119,p,K,4779.299999982119,,,429142.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
