Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Juvenile deliquent,1,What did popular author J.D. Salinger reveal the first two intials in his name to stand for?  ,163,1.313,0,4820.600000143051,t,W,5183.0,12543.600000143051,16596.299999952316,21115.60000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Capitol Hill,7,"Until 1790, what was known as Jenkins Hill? ",119,1.645,1,21115.799999952316,q,S,3603.2000000476837,,,26895.60000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
The dodo,5,"What is believed to have received its name from the Portuguese word for ""simpleton""? ",199,0.761,2,26896.0,q,S,3614.2000000476837,,,31823.900000095367,,,,HRV,HRV_0299,2022-11-30 20:42:50
Egypt,3,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,1.581,3,31824.0,q,S,3426.2999999523163,,,37356.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
On Christ's crucifix ,2,"Where did the abbreviation ""INRI"" traditionally appear? ",315,1.148,4,37356.90000009537,q,S,3421.899999856949,,,42453.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Broccoli! ,4,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.584,5,42453.299999952316,t,W,5357.800000190735,50342.90000009537,54370.5,58779.10000014305,4,2310.7999999523163,,HRV,HRV_0299,2022-11-30 20:42:50
Fiber is the gut bacteria's preferred fuel source. ,3,What food is most beneficial for your gut bacteria?,458,1.929,6,58779.299999952316,q,S,2754.2000000476837,,,63986.60000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
The Mini Cooper,2,"With over 5.3 million sold since 1959, what's by far the most successful British car of all time?",394,1.156,7,63986.700000047684,q,S,4552.400000095367,,,70221.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Tse-tse fly,2,What transmits the disease typanosomiasis to humans and cattle? ,267,0.804,8,70221.20000004768,t,W,5295.900000095367,78041.20000004768,82066.70000004768,85382.0,2,1993.2999999523163,,HRV,HRV_0299,2022-11-30 20:42:50
spiced ham,4,What two words were combined to make the word Spam?,426,1.575,9,85382.10000014305,q,S,3981.899999856949,,,91462.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Let's spend some time together,1,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,0.769,10,91462.10000014305,q,S,4509.699999809265,,,97280.70000004768,,,,HRV,HRV_0299,2022-11-30 20:42:50
Nutmeg,6,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.938,11,97280.90000009537,q,S,3433.2000000476837,,,102190.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
Bolivia,1,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,1.589,12,102190.5,t,W,5863.100000143051,110578.79999995232,114607.5,118859.40000009537,2,2140.4000000953674,,HRV,HRV_0299,2022-11-30 20:42:50
Papillae,3,What are the bumps on the tongue that carry the taste buds called? ,137,0.829,13,118859.70000004768,q,S,6924.099999904633,,,127143.29999995232,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 123784.79999995232, 'date time': 1669840491807}]",HRV,HRV_0299,2022-11-30 20:42:50
All in the Family ,2,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.552,14,127143.40000009537,q,S,3687.5999999046326,,,132914.70000004768,,,,HRV,HRV_0299,2022-11-30 20:42:50
I'm a Believer ,1,What Monkees number one hit was written by a young Neil Diamond? ,233,1.005,15,132914.79999995232,q,S,4450.800000190735,,,138900.20000004768,,,,HRV,HRV_0299,2022-11-30 20:42:50
Quotations ,5,What did the letter Q originally stand for in NASDAQ?  ,165,1.707,16,138900.5,q,S,3264.7999999523163,,,144432.70000004768,,,,HRV,HRV_0299,2022-11-30 20:42:50
Green Eggs and Ham,7,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,0.92,17,144432.70000004768,t,W,7347.700000047684,154320.29999995232,158340.29999995232,161428.0,4,1651.9000000953674,,HRV,HRV_0299,2022-11-30 20:42:50
Gone with the Wind,2,The first swear word on the big screen was in what movie?,100,0.67,18,161428.29999995232,q,S,3179.4000000953674,,,165807.60000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Every jar of peanut butter must be at least 90% peanuts,7,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.433,19,165807.90000009537,q,S,2538.0999999046326,,,170302.0,,,,HRV,HRV_0299,2022-11-30 20:42:50
Yahoo!,6,What Internet portal was sued for copyright infringement in 2000 by the star of Young Einstein? ,190,0.933,20,170302.10000014305,q,S,4351.099999904633,,,176120.79999995232,,,,HRV,HRV_0299,2022-11-30 20:42:50
Strom Thurmond ,1,Who filibustered for a record twenty-four hours and eighteen minutes -- with a urine pail standing at the ready -- in the hope of preventing the Civil Rights Act of 1957?,366,0.803,21,176121.20000004768,q,S,5392.799999952316,,,182855.79999995232,,,,HRV,HRV_0299,2022-11-30 20:42:50
Eric the Red,4,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,1.677,22,182856.20000004768,t,W,5370.799999952316,190762.20000004768,194785.60000014305,199682.5,2,2698.899999856949,,HRV,HRV_0299,2022-11-30 20:42:50
Coca-cola,4,What popular drink was first marketed as a brain tonic?,405,1.857,23,199682.5,q,S,3979.2000000476837,,,206044.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Louie Louie,5,What 1963 song led to a thirty-one month FBI investigation into supposed obscenities hidden in its unintelligible lyrics?,122,1.794,24,206044.20000004768,,,,,,215562.29999995232,,,,HRV,HRV_0299,2022-11-30 20:42:50
Bright red,6,Vitamin A is largely available in natural food sources with which colour?,448,0.57,25,215562.40000009537,q,S,2738.5999999046326,,,219400.70000004768,,,,HRV,HRV_0299,2022-11-30 20:42:50
Ampersand (&),4,"What began as a ligature of the letters ""e"" and ""t""?",144,1.923,26,219401.0,q,S,4557.200000047684,,,226407.79999995232,,,,HRV,HRV_0299,2022-11-30 20:42:50
The U.S. Air Force,7,What current branch of the U.S. military was a corps of only 50 soldiers when World War I broke out?,161,0.581,27,226408.20000004768,q,S,4908.799999952316,,,232433.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
George VI,6,Who was the last British Monarch to also be an emperor?  ,381,0.88,28,232433.20000004768,t,W,3857.2999999523163,238817.5,242845.0,246158.10000014305,2,1908.2999999523163,,HRV,HRV_0299,2022-11-30 20:42:50
Gerald Ford ,7,What president was shot while walking to California Governor Jerry Brown's office?  ,247,0.704,29,246158.5,t,W,4524.5,253242.20000004768,257271.10000014305,259931.5,4,1424.0999999046326,,HRV,HRV_0299,2022-11-30 20:42:50
Cayenne pepper ,2,What spice is named for the capital of French Guiana? ,409,1.268,30,259931.60000014305,q,S,2663.399999856949,,,264400.2000000477,,,,HRV,HRV_0299,2022-11-30 20:42:50
Pride and Prejudice,5,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?",1,0.606,31,264400.60000014305,q,S,3913.0,,,269453.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Bono ,5,What singer took his stage name from a Dublin hearing aid billboard?  ,257,0.887,32,269453.40000009537,t,W,4291.200000047684,276287.2999999523,280305.90000009537,282878.2000000477,3,1160.0,,HRV,HRV_0299,2022-11-30 20:42:50
Martin Luther King Jr. ,5,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,1.672,33,282878.5,q,S,4700.900000095367,,,289771.60000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Generals,6,Eleven U.S. presidents have been what before being elected?,36,0.792,34,289771.7999999523,q,S,4138.300000190735,,,295232.0,,,,HRV,HRV_0299,2022-11-30 20:42:50
Mountain Dew,7,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.997,35,295234.90000009537,q,S,4998.5,,,302741.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
The Atlas,7,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,1.982,36,302741.5,q,S,3964.7999999523163,,,309210.7999999523,,,,HRV,HRV_0299,2022-11-30 20:42:50
Australia,7,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.846,37,309210.7999999523,t,W,5717.900000095367,317463.2999999523,321480.40000009537,324648.2999999523,2,792.0,,HRV,HRV_0299,2022-11-30 20:42:50
Toledo,3,"The world's first ""sister cities"" were what Spanish city and its midwestern namesake?",110,1.278,38,324648.5,q,S,2148.100000143051,,,328599.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
Pressure,5,What is measured in millibars? ,202,0.552,39,328599.40000009537,q,S,2291.0,,,331957.60000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Chicago,1,What city has the only drive-thru post office in the world? ,147,0.974,40,331958.2000000477,t,W,3313.2999999523163,337803.7999999523,341829.5,344379.7000000477,3,1041.0,,HRV,HRV_0299,2022-11-30 20:42:50
