Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Adding olive juice,6,What turns a plain martini into a dirty martini?,440,0.931,0,2234.5,q,S,2019.8999999761581,5713.600000023842,,HRV,HRV_0046,2022-11-30 17:45:42
Grace Kelly ,2,What was the name of the American actress who was first to appear on a postage stamp?  ,288,0.968,1,5713.699999988079,q,S,1708.9000000357628,8909.899999976158,,HRV,HRV_0046,2022-11-30 17:45:42
Mexico ,3,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ",65,1.205,2,8909.899999976158,q,S,3649.300000011921,14289.800000011921,,HRV,HRV_0046,2022-11-30 17:45:42
Latex. This is known as the latex-fruit syndrome. ,4,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.152,3,14289.899999976158,q,S,1869.7000000476837,17837.899999976158,,HRV,HRV_0046,2022-11-30 17:45:42
Haddock,5,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.849,4,17838.0,q,S,2290.300000011921,22519.0,,HRV,HRV_0046,2022-11-30 17:45:42
Every jar of peanut butter must be at least 90% peanuts,7,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.02,5,22519.0,q,S,2001.5,26074.100000023842,,HRV,HRV_0046,2022-11-30 17:45:42
Don Adams,1,Who provided the voice for cartoon character Inspector Gadget? ,372,1.679,6,26074.19999998808,q,S,1998.6000000238419,30279.100000023842,,HRV,HRV_0046,2022-11-30 17:45:42
coca-cola,1,Which famous soft drink was invented in 1892?,425,1.175,7,30279.100000023842,q,S,1530.199999988079,33519.30000001192,,HRV,HRV_0046,2022-11-30 17:45:42
Arthur Conan Doyle,7,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,1.753,8,33519.30000001192,q,S,3706.699999988079,39498.60000002384,,HRV,HRV_0046,2022-11-30 17:45:42
Adlai Stevenson,1,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.156,9,39498.60000002384,q,S,2975.7999999523163,44150.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Coca-cola,4,What popular drink was first marketed as a brain tonic?,405,0.86,10,44151.0,q,S,1731.8999999761581,47254.0,,HRV,HRV_0046,2022-11-30 17:45:42
American Beauty,6,What Oscar-winning Best Picture is named for a type of rose? ,240,1.647,11,47254.0,q,S,3573.300000011921,52996.60000002384,,HRV,HRV_0046,2022-11-30 17:45:42
Avocado,4,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.04,12,52996.60000002384,q,S,4935.5,59501.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
George H.W. Bush ,2,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,1.807,13,59501.89999997616,q,S,4103.0,65934.10000002384,,HRV,HRV_0046,2022-11-30 17:45:42
The Chesapeake Bay,6,What bay is actually the United States's largest tidal estuary? ,141,1.82,14,65934.10000002384,q,S,2535.199999988079,70820.0,,HRV,HRV_0046,2022-11-30 17:45:42
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,3,Whice fruit is effective than coffee at waking you up in the morning?,454,1.133,15,70820.0,q,S,3178.300000011921,75668.5,,HRV,HRV_0046,2022-11-30 17:45:42
Charles ,4,What river runs through Boston? ,252,1.155,16,75668.60000002384,q,S,2873.7999999523163,80216.19999998808,,HRV,HRV_0046,2022-11-30 17:45:42
A glacial ridge,5,What is an esker? ,198,1.727,17,80216.19999998808,q,S,2278.699999988079,84741.5,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 81279.19999998808, 'date time': 1669829821797}]",HRV,HRV_0046,2022-11-30 17:45:42
Bling bling ,6,What term does rapper B.G. say he wishes he'd patented when he used it for the title of his massive 1999 hit?,264,1.843,18,84741.5,q,S,4410.199999988079,91515.19999998808,,HRV,HRV_0046,2022-11-30 17:45:42
James Brown,3,"When asked to define ""cool,"" what two words did James Brown use? ",312,0.765,19,91515.19999998808,q,S,3349.100000023842,96151.0,,HRV,HRV_0046,2022-11-30 17:45:42
The Blair Witch Project,3,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,0.834,20,96151.10000002384,q,S,3913.7999999523163,101429.30000001192,,HRV,HRV_0046,2022-11-30 17:45:42
World War I,6,"During which war was ""The African Queen"" set?",34,0.58,21,101429.30000001192,q,S,2795.899999976158,105340.80000001192,,HRV,HRV_0046,2022-11-30 17:45:42
Honda's Civic,1,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",17,1.31,22,105340.80000001192,q,S,4501.399999976158,111687.39999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Ampersand (&),1,"What began as a ligature of the letters ""e"" and ""t""?",144,0.684,23,111687.39999997616,q,S,2827.2000000476837,115718.0,,HRV,HRV_0046,2022-11-30 17:45:42
St. Louis Gateway Arch ,5,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,0.641,24,115718.10000002384,q,S,3012.599999964237,119890.10000002384,,HRV,HRV_0046,2022-11-30 17:45:42
Air bags,2,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",84,1.067,25,119890.10000002384,q,S,2561.0,124038.39999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Shaving,4,"The average male spends 2,965 hours doing what over the course of his lifetime?",92,1.531,26,124038.39999997616,q,S,3525.300000011921,129617.10000002384,,HRV,HRV_0046,2022-11-30 17:45:42
Apple sauce,1,What was the first food eaten in space?,435,0.99,27,129617.10000002384,q,S,2707.199999988079,133853.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Espresso,6,The Italian government regulates the price of what beverage?,399,1.454,28,133853.89999997616,q,S,1974.9000000357628,137821.69999998808,,HRV,HRV_0046,2022-11-30 17:45:42
Plumbing,1,"What common English word derives from the Latin for ""lead"", for the Roman practice of making water pipes out of lead?",153,1.517,29,137821.69999998808,q,S,1895.4000000357628,141753.5,,HRV,HRV_0046,2022-11-30 17:45:42
popscicle,2,What food was invented by an 11 year old in 1905?,450,1.899,30,141753.5,q,S,2236.199999988079,146421.69999998808,,HRV,HRV_0046,2022-11-30 17:45:42
Bright red,3,Vitamin A is largely available in natural food sources with which colour?,448,1.182,31,146421.69999998808,q,S,1952.4000000357628,150084.39999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Mickey Finn,4,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,241,1.621,32,150084.39999997616,q,S,2442.100000023842,154660.39999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Hawaii,7,Where is the only royal palace in the United States? ,321,1.992,33,154660.39999997616,q,S,2866.600000023842,160045.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Catapult ,4,What artillery weapon was launched upon the world in 400 B.C.?  ,140,1.486,34,160045.89999997616,q,S,2193.800000011921,164249.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Joan of Arc's ,2,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,0.539,35,164249.89999997616,q,S,2470.0,167774.19999998808,,HRV,HRV_0046,2022-11-30 17:45:42
pastry,1,Choux and filo are two types of what food product?,446,0.87,36,167774.19999998808,q,S,1754.1000000238419,170925.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Mushrooms which have been exposed to light,6,What is the only non-animal natural source of vitamin D?,459,0.956,37,170925.89999997616,q,S,2331.0,174736.5,,HRV,HRV_0046,2022-11-30 17:45:42
Juvenile deliquent,6,What did popular author J.D. Salinger reveal the first two intials in his name to stand for?  ,163,1.288,38,174736.5,q,S,2920.699999988079,179469.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Sunrise or sunset,7,"When is the optical phenomenon called a ""green flash"" or ""green ray"" visible?  ",313,0.813,39,179469.89999997616,q,S,2067.7000000476837,182869.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
cooking,2,"If you suffer from Mageirocophobia, what are you scared of?",438,1.347,40,182869.89999997616,q,S,1868.4000000357628,186618.10000002384,,HRV,HRV_0046,2022-11-30 17:45:42
Sepia,4,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.488,41,186618.10000002384,q,S,2096.2999999523163,190729.80000001192,,HRV,HRV_0046,2022-11-30 17:45:42
"Third finger, left hand ",1,What part of his body did Keith Richards insure for a million pounds?,243,0.567,42,190729.89999997616,q,S,1688.9000000357628,193510.5,,HRV,HRV_0046,2022-11-30 17:45:42
Patch Addams ,6,"What doctor, whose life was fictionalized in a 1998 film, founded the Gesundheit! Institute and named his oldest son ""Atomic Zagnut""?",166,1.832,43,193510.5,q,S,2269.199999988079,198139.69999998808,,HRV,HRV_0046,2022-11-30 17:45:42
Echinoderms,7,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.915,44,198139.80000001192,q,S,2263.899999976158,202847.30000001192,,HRV,HRV_0046,2022-11-30 17:45:42
Asparagus,5,what vegetable loses its flavour the quickest?,451,0.917,45,202847.30000001192,q,S,1892.8999999761581,206191.69999998808,,HRV,HRV_0046,2022-11-30 17:45:42
Museum of Modern Art in NYC ,1,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.405,46,206191.69999998808,q,S,1956.9000000357628,210085.0,,HRV,HRV_0046,2022-11-30 17:45:42
Midnight Cowboy ,3,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,1.363,47,210085.0,q,S,1759.8999999761581,213739.69999998808,,HRV,HRV_0046,2022-11-30 17:45:42
Capitol Hill,2,"Until 1790, what was known as Jenkins Hill? ",119,0.736,48,213739.69999998808,q,S,1737.5,216740.39999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Black,6,What color lipstick did silent movie stars wear?  ,151,0.957,49,216740.39999997616,q,S,2169.400000035763,220397.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Xanadu ,3,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,123,0.589,50,220397.89999997616,q,S,1624.1000000238419,223135.39999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Lhasa Apso,5,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,1.436,51,223135.39999997616,q,S,2111.0,227211.5,,HRV,HRV_0046,2022-11-30 17:45:42
Copperhead snake,5,Which poisonous snake smells like fresh cut cucumbers? ,350,0.689,52,227211.5,q,S,2339.399999976158,230765.89999997616,,HRV,HRV_0046,2022-11-30 17:45:42
Radar,2,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,0.851,53,230765.89999997616,q,S,2345.300000011921,234481.5,,HRV,HRV_0046,2022-11-30 17:45:42
