Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Teapot Dome scandal,1,Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ,19,1.973,0,2036.800000000745,q,S,2774.89999999851,7292.0,HRV,HRV_0159,2022-11-30 18:03:19
" ""!"" ",5,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?",35,1.86,1,7292.0,q,S,3039.699999999255,12700.099999997765,HRV,HRV_0159,2022-11-30 18:03:19
Antawn Jamison ,4,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,1.41,2,12700.199999999255,q,S,3086.5,17708.099999997765,HRV,HRV_0159,2022-11-30 18:03:19
Tobacco,2,"In 2005, Bhutan became the first country to entirely ban what?",57,1.52,3,17708.199999999255,q,S,3999.5,23740.0,HRV,HRV_0159,2022-11-30 18:03:19
Radar,1,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,0.988,4,23740.0,q,S,3999.699999999255,29235.89999999851,HRV,HRV_0159,2022-11-30 18:03:19
Ozone,3,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,1.575,5,29235.89999999851,q,S,3527.800000000745,34844.199999999255,HRV,HRV_0159,2022-11-30 18:03:19
Pearl Harbor ,5,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.439,6,34844.199999999255,q,S,4158.5,40948.099999997765,HRV,HRV_0159,2022-11-30 18:03:19
Rat,5,Which animal can go longer without water than a camel can? ,323,1.037,7,40948.099999997765,q,S,3591.60000000149,46084.099999997765,HRV,HRV_0159,2022-11-30 18:03:19
Frog,5,Certain types of which animal can be frozen solid and then continue living once thawed?,30,1.721,8,46084.099999997765,q,S,3447.60000000149,51763.89999999851,HRV,HRV_0159,2022-11-30 18:03:19
As Good As It Gets ,7,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,1.093,9,51764.0,q,S,4358.699999999255,57724.099999997765,HRV,HRV_0159,2022-11-30 18:03:19
