Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Museum of Modern Art in NYC ,2,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.319,0,3476.600000023842,t,W,3969.5,9978.200000047684,14000.799999952316,5,518.7000000476837,16357.399999976158,HRV,HRV_0157,2022-11-30 18:02:17
American Pie,7,What was the name of the plane Buddy Holly died in?  ,289,0.914,1,16357.5,t,W,3365.5,22253.700000047684,26267.399999976158,5,506.5,28218.200000047684,HRV,HRV_0157,2022-11-30 18:02:17
Cayenne pepper ,2,What spice is named for the capital of French Guiana? ,409,0.554,2,28218.299999952316,t,W,2718.3000000715256,33474.39999997616,37480.89999997616,5,527.5,39091.799999952316,HRV,HRV_0157,2022-11-30 18:02:17
Buck,5,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,0.605,3,39091.799999952316,t,W,5010.600000023842,46634.799999952316,50640.700000047684,3,1213.0999999046326,52991.5,HRV,HRV_0157,2022-11-30 18:02:17
Cheetah,6,Which is the only cat that cannot retract its claws? ,344,0.596,4,52991.60000002384,t,W,4479.899999976158,60004.5,64017.60000002384,4,2088.5,67225.60000002384,HRV,HRV_0157,2022-11-30 18:02:17
Rafflesia (corpse lily) ,1,What is the largest flower in the world? ,204,1.594,5,67225.60000002384,q,S,1910.1999999284744,,,,,71277.29999995232,HRV,HRV_0157,2022-11-30 18:02:17
Traffic lights,1,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",113,1.898,6,71277.5,q,S,3326.899999976158,,,,,77037.70000004768,HRV,HRV_0157,2022-11-30 18:02:17
The Chesapeake Bay,4,What bay is actually the United States's largest tidal estuary? ,141,1.522,7,77037.70000004768,q,S,3138.7999999523163,,,,,82226.20000004768,HRV,HRV_0157,2022-11-30 18:02:17
Frankie Avalon ,2,"Who had the last number one hit of the 1950s with his song ""Why""? ",367,1.78,8,82226.29999995232,q,S,3743.8000000715256,,,,,88279.29999995232,HRV,HRV_0157,2022-11-30 18:02:17
Saffron,7,What is the most expensive spice (by weight) in the world?,431,0.861,9,88279.29999995232,p,K,2626.2000000476837,,,,,92305.5,HRV,HRV_0157,2022-11-30 18:02:17
Eisenhower ,7,Who was president when the first U.S. presidential news conference was filmed for TV?,378,1.077,10,92305.60000002384,q,S,3402.100000023842,,,,,97302.29999995232,HRV,HRV_0157,2022-11-30 18:02:17
Adobe,4,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,0.521,11,97302.29999995232,q,S,3087.4000000953674,,,,,101438.70000004768,HRV,HRV_0157,2022-11-30 18:02:17
popscicle,6,What food was invented by an 11 year old in 1905?,450,0.821,12,101438.70000004768,q,S,3803.5,,,,,106595.29999995232,HRV,HRV_0157,2022-11-30 18:02:17
Radar,7,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,0.811,13,106595.29999995232,q,S,2999.5,,,,,110944.10000002384,HRV,HRV_0157,2022-11-30 18:02:17
Criss-Cross ,7,What was the game of Scrabble originally called? ,286,1.517,14,110944.10000002384,q,S,2191.399999976158,,,,,115177.89999997616,HRV,HRV_0157,2022-11-30 18:02:17
On a Jell-O box,4,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.952,15,115178.0,q,S,4174.399999976158,,,,,120835.10000002384,HRV,HRV_0157,2022-11-30 18:02:17
