Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
St. Louis Gateway Arch ,6,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,1.852,0,2632.800000000745,q,S,2733.599999997765,7728.199999999255,,HRV,HRV_0315,2022-11-30 22:36:35
Traffic lights,2,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",113,1.991,1,7728.199999999255,q,S,2914.5,13136.800000000745,,HRV,HRV_0315,2022-11-30 22:36:35
the skin and bones of animals,7,What is gelatin made from?,445,0.964,2,13136.800000000745,q,S,3058.5,17664.60000000149,,HRV,HRV_0315,2022-11-30 22:36:35
Antawn Jamison ,7,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,1.97,3,17664.60000000149,,,,27172.0,,HRV,HRV_0315,2022-11-30 22:36:35
Dorito is Spanish for little golden things,4,What does Dorito actually mean?,434,0.759,4,27172.10000000149,q,S,1806.2999999970198,30248.10000000149,,HRV,HRV_0315,2022-11-30 22:36:35
Pearl Harbor ,3,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.438,5,30248.10000000149,q,S,3124.39999999851,35320.800000000745,,HRV,HRV_0315,2022-11-30 22:36:35
Adlai Stevenson,6,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.805,6,35320.800000000745,q,S,2143.300000000745,39776.300000000745,,HRV,HRV_0315,2022-11-30 22:36:35
Coca-Cola,6,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.285,7,39776.39999999851,q,S,1575.9000000022352,43145.10000000149,,HRV,HRV_0315,2022-11-30 22:36:35
The Discovery,3,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,1.703,8,43145.199999999255,q,S,1552.1000000014901,46904.300000000745,,HRV,HRV_0315,2022-11-30 22:36:35
San Fancisco,2,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.281,9,46904.300000000745,q,S,1657.0999999977648,50352.5,,HRV,HRV_0315,2022-11-30 22:36:35
