Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
The Chrysler Building ,6,What skyscraper's exterior ornaments include radiator caps on the thirty-first floor and hood ornament eagles on the sixty-first floor?,258,1.384,0,4268.100000023842,q,S,2643.1999999284744,8816.699999928474,HRV,HRV_0143,2022-11-30 17:58:09
World War I,4,"During which war was ""The African Queen"" set?",34,0.96,1,8816.699999928474,q,S,2414.9000000953674,12712.299999952316,HRV,HRV_0143,2022-11-30 17:58:09
There was a pound of every ingredient in the original reciipe. ,2,How did the pound cake get its name?,460,1.621,2,12712.299999952316,q,S,2079.0,16937.699999928474,HRV,HRV_0143,2022-11-30 17:58:09
Betty Rubble,6,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,1.485,3,16937.699999928474,q,S,2565.600000023842,21501.5,HRV,HRV_0143,2022-11-30 17:58:09
Haricot beans,4,Baked beans are made from what type of bean?,443,1.952,4,21501.600000023842,q,S,2354.0,26338.0,HRV,HRV_0143,2022-11-30 17:58:09
Arkansas ,4,Where is the only active diamond mine in the U.S.?,320,0.579,5,26338.0,q,S,2645.899999976158,30086.600000023842,HRV,HRV_0143,2022-11-30 17:58:09
Louisiana's,2,What U.S. state's civil law is most closely based on the Napoleonic Code?  ,272,0.954,6,30086.600000023842,q,S,3696.899999976158,35258.799999952316,HRV,HRV_0143,2022-11-30 17:58:09
The bishop,4,Which chess piece was originally called 'the elephant'? ,334,0.747,7,35258.799999952316,q,S,3004.899999976158,39540.60000002384,HRV,HRV_0143,2022-11-30 17:58:09
Poison-arrow frog,5,"Which animal's poison could kill up to 2,200 people? ",329,1.966,8,39540.699999928474,q,S,2642.600000023842,44669.799999952316,HRV,HRV_0143,2022-11-30 17:58:09
The dodo,3,"What is believed to have received its name from the Portuguese word for ""simpleton""? ",199,1.25,9,44669.89999997616,q,S,2401.5,48849.699999928474,HRV,HRV_0143,2022-11-30 17:58:09
Butt,1,The adjective callipygian refers to someone who has a beautiful what? ,88,1.577,10,48849.699999928474,q,S,2975.100000023842,53931.0,HRV,HRV_0143,2022-11-30 17:58:09
Chuck E. Cheese's,6,What restaurant chain was the brainchild of Atari founder Nolan Bushnell? ,251,0.603,11,53931.0,q,S,2548.2999999523163,57604.10000002384,HRV,HRV_0143,2022-11-30 17:58:09
a spit,2,"If something is described as rotisserie, what has it been cooked on?",428,0.846,12,57604.10000002384,q,S,2411.1999999284744,61380.10000002384,HRV,HRV_0143,2022-11-30 17:58:09
A Cheeta born in 1932,7,Who is the world's oldest (non-human) primate on record?  ,369,0.825,13,61380.10000002384,q,S,2547.5,65271.39999997616,HRV,HRV_0143,2022-11-30 17:58:09
A Spoonful of Sugar ,3,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.672,14,65271.39999997616,q,S,3280.0,70759.39999997616,HRV,HRV_0143,2022-11-30 17:58:09
Toledo,7,"The world's first ""sister cities"" were what Spanish city and its midwestern namesake?",110,1.826,15,70759.39999997616,q,S,2663.899999976158,75773.60000002384,HRV,HRV_0143,2022-11-30 17:58:09
AstroTurf ,3,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,1.318,16,75773.69999992847,q,S,2161.9000000953674,79783.69999992847,HRV,HRV_0143,2022-11-30 17:58:09
Orville Wright,3,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.342,17,79783.69999992847,q,S,2135.7000000476837,83786.89999997616,HRV,HRV_0143,2022-11-30 17:58:09
Australia,6,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.498,18,83786.89999997616,q,S,2772.5,88582.10000002384,HRV,HRV_0143,2022-11-30 17:58:09
The Galapagos Islands ,4,What islands are home to most of the world's blue-footed boobies? ,216,1.696,19,88582.10000002384,q,S,2769.5999999046326,93568.69999992847,HRV,HRV_0143,2022-11-30 17:58:09
Speed of wind,4,What does an anemometer measure? ,168,0.569,20,93568.69999992847,q,S,1606.5,96255.79999995232,HRV,HRV_0143,2022-11-30 17:58:09
Pig,4,What is the only type of animal besides a human that can get a sunburn?,212,1.228,21,96255.79999995232,q,S,1863.3999999761581,99869.89999997616,HRV,HRV_0143,2022-11-30 17:58:09
The Guinness Book of World Records,1,What did Ross and Norris McWhirter compile as a promotional giveaway in 1955? ,164,1.506,22,99869.89999997616,q,S,1753.7000000476837,103648.19999992847,HRV,HRV_0143,2022-11-30 17:58:09
The nock,1,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.322,23,103648.19999992847,q,S,2207.4000000953674,107698.39999997616,HRV,HRV_0143,2022-11-30 17:58:09
"Cle(a)veland, Ohio",5,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,1.489,24,107698.39999997616,q,S,2957.100000023842,112678.5,HRV,HRV_0143,2022-11-30 17:58:09
The Leek ,6,"What bulb vegetable is traditionally worn on Saint David's Day, as it's a national symbol of Wales?",145,1.723,25,112678.5,q,S,2209.2999999523163,117135.79999995232,HRV,HRV_0143,2022-11-30 17:58:09
8 Mile Road ,5,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",254,1.096,26,117135.79999995232,q,S,2519.899999976158,121264.60000002384,HRV,HRV_0143,2022-11-30 17:58:09
Endeavour ,4,What is the name of the ship that carried Captain Cook to Australia?  ,208,0.914,27,121264.60000002384,q,S,2591.0,125296.69999992847,HRV,HRV_0143,2022-11-30 17:58:09
Liffey,1,What river runs through Dublin?   ,253,1.491,28,125296.69999992847,q,S,2431.0,129744.5,HRV,HRV_0143,2022-11-30 17:58:09
The crocodile,5,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.141,29,129744.5,q,S,2366.899999976158,133774.89999997616,HRV,HRV_0143,2022-11-30 17:58:09
