Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
J,2,What's the only letter that doesn't appear in the periodic table of elements?,309,1.342,0,2708.5999999940395,t,W,6730.20000000298,11948.20000000298,15965.89999999106,3,539.1000000089407,18371.39999999106,HRV,HRV_0009,2022-11-30 17:35:03
Liffey,5,What river runs through Dublin?   ,253,0.908,1,18371.59999999404,q,S,3325.7999999970198,,,,,23127.39999999106,HRV,HRV_0009,2022-11-30 17:35:03
Zinfindel,4,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,0.715,2,23127.39999999106,q,S,5358.20000000298,,,,,29724.29999999702,HRV,HRV_0009,2022-11-30 17:35:03
A Cheeta born in 1932,4,Who is the world's oldest (non-human) primate on record?  ,369,1.489,3,29724.29999999702,q,S,4768.9000000059605,,,,,36494.5,HRV,HRV_0009,2022-11-30 17:35:03
Sunrise or sunset,3,"When is the optical phenomenon called a ""green flash"" or ""green ray"" visible?  ",313,1.728,4,36494.59999999404,q,S,5646.5,,,,,44384.39999999106,HRV,HRV_0009,2022-11-30 17:35:03
"Third finger, left hand ",6,What part of his body did Keith Richards insure for a million pounds?,243,0.532,5,44384.59999999404,p,K,7222.79999999702,,,,,52665.79999999702,HRV,HRV_0009,2022-11-30 17:35:03
The Oxford English Dictionary,4,"W.C. Minor, a murderer, spent the last decades of his life in an insane asylum writing hundreds of entries for what reference work? ",121,1.147,6,52665.89999999106,t,W,8493.60000000894,63676.5,67688.09999999404,1,699.7999999970198,70079.70000000298,HRV,HRV_0009,2022-11-30 17:35:03
Canadian Oil,7,What is canola an abbreviation for?,436,0.916,7,70079.79999999702,q,S,3675.7999999970198,,,,,75190.79999999702,HRV,HRV_0009,2022-11-30 17:35:03
The bishop,2,Which chess piece was originally called 'the elephant'? ,334,1.185,8,75190.89999999106,t,W,5031.4000000059605,82733.59999999404,86742.89999999106,4,1722.6000000089407,90171.59999999404,HRV,HRV_0009,2022-11-30 17:35:03
A red giant ,1,"What kind of enormous, cool star will our own sun become in five billion years? ",224,0.64,9,90171.70000000298,p,K,4479.29999999702,,,,,95818.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
Giant squid,6,What is the largest creature without a backbone? ,203,1.383,10,95818.29999999702,p,K,4956.5,,,,,102674.5,HRV,HRV_0009,2022-11-30 17:35:03
"Cle(a)veland, Ohio",2,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,1.6,11,102674.5,,,,,,,,112182.0,HRV,HRV_0009,2022-11-30 17:35:03
Twenty-fourth ,3,Which Constitutional Amendment deals with poll taxes? ,335,1.105,12,112182.0,q,S,3786.7999999970198,,,,,117583.29999999702,HRV,HRV_0009,2022-11-30 17:35:03
Mice,5,"After humans, what's the worlds most abundant mammal species?",16,0.584,13,117583.5,q,S,5158.899999991059,,,,,123842.5,HRV,HRV_0009,2022-11-30 17:35:03
Echinoderms,4,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.824,14,123842.5,q,S,2522.3999999910593,,,,,128704.59999999404,HRV,HRV_0009,2022-11-30 17:35:03
the skin and bones of animals,4,What is gelatin made from?,445,0.968,15,128704.59999999404,p,K,2545.0,,,,,132769.0,HRV,HRV_0009,2022-11-30 17:35:03
The Super Bowl ,1,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,0.959,16,132769.0,t,W,7106.399999991059,142397.59999999404,146406.59999999404,5,1620.7000000029802,149496.20000000298,HRV,HRV_0009,2022-11-30 17:35:03
Endeavour ,7,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.162,17,149496.39999999106,p,K,3988.2000000029802,,,,,155163.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
Marven (Marvin) Gardens,5,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.693,18,155163.29999999702,q,S,5885.70000000298,,,,,163261.39999999106,HRV,HRV_0009,2022-11-30 17:35:03
Adlai Stevenson,5,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,0.828,19,163261.39999999106,p,K,4943.9000000059605,,,,,169561.70000000298,HRV,HRV_0009,2022-11-30 17:35:03
Bhutan,3,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,0.559,20,169561.70000000298,q,S,4239.0,,,,,174870.29999999702,HRV,HRV_0009,2022-11-30 17:35:03
Frog,3,Certain types of which animal can be frozen solid and then continue living once thawed?,30,1.145,21,174870.29999999702,p,K,6826.9000000059605,,,,,183353.89999999106,HRV,HRV_0009,2022-11-30 17:35:03
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,1,Whice fruit is effective than coffee at waking you up in the morning?,454,1.373,22,183353.89999999106,t,W,6601.800000011921,192474.20000000298,196495.89999999106,5,1475.300000011921,199858.20000000298,HRV,HRV_0009,2022-11-30 17:35:03
Sweden,3,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,1.297,23,199858.29999999702,q,S,5445.70000000298,,,,,207120.59999999404,HRV,HRV_0009,2022-11-30 17:35:03
Tears,6,"At 6-8 weeks, babies start producing what? ",23,1.18,24,207120.59999999404,q,S,2415.1000000089407,,,,,211236.59999999404,HRV,HRV_0009,2022-11-30 17:35:03
A soccer ball,1,What common item is usually made up of twelve pentagons and twenty hexagons?,154,1.228,25,211236.70000000298,t,W,4305.399999991059,218064.20000000298,222089.89999999106,2,1190.7000000029802,225034.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
cooking,4,"If you suffer from Mageirocophobia, what are you scared of?",438,1.103,26,225034.20000000298,t,W,5288.79999999702,232841.29999999702,236860.79999999702,2,1601.9000000059605,240092.59999999404,HRV,HRV_0009,2022-11-30 17:35:03
Harmonica,1,"What's sometimes called a ""licking stick"" or a ""tin sandwich""?  ",301,1.685,27,240092.59999999404,q,S,3349.0,,,,,245649.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
"the Red Hot Chili Peppers, followed closely by Meatloaf",3,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.277,28,245649.20000000298,q,S,6330.5999999940395,,,,,253783.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
Woodrow Wilson,2,Which U.S. president's home was named Shadow Lawn?,356,0.509,29,253783.09999999404,t,W,4991.0,261290.59999999404,265310.89999999106,3,1100.4000000059605,267435.700000003,HRV,HRV_0009,2022-11-30 17:35:03
Tea leaves,2,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.464,30,267435.799999997,q,S,2684.5999999940395,,,,,272099.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
Crocodiles,1,"Which animals swallow large stones, which remain in their bellies and are thought to be used as ballasts for diving?",330,0.578,31,272099.200000003,p,K,5163.199999988079,,,,,278354.700000003,HRV,HRV_0009,2022-11-30 17:35:03
Mickey Finn,2,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,241,1.526,32,278354.799999997,q,S,5372.0,,,,,285770.89999999106,HRV,HRV_0009,2022-11-30 17:35:03
The Korean War,3,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,1.977,33,285771.0,p,K,4763.399999991059,,,,,293025.700000003,HRV,HRV_0009,2022-11-30 17:35:03
Death,1,"In ancient Egypt, what was the penalty for killing a cat?",58,1.046,34,293025.89999999106,q,S,3172.300000011921,,,,,297764.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
Poland,3,What EU nation was once led by a president and a prime minister who were identical twins? ,172,0.808,35,297764.09999999404,q,S,4055.0,,,,,303157.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
The names of the Great Lakes ,2,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,1.606,36,303157.200000003,q,S,6217.0,,,,,311511.09999999404,HRV,HRV_0009,2022-11-30 17:35:03
