Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
at least 97%,2,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,0.742,0,1966.5,q,S,4687.200000047684,7903.299999952316,HRV,HRV_0164,2022-11-30 18:18:01
New Jersey's Rutgers,6,Which U.S. state's leading public university is the only one not to be named for the state?  ,357,0.581,1,7904.200000047684,q,S,4618.900000095367,13616.0,HRV,HRV_0164,2022-11-30 18:18:01
cooking,1,"If you suffer from Mageirocophobia, what are you scared of?",438,0.643,2,13616.100000143051,q,S,3374.5,18143.0,HRV,HRV_0164,2022-11-30 18:18:01
Tuxedo Club ,1,What New York country club lent its name to the kind of dinner jacket first worn there in 1886?  ,238,0.659,3,18143.0,q,S,2186.7000000476837,21495.200000047684,HRV,HRV_0164,2022-11-30 18:18:01
Haddock,1,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.822,4,21495.299999952316,p,K,5017.600000143051,28847.299999952316,HRV,HRV_0164,2022-11-30 18:18:01
Jamaica Bay,6,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,0.705,5,28847.400000095367,q,S,3079.7999999523163,33143.0,HRV,HRV_0164,2022-11-30 18:18:01
Brazil,6,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,1.508,6,33143.200000047684,q,S,5066.099999904633,40223.200000047684,HRV,HRV_0164,2022-11-30 18:18:01
Coca-Cola,2,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.546,7,40223.299999952316,q,S,1722.0,42998.90000009537,HRV,HRV_0164,2022-11-30 18:18:01
On a Jell-O box,5,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.91,8,42999.10000014305,q,S,2876.699999809265,47295.10000014305,HRV,HRV_0164,2022-11-30 18:18:01
Tooth,2,What is the only part of the body that can't repair itself? ,210,1.39,9,47295.40000009537,q,S,5592.299999952316,54783.0,HRV,HRV_0164,2022-11-30 18:18:01
Ampersand (&),3,"What began as a ligature of the letters ""e"" and ""t""?",144,1.099,10,54783.0,q,S,4617.100000143051,61006.799999952316,HRV,HRV_0164,2022-11-30 18:18:01
Oxygen,5,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,1.953,11,61006.90000009537,p,K,4085.7000000476837,67558.70000004768,HRV,HRV_0164,2022-11-30 18:18:01
George H.W. Bush ,4,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,0.548,12,67558.79999995232,p,K,3817.2000000476837,72431.29999995232,HRV,HRV_0164,2022-11-30 18:18:01
The La Brea tar pits ,3,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,0.763,13,72431.5,q,S,5709.100000143051,79415.20000004768,HRV,HRV_0164,2022-11-30 18:18:01
Avocados have twice the amount of potassium as bananas. ,1,Which fruit has more potassium than bananas?,455,0.63,14,79415.29999995232,p,K,4264.400000095367,84815.0,HRV,HRV_0164,2022-11-30 18:18:01
cheese ,1,What item of food holds the world record for being the most stolen item of food in the world?,444,1.212,15,84815.10000014305,p,K,5316.599999904633,91854.5,HRV,HRV_0164,2022-11-30 18:18:01
Anne Hathaway,6,What was the name of William Shakespeare's wife?  ,290,1.525,16,91854.60000014305,q,S,3030.2999999523163,96919.20000004768,HRV,HRV_0164,2022-11-30 18:18:01
"Cle(a)veland, Ohio",6,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,1.231,17,96919.29999995232,q,S,2728.800000190735,101391.0,HRV,HRV_0164,2022-11-30 18:18:01
Sixteenth,7,Which Constitutional Amendment deals with the income tax? ,336,0.915,18,101391.0,p,K,3702.0,106518.70000004768,HRV,HRV_0164,2022-11-30 18:18:01
General Electric ,3,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,310,0.706,19,106518.79999995232,q,S,3877.5,111614.70000004768,HRV,HRV_0164,2022-11-30 18:18:01
Captain Cook ,2,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.106,20,111614.79999995232,q,S,2516.0,115752.29999995232,HRV,HRV_0164,2022-11-30 18:18:01
Bolivia,4,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,1.492,21,115752.29999995232,q,S,2267.2000000476837,120023.60000014305,HRV,HRV_0164,2022-11-30 18:18:01
Montenegro,6,What European country is named for the dark-looking Dinaric Alps? ,173,1.431,22,120023.60000014305,q,S,1669.0999999046326,123631.5,HRV,HRV_0164,2022-11-30 18:18:01
Black,2,What color lipstick did silent movie stars wear?  ,151,1.04,23,123631.70000004768,q,S,1685.7999999523163,126870.90000009537,HRV,HRV_0164,2022-11-30 18:18:01
A Cheeta born in 1932,3,Who is the world's oldest (non-human) primate on record?  ,369,1.061,24,126870.90000009537,q,S,2691.5999999046326,131135.20000004768,HRV,HRV_0164,2022-11-30 18:18:01
The nock,1,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.897,25,131135.20000004768,p,K,3803.9000000953674,137347.70000004768,HRV,HRV_0164,2022-11-30 18:18:01
Ripe cranerries bounce when dropped on the ground,2,How do farmers test whether cranberries are ripe?,452,1.288,26,137347.79999995232,q,S,4407.200000047684,143559.79999995232,HRV,HRV_0164,2022-11-30 18:18:01
Blue,1,Lobster blood is what color?,73,1.863,27,143559.79999995232,p,K,1971.3000001907349,147910.90000009537,HRV,HRV_0164,2022-11-30 18:18:01
