Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
On Christ's crucifix ,5,"Where did the abbreviation ""INRI"" traditionally appear? ",315,0.984,0,3687.0999999046326,p,K,3152.300000190735,8353.700000047684,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Catapult ,4,What artillery weapon was launched upon the world in 400 B.C.?  ,140,1.027,1,8353.700000047684,p,K,2677.899999856949,12588.900000095367,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
George Washington,7,Who is pictured on a US Purple Heart medal? ,368,1.612,2,12589.0,t,W,1778.2999999523163,24070.5,16886.200000047684,20904.700000047684,3,1030.8999998569489,,HRV,HRV_0121,2022-11-30 17:48:23
The evacuation of Saigon,7,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",6,1.579,3,24070.5,q,S,3336.7999999523163,29511.900000095367,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Albert Einstein,3,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,1.601,4,29511.900000095367,t,W,2775.7999999523163,42003.700000047684,34822.5,38841.09999990463,4,1046.2000000476837,,HRV,HRV_0121,2022-11-30 17:48:23
Near Alaska,3,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,1.623,5,42003.700000047684,q,S,2659.7999999523163,46807.799999952316,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Tuesday,7,Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ,43,1.485,6,46808.0,t,W,2223.2000000476837,58094.5,51557.90000009537,55576.799999952316,2,502.40000009536743,,HRV,HRV_0121,2022-11-30 17:48:23
Oxygen,2,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,1.94,7,58094.59999990463,p,K,2344.600000143051,62902.299999952316,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Every jar of peanut butter must be at least 90% peanuts,2,What percentage of peanuts is found in a standard jar of peanut butter?,423,0.62,8,62902.40000009537,t,W,3281.0,75102.90000009537,68699.40000009537,72715.90000009537,4,1235.2999999523163,,HRV,HRV_0121,2022-11-30 17:48:23
It causes sour foods subsequently consumed to taste sweet. ,1,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,1.639,9,75103.0,q,S,3456.2999999523163,80729.5,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Betty Rubble,5,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,0.921,10,80729.5,t,W,2301.7999999523163,92105.20000004768,85558.29999995232,89576.90000009537,3,1062.5,,HRV,HRV_0121,2022-11-30 17:48:23
Nuclear Disarmament,5,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.913,11,92105.29999995232,p,K,3661.7999999523163,98200.79999995232,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
The sky,3,The Linke Scale is used to measure the blueness of what?,101,1.593,12,98200.79999995232,t,W,2254.2000000476837,109621.09999990463,102979.79999995232,106996.90000009537,5,506.39999985694885,,HRV,HRV_0121,2022-11-30 17:48:23
Camel,1,Which animal's milk does not curdle? ,328,1.835,13,109621.20000004768,t,W,1865.8999998569489,120963.59999990463,114011.40000009537,118027.0,4,564.2999999523163,,HRV,HRV_0121,2022-11-30 17:48:23
James Buchanan ,4,Who was the only U.S. president never to be married?,383,1.564,14,120963.59999990463,p,K,1683.5,124745.90000009537,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Peter Pan ,7,What was the first English play to be written especially for children? ,283,0.709,15,124745.90000009537,q,S,2628.5,128603.29999995232,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
United States,5,In which country is it most common for divers to be attacked by sharks?,68,1.057,16,128603.40000009537,p,K,2251.899999856949,132448.5,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Hawaii,5,Where is the only royal palace in the United States? ,321,1.082,17,132448.5,t,W,2078.5999999046326,143454.90000009537,137058.59999990463,141075.90000009537,4,771.3999998569489,,HRV,HRV_0121,2022-11-30 17:48:23
Penny Marshall,3,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,1.52,18,143454.90000009537,p,K,2352.199999809265,147858.5,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
The Stanley Cup ,7,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,1.143,19,147858.59999990463,q,S,2988.5,152510.5,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Lava lamp ,2,What was first made by suspending paraffin in a solution of water and antifreeze? ,276,1.229,20,152510.59999990463,q,S,3184.800000190735,157448.09999990463,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
"Portland, Oregon",3,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.611,21,157448.09999990463,t,W,2638.4000000953674,170153.20000004768,162619.90000009537,166638.29999995232,3,1368.7000000476837,,HRV,HRV_0121,2022-11-30 17:48:23
Walt Disney,7,Which person has been awarded the most Oscars ever? ,349,0.933,22,170153.29999995232,q,S,2261.7999999523163,173880.79999995232,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Ciabatta,3,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,1.097,23,173880.79999995232,q,S,3238.2999999523163,178760.5,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Eric the Red,4,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,1.862,24,178760.5,p,K,2678.7999999523163,183838.70000004768,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
The barrel of a gun,5,"According to Chairman Mao, ""political power grows out of"" what?",11,1.672,25,183838.70000004768,p,K,2848.399999856949,188885.5,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Tse-tse fly,5,What transmits the disease typanosomiasis to humans and cattle? ,267,0.689,26,188885.5,q,S,3217.7000000476837,193329.40000009537,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Happy Birthday,1,What was the first song ever performed in outer space? ,285,1.077,27,193329.40000009537,t,W,2557.199999809265,204572.90000009537,198402.5,202418.5,5,540.5999999046326,,HRV,HRV_0121,2022-11-30 17:48:23
Teeth,3,"One in every 2,000 babies is born with what? ",77,0.728,28,204572.90000009537,t,W,3266.199999809265,216698.90000009537,210371.0,214388.0,4,1050.9000000953674,,HRV,HRV_0121,2022-11-30 17:48:23
The Blair Witch Project,5,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,1.08,29,216698.90000009537,p,K,3236.0999999046326,221538.29999995232,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Mickey Finn,2,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,241,1.3,30,221538.29999995232,t,W,2388.600000143051,233182.40000009537,226464.79999995232,230482.79999995232,3,884.4000000953674,,HRV,HRV_0121,2022-11-30 17:48:23
Vietnam,3,"In what country did the domesticated ""potbellied pig"" originate?",61,1.09,31,233182.40000009537,q,S,2160.399999856949,236963.59999990463,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
Shark,1,"What animal is thought to be immune to most all diseases, including cancer? ",132,1.769,32,236963.59999990463,t,W,1843.4000000953674,248823.29999995232,241338.90000009537,245356.79999995232,5,1170.1000001430511,,HRV,HRV_0121,2022-11-30 17:48:23
The budgerigar,2,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.872,33,248823.29999995232,q,S,2863.600000143051,254089.5,,,,,,HRV,HRV_0121,2022-11-30 17:48:23
