Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Eric the Red,2,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,1.599,0,2543.0999999046326,12059.400000095367,,,,,,,,HRV,HRV_0075,2022-11-30 18:09:30
Don Adams,5,Who provided the voice for cartoon character Inspector Gadget? ,372,1.032,1,12059.5,26012.599999904633,t,W,2867.0999999046326,17445.400000095367,21492.900000095367,,,HRV,HRV_0075,2022-11-30 18:09:30
The Notorious BIG,5,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,0.943,2,26012.599999904633,40090.59999990463,t,W,3021.0,31554.5,35563.40000009537,,,HRV,HRV_0075,2022-11-30 18:09:30
Newborns ,2,The apgar score is used to measure the color and condition of what? ,91,0.737,3,40090.59999990463,44734.299999952316,q,S,3381.800000190735,,,,,HRV,HRV_0075,2022-11-30 18:09:30
Sudan,7,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.765,4,44734.40000009537,58116.90000009537,t,W,2578.899999856949,49833.59999990463,53850.59999990463,5,1972.7000000476837,HRV,HRV_0075,2022-11-30 18:09:30
honey,4,Which is the only food that can never go off or go bad?,442,1.324,5,58117.09999990463,72051.29999995232,t,W,3694.800000190735,64337.700000047684,68354.09999990463,5,1844.0,HRV,HRV_0075,2022-11-30 18:09:30
The Mona Lisa,4,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,0.709,6,72051.29999995232,86346.29999995232,t,W,4966.700000047684,79545.5,83565.0,5,1550.7999999523163,HRV,HRV_0075,2022-11-30 18:09:30
Ohio,3,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,1.624,7,86346.40000009537,100214.20000004768,t,W,3283.7999999523163,92145.5,96164.09999990463,5,1913.5,HRV,HRV_0075,2022-11-30 18:09:30
Echinoderms,2,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.446,8,100214.59999990463,106587.40000009537,q,S,4402.300000190735,,,,,HRV,HRV_0075,2022-11-30 18:09:30
Penny Marshall,6,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,0.892,9,106587.59999990463,119187.0,t,W,2783.800000190735,111906.20000004768,115920.90000009537,5,1846.8999998569489,HRV,HRV_0075,2022-11-30 18:09:30
