Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Mushrooms which have been exposed to light,4,What is the only non-animal natural source of vitamin D?,459,0.754,0,3126.0,t,W,5189.100000008941,10850.40000000596,14863.20000000298,3,2469.0,18594.20000000298,HRV,HRV_0122,2022-11-30 18:02:34
J,5,What's the only letter that doesn't appear in the periodic table of elements?,309,1.935,1,18594.20000000298,p,K,5385.0999999940395,,,,,26445.29999999702,HRV,HRV_0122,2022-11-30 18:02:34
James Buchanan ,5,Who was the only U.S. president never to be married?,383,0.946,2,26445.40000000596,t,W,4127.70000000298,33099.29999999702,37112.70000000298,3,653.5999999940395,39245.60000000894,HRV,HRV_0122,2022-11-30 18:02:34
Bacon,7,"In Britain, what kind of meat comes in rashers?",397,1.092,3,39245.70000000298,p,K,4280.20000000298,,,,,45135.0,HRV,HRV_0122,2022-11-30 18:02:34
Speed of wind,7,What does an anemometer measure? ,168,0.738,4,45135.0,p,K,4325.79999999702,,,,,50707.5,HRV,HRV_0122,2022-11-30 18:02:34
Twenty-fourth ,1,Which Constitutional Amendment deals with poll taxes? ,335,1.242,5,50707.5,t,W,4847.29999999702,58077.79999999702,62089.10000000894,1,637.5,64502.60000000894,HRV,HRV_0122,2022-11-30 18:02:34
Bright red,1,Vitamin A is largely available in natural food sources with which colour?,448,1.979,6,64502.60000000894,p,K,4786.79999999702,,,,,71804.90000000596,HRV,HRV_0122,2022-11-30 18:02:34
Italy ,1,What country borders both of the world's only two nations with square flags? ,157,1.944,7,71805.0,t,W,4446.29999999702,78763.0,82785.60000000894,3,1441.8999999910593,86683.29999999702,HRV,HRV_0122,2022-11-30 18:02:34
Zinfindel,6,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.151,8,86683.29999999702,p,K,3986.1000000089407,,,,,92350.60000000894,HRV,HRV_0122,2022-11-30 18:02:34
The crocodile,7,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,0.881,9,92350.70000000298,p,K,4062.0,,,,,97806.90000000596,HRV,HRV_0122,2022-11-30 18:02:34
Honda's Civic,7,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",17,1.821,10,97806.90000000596,p,K,5677.29999999702,,,,,105825.70000000298,HRV,HRV_0122,2022-11-30 18:02:34
The Pope,2,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",32,1.293,11,105825.79999999702,t,W,7884.20000000298,116242.79999999702,120256.90000000596,1,567.5,122651.60000000894,HRV,HRV_0122,2022-11-30 18:02:34
Vietnam,7,"In what country did the domesticated ""potbellied pig"" originate?",61,1.411,12,122651.60000000894,p,K,4336.29999999702,,,,,128926.10000000894,HRV,HRV_0122,2022-11-30 18:02:34
Pearl Harbor ,4,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.619,13,128926.20000000298,p,K,5803.4000000059605,,,,,136874.20000000298,HRV,HRV_0122,2022-11-30 18:02:34
Betty Rubble,1,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,0.625,14,136874.20000000298,p,K,4659.79999999702,,,,,142697.40000000596,HRV,HRV_0122,2022-11-30 18:02:34
Adobe,3,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,0.834,15,142697.40000000596,t,W,7280.20000000298,152497.60000000894,156513.0,1,549.2999999970198,158421.40000000596,HRV,HRV_0122,2022-11-30 18:02:34
Coca-Cola,6,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.4,16,158421.40000000596,q,S,3766.7000000029802,,,,,164106.90000000596,HRV,HRV_0122,2022-11-30 18:02:34
Avocado,1,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.198,17,164107.0,q,S,5092.5,,,,,170916.29999999702,HRV,HRV_0122,2022-11-30 18:02:34
The Blair Witch Project,7,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,1.473,18,170916.29999999702,q,S,5265.800000011921,,,,,178193.40000000596,HRV,HRV_0122,2022-11-30 18:02:34
Pen(n)sylvania ,3,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,0.898,19,178193.40000000596,p,K,5599.899999991059,,,,,185208.20000000298,HRV,HRV_0122,2022-11-30 18:02:34
Honey,5,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.284,20,185208.20000000298,q,S,6411.0,,,,,193416.0,HRV,HRV_0122,2022-11-30 18:02:34
Peanuts ,4,What snack food is an ingredient in the explosive dynamite?  ,408,1.359,21,193416.0,q,S,4001.2000000029802,,,,,199292.40000000596,HRV,HRV_0122,2022-11-30 18:02:34
Great Britain,7,"Of the world's seven most populous islands, what's the only one not in Asia? ",76,0.976,22,199292.40000000596,p,K,3525.2999999970198,,,,,204317.70000000298,HRV,HRV_0122,2022-11-30 18:02:34
Martin Luther King Jr. ,3,Who won the Nobel Peace Prize in 1964? ,386,1.461,23,204317.79999999702,q,S,3624.7000000029802,,,,,209937.20000000298,HRV,HRV_0122,2022-11-30 18:02:34
George Marshall,4,What future secretary of state became America's first five-star general in December 1944? ,181,1.696,24,209937.20000000298,q,S,3327.5,,,,,215492.60000000894,HRV,HRV_0122,2022-11-30 18:02:34
Social Security,4,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.232,25,215492.60000000894,t,W,5781.0,223791.0,227808.29999999702,1,1860.0,231413.79999999702,HRV,HRV_0122,2022-11-30 18:02:34
Kansas City ,2,The first suburban shopping center in the U.S. was established in what city?,99,1.547,26,231413.90000000596,q,S,3148.5999999940395,,,,,236627.90000000596,HRV,HRV_0122,2022-11-30 18:02:34
Tea leaves,5,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.6,27,236627.90000000596,q,S,2942.0,,,,,241688.10000000894,HRV,HRV_0122,2022-11-30 18:02:34
The sky,3,The Linke Scale is used to measure the blueness of what?,101,0.578,28,241688.20000000298,q,S,4526.5999999940395,,,,,247324.0,HRV,HRV_0122,2022-11-30 18:02:34
