Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Shark,6,"What animal is thought to be immune to most all diseases, including cancer? ",132,0.629,0,2465.7000000476837,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 3097.2000000476837, 'date time': 1669834931833}]",q,S,1906.3999998569489,5519.299999952316,HRV,HRV_0231,2022-11-30 19:12:10
Aluminum,3,Bauxite ore is mined so it can be processed into what metal?,25,1.298,1,5519.299999952316,,q,S,1891.2000000476837,9223.099999904633,HRV,HRV_0231,2022-11-30 19:12:10
Ozone,7,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,0.984,2,9223.099999904633,,q,S,2687.300000190735,13429.5,HRV,HRV_0231,2022-11-30 19:12:10
Dragees,3,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,0.751,3,13429.599999904633,,q,S,3043.2000000476837,17744.799999952316,HRV,HRV_0231,2022-11-30 19:12:10
South Africa,4,In what country was the largest rough diamond ever discovered?,62,0.627,4,17744.900000095367,,q,S,2161.0,21058.099999904633,HRV,HRV_0231,2022-11-30 19:12:10
A Galapagos giant tortoise ,5,"What kind of animal was Hariet, who died at the Queensland Zoo in 2006 and was claimed to have belonged to Charles Darwin?",223,1.032,5,21058.099999904633,,q,S,4451.900000095367,27058.0,HRV,HRV_0231,2022-11-30 19:12:10
Rhesus antigens (Rh or RhD),1,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,1.073,6,27058.0,,q,S,2171.5,30824.900000095367,HRV,HRV_0231,2022-11-30 19:12:10
Near Alaska,6,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,1.425,7,30824.900000095367,,q,S,1513.0999999046326,34296.59999990463,HRV,HRV_0231,2022-11-30 19:12:10
New York,6,Which state has the zip code 12345?,354,0.976,8,34296.59999990463,,q,S,1852.7000000476837,37666.40000009537,HRV,HRV_0231,2022-11-30 19:12:10
Pumpkin,4,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,360,1.108,9,37666.40000009537,,q,S,2263.5999999046326,41566.700000047684,HRV,HRV_0231,2022-11-30 19:12:10
On Christ's crucifix ,5,"Where did the abbreviation ""INRI"" traditionally appear? ",315,1.235,10,41566.700000047684,,q,S,1561.7999999523163,44872.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
United States,1,In which country is it most common for divers to be attacked by sharks?,68,1.313,11,44872.90000009537,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 45112.59999990463, 'date time': 1669834973849}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 45750.5, 'date time': 1669834974487}]",,,,55889.799999952316,HRV,HRV_0231,2022-11-30 19:12:10
Sudan,5,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.883,12,55889.90000009537,,,,,66884.70000004768,HRV,HRV_0231,2022-11-30 19:12:10
Japan ,4,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,1.727,13,66884.70000004768,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 67355.70000004768, 'date time': 1669834996092}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 68488, 'date time': 1669834997225}]",q,S,2888.5999999046326,72020.20000004768,HRV,HRV_0231,2022-11-30 19:12:10
Asparagus,2,what vegetable loses its flavour the quickest?,451,1.927,14,72020.20000004768,,q,S,1642.8999998569489,76107.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
Cayenne pepper ,3,What spice is named for the capital of French Guiana? ,409,1.623,15,76107.90000009537,,q,S,4221.0,82479.70000004768,HRV,HRV_0231,2022-11-30 19:12:10
Gary Busey,5,What actor campaigned against helmet laws until he was almost killed in a helmetless 1988 motorcycle accident?,127,1.66,16,82479.70000004768,,q,S,3653.0,88317.20000004768,HRV,HRV_0231,2022-11-30 19:12:10
The Discovery,5,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,0.765,17,88317.20000004768,,q,S,2164.7000000476837,91782.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
cooking,4,"If you suffer from Mageirocophobia, what are you scared of?",438,1.29,18,91782.09999990463,,q,S,1924.6000001430511,95522.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
Honda's Civic,5,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",17,1.483,19,95522.90000009537,,p,K,3945.5999999046326,101475.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
Joeys,1,What are infant marsupials called?  ,135,0.702,20,101475.09999990463,,q,S,2129.600000143051,104835.79999995232,HRV,HRV_0231,2022-11-30 19:12:10
