Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
The Millenium Falcon ,6,"What could be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",156,1.877,0,2279.0999999940395,t,W,4975.299999982119,9790.09999999404,13802.09999999404,4,904.7999999821186,17105.79999998212,HRV,HRV_0174,2022-11-30 18:21:00
Luxor,6,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,0.765,1,17105.899999976158,p,K,7706.4000000059605,,,,,26113.899999976158,HRV,HRV_0174,2022-11-30 18:21:00
Pen(n)sylvania ,1,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.266,2,26113.899999976158,t,W,5776.600000023842,34414.29999998212,38432.19999998808,4,1217.800000011921,41443.29999998212,HRV,HRV_0174,2022-11-30 18:21:00
Columbia,4,What company introduced the first LP record albums?  ,155,1.246,3,41443.39999997616,t,W,4437.9000000059605,48410.89999997616,52422.0,3,1405.7999999821186,55596.89999997616,HRV,HRV_0174,2022-11-30 18:21:00
cheese ,1,What item of food holds the world record for being the most stolen item of food in the world?,444,0.81,4,55596.89999997616,t,W,3849.9000000059605,61977.5,65996.89999997616,4,847.6000000238419,68189.89999997616,HRV,HRV_0174,2022-11-30 18:21:00
The U.S. Air Force,1,What current branch of the U.S. military was a corps of only 50 soldiers when World War I broke out?,161,0.542,5,68190.0,t,W,3571.0,74296.39999997616,78329.29999998212,2,545.7000000178814,79942.5,HRV,HRV_0174,2022-11-30 18:21:00
Nuclear Disarmament,3,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.479,6,79942.5,t,W,8019.899999976158,90487.69999998808,94507.79999998212,,,99051.39999997616,HRV,HRV_0174,2022-11-30 18:21:00
Canada,5,What's the only country to have hosted a Summer Olympics in which it didn't win a single medal?   ,308,1.091,7,99051.5,t,W,3222.2999999821186,104799.29999998212,108812.69999998808,4,1084.800000011921,111519.39999997616,HRV,HRV_0174,2022-11-30 18:21:00
Russia,7,Which country has the most public libraries?  ,339,1.033,8,111519.69999998808,q,S,4779.9000000059605,,,,,117854.59999999404,HRV,HRV_0174,2022-11-30 18:21:00
George Washington,3,Who is pictured on a US Purple Heart medal? ,368,0.772,9,117854.79999998212,t,W,3426.2000000178814,123807.89999997616,127825.29999998212,4,828.5,129940.39999997616,HRV,HRV_0174,2022-11-30 18:21:00
