Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Czechoslovakia,4,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.509,0,5305.199999809265,q,S,4535.700000047684,11879.5,,HRV,HRV_0262,2022-11-30 19:54:58
Ampersand (&),6,"What began as a ligature of the letters ""e"" and ""t""?",144,0.883,1,11879.5,q,S,4198.899999856949,17495.699999809265,,HRV,HRV_0262,2022-11-30 19:54:58
The I Ching,1,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",80,0.881,2,17495.799999952316,q,S,3845.5999999046326,22741.0,,HRV,HRV_0262,2022-11-30 19:54:58
Adobe,1,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,1.591,3,22741.0,q,S,4393.099999904633,29256.699999809265,,HRV,HRV_0262,2022-11-30 19:54:58
The crust and the mantle,5,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,1.959,4,29256.699999809265,q,S,3365.2000000476837,35103.59999990463,,HRV,HRV_0262,2022-11-30 19:54:58
The barrel of a gun,5,"According to Chairman Mao, ""political power grows out of"" what?",11,1.857,5,35103.59999990463,q,S,3078.9000000953674,40568.799999952316,,HRV,HRV_0262,2022-11-30 19:54:58
Uncle Tom's Cabin ,2,What was the first American novel to sell one million copies? ,281,1.081,6,40568.799999952316,p,K,2933.399999856949,45110.0,,HRV,HRV_0262,2022-11-30 19:54:58
Spiro Agnew ,6,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,1.503,7,45110.09999990463,q,S,3328.2000000476837,50476.39999985695,,HRV,HRV_0262,2022-11-30 19:54:58
An otter,6,What animal lives in a holt? ,133,1.358,8,50476.5,q,S,2329.5999999046326,54700.09999990463,,HRV,HRV_0262,2022-11-30 19:54:58
Oklahoma,7,"What U.S. state has the slogan ""Native America"" on its license plates?",271,0.836,9,54700.09999990463,p,K,3394.4000000953674,59469.59999990463,,HRV,HRV_0262,2022-11-30 19:54:58
The La Brea tar pits ,1,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.263,10,59469.799999952316,q,S,4801.200000047684,66065.5,,HRV,HRV_0262,2022-11-30 19:54:58
Happy Birthday,4,What was the first song ever performed in outer space? ,285,1.107,11,66065.59999990463,q,S,2653.2000000476837,70357.59999990463,,HRV,HRV_0262,2022-11-30 19:54:58
Pieces of Skylab fell there,4,"Why did the Shire of Esperance, in Western Australia, issue the United States a $400 fine for littering in 1979?",391,1.338,12,70357.69999980927,q,S,4337.600000143051,76569.19999980927,,HRV,HRV_0262,2022-11-30 19:54:58
Pen(n)sylvania ,1,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.243,13,76569.19999980927,q,S,4069.800000190735,82411.29999995232,,HRV,HRV_0262,2022-11-30 19:54:58
The World Almanac and Book of Facts,2,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.563,14,82411.29999995232,p,K,4972.0,89472.5,,HRV,HRV_0262,2022-11-30 19:54:58
Pressure,1,What is measured in millibars? ,202,1.05,15,89472.59999990463,q,S,2206.2999999523163,93275.19999980927,,HRV,HRV_0262,2022-11-30 19:54:58
Pig,4,What is the only type of animal besides a human that can get a sunburn?,212,0.601,16,93275.19999980927,q,S,4164.5,98576.59999990463,,HRV,HRV_0262,2022-11-30 19:54:58
George H.W. Bush ,6,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,1.109,17,98576.69999980927,q,S,2870.300000190735,103087.79999995232,,HRV,HRV_0262,2022-11-30 19:54:58
"Gail Borden, Jr. ",6,Who invented condensed milk in 1856? ,414,0.897,18,103087.89999985695,q,S,1751.7000000476837,106259.69999980927,,HRV,HRV_0262,2022-11-30 19:54:58
Vietnam,7,"In what country did the domesticated ""potbellied pig"" originate?",61,1.225,19,106259.69999980927,q,S,2724.100000143051,110734.79999995232,,HRV,HRV_0262,2022-11-30 19:54:58
Espresso,3,The Italian government regulates the price of what beverage?,399,0.941,20,110734.89999985695,q,S,3448.7000000476837,115644.19999980927,,HRV,HRV_0262,2022-11-30 19:54:58
