Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Columbia,1,What company introduced the first LP record albums?  ,155,1.57,0,3865.7000000029802,13397.79999999702,,,,,,,,HRV,HRV_0296,2022-11-30 20:55:16
NY,7,In which state was the first execution by electric chair?  ,70,1.604,1,13397.79999999702,22445.89999999106,q,S,6919.9000000059605,,,,,HRV,HRV_0296,2022-11-30 20:55:16
C,6,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",71,1.685,2,22446.20000000298,28233.29999999702,q,S,3583.3999999910593,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Belgium,1,Where were French fries invented?,437,1.028,3,28233.29999999702,43557.79999999702,t,W,6021.29999999702,36771.79999999702,40780.39999999106,4,1208.5,HRV,HRV_0296,2022-11-30 20:55:16
Tse-tse fly,5,What transmits the disease typanosomiasis to humans and cattle? ,267,1.965,4,43557.89999999106,48995.59999999404,q,S,2935.7000000029802,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Pinko,6,What five-letter word did Time magazine coin in 1926 to refer to left-leaners? ,177,0.876,5,48995.70000000298,53858.5,q,S,3473.8999999910593,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Habanero,1,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.184,6,53858.79999999702,61557.20000000298,q,S,5975.0,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Turkey,2,Which animal was named for what was wrongly thought to be its country of origin? ,326,1.239,7,61557.29999999702,67403.20000000298,q,S,4077.4000000059605,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Temple Prostitute,7,"Anciently, what was the job description of a ""hierodule""?",21,1.102,8,67403.5,71587.0,q,S,2542.8999999910593,,,,,HRV,HRV_0296,2022-11-30 20:55:16
8 Mile Road ,6,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",254,0.7,9,71587.5,76973.0,q,S,4156.79999999702,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Columbus Circle ,4,What Manhattan intersection was America's first traffic circle?,228,1.514,10,76973.0,81298.0,q,S,2292.8999999910593,,,,,HRV,HRV_0296,2022-11-30 20:55:16
cooking,4,"If you suffer from Mageirocophobia, what are you scared of?",438,1.177,11,81298.0,86714.59999999404,q,S,3716.0999999940395,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Joan of Arc's ,4,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,1.316,12,86714.70000000298,90975.20000000298,q,S,2421.0,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Eric the Red,3,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,1.439,13,90975.29999999702,96043.5,q,S,3106.0,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Sao Paulo,1,What's the most populous city in the Southern Hemisphere?,304,1.022,14,96043.5,111267.29999999702,t,W,4127.20000000298,102704.39999999106,106722.79999999702,2,3002.0999999940395,HRV,HRV_0296,2022-11-30 20:55:16
Paper,6,"What invention should make Ts'ai Lun, a second-century inventor, a household name? ",191,1.351,15,111267.29999999702,116835.20000000298,q,S,3687.9000000059605,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Chitty Chitty Bang Bang ,7,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.08,16,116835.20000000298,121689.89999999106,q,S,3252.699999988079,,,,,HRV,HRV_0296,2022-11-30 20:55:16
Eddie Van Halen,4,"Who performs the guest guitar solo on Michael Jackson's ""Beat It""?  ",371,1.568,17,121690.09999999404,127090.29999999702,q,S,3309.7000000029802,,,,,HRV,HRV_0296,2022-11-30 20:55:16
