Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Darwin's,7,"For his tenacity, 19th century biologist Thomas Huxley was nicknamed whose ""bulldog""?",40,1.56,0,2403.600000023842,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 2466, 'date time': 1669836743820}]",11917.5,,,,,,,,HRV,HRV_0259,2022-11-30 19:42:25
Arthur Conan Doyle,3,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,0.761,1,11917.5,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 20465.600000023842, 'date time': 1669836761820}]",21428.800000071526,,,,,,,,HRV,HRV_0259,2022-11-30 19:42:25
Hey Jude,7,What Beatles song lasted the longest on the American charts? ,143,0.839,2,21428.800000071526,,26214.900000095367,p,K,3427.600000023842,,,,,HRV,HRV_0259,2022-11-30 19:42:25
potein,6,"What nutrient comes from meat, eggs, and fish?",433,1.129,3,26214.900000095367,,29867.100000023842,p,K,2009.3999999761581,,,,,HRV,HRV_0259,2022-11-30 19:42:25
Adam,1,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.227,4,29867.100000023842,,35463.200000047684,p,K,3843.8000000715256,,,,,HRV,HRV_0259,2022-11-30 19:42:25
Theodore Roosevelt ,1,"What former president coined the phrase ""lunatic fringe"" to refer to the wackos in his own reform movement?",178,0.744,5,35463.200000047684,,39244.60000002384,q,S,2521.0,,,,,HRV,HRV_0259,2022-11-30 19:42:25
Teeth,2,"One in every 2,000 babies is born with what? ",77,1.333,6,39244.700000047684,,43554.60000002384,q,S,2461.2000000476837,,,,,HRV,HRV_0259,2022-11-30 19:42:25
The Big Bang,1,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,1.387,7,43554.700000047684,,49524.5,p,K,4068.0,,,,,HRV,HRV_0259,2022-11-30 19:42:25
Tobacco,3,"In 2005, Bhutan became the first country to entirely ban what?",57,0.516,8,49524.5,,53595.10000002384,q,S,3043.100000023842,,,,,HRV,HRV_0259,2022-11-30 19:42:25
Avocado,3,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,0.598,9,53595.200000047684,,70174.40000009537,t,W,5530.299999952316,61647.5,65655.10000002384,,,HRV,HRV_0259,2022-11-30 19:42:25
