Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Honey,6,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,0.616,0,2239.5,11751.799999952316,,,,,,,,HRV,HRV_0264,2022-11-30 19:52:16
The Guinness Book of World Records,6,What did Ross and Norris McWhirter compile as a promotional giveaway in 1955? ,164,1.702,1,11751.799999952316,17368.10000014305,q,S,3407.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Liberia,6,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",27,1.469,2,17368.10000014305,23295.400000095367,q,S,3950.2999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Turkey,1,Which animal was named for what was wrongly thought to be its country of origin? ,326,1.576,3,23295.5,28943.60000014305,q,S,3559.2999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Mung beans ,7,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.373,4,28943.60000014305,34623.799999952316,q,S,3798.2999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Ozone,2,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,0.614,5,34623.90000009537,53223.60000014305,t,W,7558.5,44696.5,48711.90000009537,,,HRV,HRV_0264,2022-11-30 19:52:16
It's stamped on the coin's edge.,4,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,0.703,6,53223.60000014305,69823.40000009537,t,W,5902.899999856949,61640.200000047684,65650.20000004768,1,2963.2000000476837,HRV,HRV_0264,2022-11-30 19:52:16
The Stanley Cup ,3,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,1.885,7,69823.5,76495.70000004768,q,S,4278.799999952316,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Bolivia,6,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,1.161,8,76495.70000004768,89856.20000004768,t,W,4469.900000095367,83480.10000014305,87490.0,4,692.1000001430511,HRV,HRV_0264,2022-11-30 19:52:16
Rabbit,2,What kind of animal attacked Jimmy Carter during an April 1979 fishing trip?   ,221,0.693,9,89856.29999995232,96327.60000014305,p,K,5269.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Paris,1,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,0.705,10,96327.60000014305,101767.79999995232,p,K,4222.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
honey,3,Which is the only food that can never go off or go bad?,442,0.928,11,101767.79999995232,113959.40000009537,t,W,3613.600000143051,107896.20000004768,111906.0,5,611.7999999523163,HRV,HRV_0264,2022-11-30 19:52:16
Orville Wright,2,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.777,12,113959.40000009537,120183.60000014305,q,S,3933.5,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Louisiana's,6,What U.S. state's civil law is most closely based on the Napoleonic Code?  ,272,1.748,13,120183.70000004768,127944.10000014305,q,S,5502.099999904633,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Walt Disney,7,Which person has been awarded the most Oscars ever? ,349,1.701,14,127944.10000014305,133496.20000004768,p,K,3341.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Aluminum,5,Bauxite ore is mined so it can be processed into what metal?,25,0.897,15,133496.20000004768,137063.40000009537,q,S,2156.7999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
The crust and the mantle,7,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,1.331,16,137063.40000009537,142247.60000014305,q,S,3342.0999999046326,,,,,HRV,HRV_0264,2022-11-30 19:52:16
A Spoonful of Sugar ,3,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,0.939,17,142247.70000004768,149247.90000009537,p,K,5549.200000047684,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Your blind spot,6,What's the more common name for the retinal scotoma caused by the optic nerve? ,303,0.68,18,149247.90000009537,153568.10000014305,q,S,3125.2999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Smoke,5,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?",52,0.887,19,153568.20000004768,159239.40000009537,p,K,4276.599999904633,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Joan of Arc's ,5,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,0.912,20,159239.40000009537,165303.60000014305,q,S,4637.799999952316,,,,,HRV,HRV_0264,2022-11-30 19:52:16
The Leek ,6,"What bulb vegetable is traditionally worn on Saint David's Day, as it's a national symbol of Wales?",145,1.822,21,165303.60000014305,173135.90000009537,q,S,5500.599999904633,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Hippopotamus ,6,Which wild mammal in Africa has killed the highest number of people? ,358,0.798,22,173135.90000009537,178000.10000014305,p,K,3557.0999999046326,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Ciabatta,2,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,0.832,23,178000.10000014305,191287.90000009537,t,W,4804.399999856949,185319.70000004768,189329.29999995232,4,611.4000000953674,HRV,HRV_0264,2022-11-30 19:52:16
Avocados have twice the amount of potassium as bananas. ,5,Which fruit has more potassium than bananas?,455,0.845,24,191287.90000009537,207119.40000009537,t,W,4796.0,198600.29999995232,202609.70000004768,,,HRV,HRV_0264,2022-11-30 19:52:16
San Fancisco,5,"""Dear Abby"" first appeared in a newspaper of what city?",2,0.806,25,207119.40000009537,210728.10000014305,q,S,2292.2999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Hawaii,4,Where is the only royal palace in the United States? ,321,1.935,26,210728.29999995232,216143.90000009537,q,S,2972.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Montenegro,1,What European country is named for the dark-looking Dinaric Alps? ,173,0.731,27,216144.0,219840.0,q,S,2451.7000000476837,,,,,HRV,HRV_0264,2022-11-30 19:52:16
C,7,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",71,0.765,28,219840.0,226064.29999995232,p,K,4948.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
"A peanut is a legume, not a nut",4,What type of food is a peanut?,447,1.507,29,226064.29999995232,230439.60000014305,q,S,2355.300000190735,,,,,HRV,HRV_0264,2022-11-30 19:52:16
"Intercourse, Pennsylvania",2,"What Amish country village in Pennsylvania, where ""Witness"" was filmed, is a frequent victim of street-sign theft?",130,0.618,30,230439.60000014305,237295.90000009537,q,S,5724.599999904633,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Rhesus antigens (Rh or RhD),4,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,0.981,31,237295.90000009537,251655.5,t,W,4851.5,244664.29999995232,248673.70000004768,3,1489.7000000476837,HRV,HRV_0264,2022-11-30 19:52:16
On Christ's crucifix ,1,"Where did the abbreviation ""INRI"" traditionally appear? ",315,0.5,32,251655.5,255415.60000014305,q,S,2748.100000143051,,,,,HRV,HRV_0264,2022-11-30 19:52:16
pastry,2,Choux and filo are two types of what food product?,446,0.983,33,255415.60000014305,258503.70000004768,q,S,1596.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Rooster,5,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,1.67,34,258503.70000004768,264168.0,q,S,3484.0999999046326,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Let's spend some time together,5,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.37,35,264168.0,271344.2999999523,q,S,5291.100000143051,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Green Eggs and Ham,5,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.472,36,271344.40000009537,278151.7000000477,q,S,4819.399999856949,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Delaware,7,"Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?",38,1.577,37,278151.7000000477,285944.0,p,K,5707.099999904633,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Museum of Modern Art in NYC ,4,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.62,38,285944.0,290376.10000014305,q,S,2299.600000143051,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Dark Side of the Moon,7,What album spent a record 741 weeks on Billboard's Top 200 Albums chart? ,129,0.735,39,290376.10000014305,296079.40000009537,p,K,4459.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
South Africa,1,In what country was the largest rough diamond ever discovered?,62,1.156,40,296079.40000009537,300407.60000014305,p,K,2659.7999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Ohio,4,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,0.75,41,300407.60000014305,305935.90000009537,p,K,4267.299999952316,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Gabriele Falloppio ,5,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.538,42,305935.90000009537,312008.10000014305,q,S,4003.899999856949,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Tim McGraw,3,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,1.279,43,312008.10000014305,318447.40000009537,p,K,4650.5,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Cayenne pepper ,7,What spice is named for the capital of French Guiana? ,409,0.724,44,318447.40000009537,321975.5,q,S,2291.899999856949,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Mushrooms which have been exposed to light,6,What is the only non-animal natural source of vitamin D?,459,0.908,45,321975.5,326231.7999999523,q,S,2842.9000000953674,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Traffic lights,5,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",113,0.538,46,326231.7999999523,329719.90000009537,q,S,2442.4000000953674,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Shenandoah Valley,7,What area changed hands 72 times during the Civil War? ,139,1.891,47,329719.90000009537,335880.10000014305,q,S,3755.2000000476837,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Steamboat Geyser,5,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,0.885,48,335880.2000000477,339648.2000000477,p,K,2378.4000000953674,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Kidnapping and killing the Lindbergh baby,1,For what crime was Bruno Hauptmann executed in 1936?,41,1.629,49,339648.2999999523,343943.60000014305,q,S,2162.300000190735,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Carbon,3,What element must be burned out of pig iron to make steel? ,170,1.426,50,343943.60000014305,348231.7999999523,q,S,2347.5,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Oregon ,6,"The world's smallest park, measuring two feet in diameter, is located in what U.S. state? ",112,0.623,51,348231.7999999523,352439.90000009537,q,S,3082.5,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Anaconda,6,Which species of snake gives birth to its young instead of laying eggs?  ,353,1.653,52,352439.90000009537,357552.0,q,S,2954.5,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,1,Whice fruit is effective than coffee at waking you up in the morning?,454,0.706,53,357552.0,362431.7000000477,q,S,3666.7999999523163,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Grace Kelly ,7,What was the name of the American actress who was first to appear on a postage stamp?  ,288,0.535,54,362431.7000000477,366815.60000014305,p,K,3346.0999999046326,,,,,HRV,HRV_0264,2022-11-30 19:52:16
It sits beside the Finger Lakes ,4,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,1.844,55,366815.60000014305,371679.7000000477,q,S,2514.199999809265,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Nutmeg,1,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.971,56,371679.7999999523,375527.90000009537,q,S,2370.300000190735,,,,,HRV,HRV_0264,2022-11-30 19:52:16
School buses were painted yellow,2,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,9,1.486,57,375527.90000009537,380504.0,q,S,2986.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Thomas Hardy,7,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,1.407,58,380504.10000014305,387103.5,q,S,4682.5,,,,,HRV,HRV_0264,2022-11-30 19:52:16
popscicle,3,What food was invented by an 11 year old in 1905?,450,1.07,59,387103.5,391095.60000014305,q,S,2418.0,,,,,HRV,HRV_0264,2022-11-30 19:52:16
over 10 billion donuts. ,2,How many donuts are concumed in the US every year?,463,1.568,60,391095.7000000477,395951.90000009537,q,S,2777.9000000953674,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Gary Busey,7,What actor campaigned against helmet laws until he was almost killed in a helmetless 1988 motorcycle accident?,127,0.802,61,395951.90000009537,401343.90000009537,p,K,4082.0999999046326,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Adobe,6,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,1.55,62,401344.0,406680.2000000477,q,S,3281.7000000476837,,,,,HRV,HRV_0264,2022-11-30 19:52:16
Peregrine falcon,1,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,1.28,63,406680.2000000477,412415.60000014305,q,S,3945.9000000953674,,,,,HRV,HRV_0264,2022-11-30 19:52:16
