Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Cayenne pepper ,6,What spice is named for the capital of French Guiana? ,409,1.384,0,1389.5,q,S,2228.5999999940395,5532.19999999553,HRV,HRV_0316,2022-11-30 22:48:19
Green Eggs and Ham,4,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.001,1,5532.19999999553,q,S,1742.8999999985099,8803.19999999553,HRV,HRV_0316,2022-11-30 22:48:19
Canadian Oil,6,What is canola an abbreviation for?,436,0.652,2,8803.19999999553,q,S,1759.1000000014901,11734.09999999404,HRV,HRV_0316,2022-11-30 22:48:19
Tobacco,6,"In 2005, Bhutan became the first country to entirely ban what?",57,1.441,3,11734.09999999404,q,S,2109.10000000149,15815.5,HRV,HRV_0316,2022-11-30 22:48:19
The U.S. Air Force,4,What current branch of the U.S. military was a corps of only 50 soldiers when World War I broke out?,161,0.647,4,15815.5,q,S,1863.8999999985099,18855.5,HRV,HRV_0316,2022-11-30 22:48:19
Bookkeeper,7,What is the only English word with three consecutive double letters?  ,209,1.814,5,18855.5,q,S,2568.0,23758.39999999851,HRV,HRV_0316,2022-11-30 22:48:19
Cadabra.com ,7,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,1.393,6,23758.5,q,S,2327.5,28003.09999999404,HRV,HRV_0316,2022-11-30 22:48:19
Russia,3,Which country has the most public libraries?  ,339,1.136,7,28003.09999999404,q,S,1927.0,31583.09999999404,HRV,HRV_0316,2022-11-30 22:48:19
Sri Lanka,6,Ninety percent of the world's true cinnamon comes from what island nation? ,74,1.844,8,31583.19999999553,q,S,1553.5,35495.39999999851,HRV,HRV_0316,2022-11-30 22:48:19
" ""!"" ",5,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?",35,1.249,9,35495.5,q,S,1542.5,38807.39999999851,HRV,HRV_0316,2022-11-30 22:48:19
honey,2,Which is the only food that can never go off or go bad?,442,1.511,10,38807.5,q,S,1575.5999999940395,42414.0,HRV,HRV_0316,2022-11-30 22:48:19
It sits beside the Finger Lakes ,4,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,1.246,11,42414.0,q,S,1591.1999999955297,45782.0,HRV,HRV_0316,2022-11-30 22:48:19
Holy Roman Emperor Henry IV ,2,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.378,12,45782.0,q,S,1788.5,49472.0,HRV,HRV_0316,2022-11-30 22:48:19
Brazil,2,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,1.692,13,49472.0,q,S,3040.5999999940395,54713.09999999404,HRV,HRV_0316,2022-11-30 22:48:19
lobster,3,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.531,14,54713.19999999553,q,S,2072.10000000149,58835.59999999404,HRV,HRV_0316,2022-11-30 22:48:19
Throat,7,Where in the human body is the only bone that is not jointed to another?  ,317,0.566,15,58835.59999999404,p,K,3706.5,63631.09999999404,HRV,HRV_0316,2022-11-30 22:48:19
Your blind spot,5,What's the more common name for the retinal scotoma caused by the optic nerve? ,303,1.538,16,63631.19999999553,q,S,2752.89999999851,68432.5,HRV,HRV_0316,2022-11-30 22:48:19
Montenegro,2,What European country is named for the dark-looking Dinaric Alps? ,173,0.546,17,68432.5,q,S,1524.7999999970198,71031.09999999404,HRV,HRV_0316,2022-11-30 22:48:19
The Big Bang,7,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,1.651,18,71031.09999999404,q,S,2731.0,75931.19999999553,HRV,HRV_0316,2022-11-30 22:48:19
The Stanley Cup ,5,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,0.922,19,75931.29999999702,q,S,3511.89999999851,80894.29999999702,HRV,HRV_0316,2022-11-30 22:48:19
Spiro Agnew ,5,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,1.002,20,80894.29999999702,q,S,1528.0,83941.69999999553,HRV,HRV_0316,2022-11-30 22:48:19
Ian Thorpe ,5,Who outgrew a childhood chlorine allergy to become the biggest Olympic medal winner in Australian history? ,370,1.408,21,83941.79999999702,q,S,2367.2000000029802,88242.09999999404,HRV,HRV_0316,2022-11-30 22:48:19
