Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
The popsicle,6,Which popular treat was invented by an 11-year-old in California? ,413,1.117,0,2929.10000000149,q,S,2275.89999999851,6834.5,,HRV,HRV_0053,2022-11-30 17:37:33
Echinoderms,6,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.165,1,6834.699999999255,q,S,4738.300000000745,13244.10000000149,,HRV,HRV_0053,2022-11-30 17:37:33
Choking on food,1,"Each year, approximately 125 people die of what? ",417,1.727,2,13244.10000000149,q,S,3175.599999997765,18652.60000000149,,HRV,HRV_0053,2022-11-30 17:37:33
Love Me Do ,7,What was The Beatles's first song to hit the UK charts?,280,1.699,3,18652.60000000149,q,S,1678.0,22535.300000000745,,HRV,HRV_0053,2022-11-30 17:37:33
Adding olive juice,2,What turns a plain martini into a dirty martini?,440,1.796,4,22535.300000000745,q,S,2234.10000000149,27075.0,,HRV,HRV_0053,2022-11-30 17:37:33
Joan of Arc's ,5,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,1.157,5,27075.0,q,S,2305.800000000745,31043.199999999255,,HRV,HRV_0053,2022-11-30 17:37:33
Sapphire,3,What type of stone is referred to as the Star of India?  ,270,1.933,6,31043.199999999255,q,S,2019.300000000745,35507.10000000149,,HRV,HRV_0053,2022-11-30 17:37:33
popscicle,3,What food was invented by an 11 year old in 1905?,450,1.382,7,35507.10000000149,q,S,2730.300000000745,40125.199999999255,,HRV,HRV_0053,2022-11-30 17:37:33
The evacuation of Saigon,5,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",6,0.689,8,40125.300000000745,q,S,2162.10000000149,43486.900000002235,,HRV,HRV_0053,2022-11-30 17:37:33
Theodore Roosevelt ,7,"What former president coined the phrase ""lunatic fringe"" to refer to the wackos in his own reform movement?",178,0.799,9,43486.900000002235,q,S,3520.5,48318.699999999255,,HRV,HRV_0053,2022-11-30 17:37:33
Anne Hathaway,4,What was the name of William Shakespeare's wife?  ,290,1.244,10,48318.800000000745,q,S,4393.800000000745,54468.199999999255,,HRV,HRV_0053,2022-11-30 17:37:33
Excalibur,2,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",14,1.181,11,54468.199999999255,q,S,4363.10000000149,60520.10000000149,,HRV,HRV_0053,2022-11-30 17:37:33
USA,5,Which country invented volleyball?   ,340,1.952,12,60520.10000000149,q,S,1616.8999999985099,64597.199999999255,,HRV,HRV_0053,2022-11-30 17:37:33
Yellow,6,What color is insect blood? ,150,1.873,13,64597.199999999255,q,S,2181.5,69158.30000000075,,HRV,HRV_0053,2022-11-30 17:37:33
"the Red Hot Chili Peppers, followed closely by Meatloaf",6,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.181,14,69158.40000000224,q,S,2601.199999999255,73450.90000000224,,HRV,HRV_0053,2022-11-30 17:37:33
A Spoonful of Sugar ,5,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.599,15,73450.90000000224,q,S,5074.89999999851,80630.0,,HRV,HRV_0053,2022-11-30 17:37:33
Thomas Crapper,5,What was the unfortunate name of the plumber who helped popularize and improve the flush toilet? ,294,1.397,16,80630.10000000149,q,S,2885.300000000745,85422.5,"[{'event': 'visibilitychange', 'details': 'hidden', 'performance time': 81927.90000000224, 'date time': 1669829331456}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 82122.69999999925, 'date time': 1669829331651}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 82511.40000000224, 'date time': 1669829332040}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 83091.80000000075, 'date time': 1669829332620}]",HRV,HRV_0053,2022-11-30 17:37:33
Sri Lanka,3,Ninety percent of the world's true cinnamon comes from what island nation? ,74,1.299,17,85422.5,q,S,1653.6000000014901,88887.40000000224,,HRV,HRV_0053,2022-11-30 17:37:33
Spiro Agnew ,4,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,1.866,18,88887.40000000224,q,S,2687.5,93950.69999999925,,HRV,HRV_0053,2022-11-30 17:37:33
Bright red,1,Vitamin A is largely available in natural food sources with which colour?,448,0.662,19,93950.80000000075,q,S,4300.800000000745,99418.30000000075,,HRV,HRV_0053,2022-11-30 17:37:33
"the white flesh that houses the seeds, known as the placenta",5,What is the hottest part of a chili?,432,0.752,20,99418.30000000075,q,S,3368.0,104047.5,,HRV,HRV_0053,2022-11-30 17:37:33
The Mona Lisa,3,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,0.781,21,104047.5,q,S,1754.800000000745,107092.30000000075,,HRV,HRV_0053,2022-11-30 17:37:33
60 fragments per 100 gram ,4,What amount of insects does the FDA allow in chocolate,453,1.053,22,107092.40000000224,q,S,1911.699999999255,110567.69999999925,,HRV,HRV_0053,2022-11-30 17:37:33
the skin and bones of animals,1,What is gelatin made from?,445,0.843,23,110567.80000000075,q,S,2909.89999999851,114828.10000000149,,HRV,HRV_0053,2022-11-30 17:37:33
Australia,6,What country has six sheep for every human? ,158,1.948,24,114828.10000000149,q,S,2140.199999999255,119422.90000000224,,HRV,HRV_0053,2022-11-30 17:37:33
A glacial ridge,3,What is an esker? ,198,1.104,25,119422.90000000224,q,S,6669.699999999255,127708.0,,HRV,HRV_0053,2022-11-30 17:37:33
Giant squid,1,Which animal can have eyes that are a foot in diameter? ,324,0.774,26,127708.10000000149,q,S,2925.5,131917.69999999925,,HRV,HRV_0053,2022-11-30 17:37:33
Luxor,5,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,0.581,27,131917.69999999925,q,S,4991.20000000298,138001.0,,HRV,HRV_0053,2022-11-30 17:37:33
Library of Congress,3,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",48,0.824,28,138001.0,q,S,4076.5,143412.5,,HRV,HRV_0053,2022-11-30 17:37:33
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",1,Cooking which food requires over two years of training?,461,1.85,29,143412.5,q,S,2935.60000000149,148703.40000000224,,HRV,HRV_0053,2022-11-30 17:37:33
Pancreas,5,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,1.465,30,148703.40000000224,q,S,2015.2999999970198,152692.80000000075,,HRV,HRV_0053,2022-11-30 17:37:33
Fiber is the gut bacteria's preferred fuel source. ,1,What food is most beneficial for your gut bacteria?,458,1.852,31,152692.80000000075,q,S,5089.0,160145.0,,HRV,HRV_0053,2022-11-30 17:37:33
Avocados have twice the amount of potassium as bananas. ,7,Which fruit has more potassium than bananas?,455,1.959,32,160145.0,,,,171016.90000000224,"[{'event': 'visibilitychange', 'details': 'hidden', 'performance time': 162398.19999999925, 'date time': 1669829411929}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 162610.90000000224, 'date time': 1669829412142}]",HRV,HRV_0053,2022-11-30 17:37:33
