Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
The sky,2,The Linke Scale is used to measure the blueness of what?,101,0.704,0,4935.300000011921,t,W,5373.699999988079,12846.800000011921,16857.5,3,531.6000000238419,18623.600000023842,HRV,HRV_0156,2022-11-30 18:34:12
The Loch Ness Monster,2,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.093,1,18623.70000001788,q,S,8996.799999982119,,,,,29229.40000000596,HRV,HRV_0156,2022-11-30 18:34:12
San Fancisco,6,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.615,2,29229.5,q,S,5403.5,,,,,36761.30000001192,HRV,HRV_0156,2022-11-30 18:34:12
Louie Louie,1,What 1963 song led to a thirty-one month FBI investigation into supposed obscenities hidden in its unintelligible lyrics?,122,1.283,3,36761.30000001192,t,W,7102.0,46387.0,50402.10000002384,3,1241.199999988079,53440.90000000596,HRV,HRV_0156,2022-11-30 18:34:12
Kayak,7,An umiak is a larger version of what? ,20,1.587,4,53440.90000000596,q,S,3748.0,,,,,59309.10000002384,HRV,HRV_0156,2022-11-30 18:34:12
Two of the seven cities of gold,2,What are Quivira and Cibola?  ,136,0.791,5,59309.10000002384,,,,,,,,68832.10000002384,HRV,HRV_0156,2022-11-30 18:34:12
Joeys,5,What are infant marsupials called?  ,135,0.716,6,68832.10000002384,q,S,4094.199999988079,,,,,74163.0,HRV,HRV_0156,2022-11-30 18:34:12
Dutch Oven,1,"What kind of ""oven"" is the official state cooking pot of Utah? ",220,1.201,7,74163.10000002384,q,S,3078.199999988079,,,,,78960.5,HRV,HRV_0156,2022-11-30 18:34:12
Bono ,3,What singer took his stage name from a Dublin hearing aid billboard?  ,257,0.642,8,78960.5,q,S,5132.0,,,,,85278.20000001788,HRV,HRV_0156,2022-11-30 18:34:12
Draw,1,What does a screever do on a sidewalk? ,167,0.753,9,85278.20000001788,q,S,3350.9000000059605,,,,,89912.0,HRV,HRV_0156,2022-11-30 18:34:12
Graham Greene,6,"Which British novelist said, ""Fame is a powerful aphrodisiac""?",332,0.85,10,89912.0,q,S,3500.9000000059605,,,,,94779.10000002384,HRV,HRV_0156,2022-11-30 18:34:12
cheese ,2,What item of food holds the world record for being the most stolen item of food in the world?,444,0.707,11,94779.20000001788,t,W,4480.5,101783.20000001788,105796.5,4,1178.1000000238419,108192.70000001788,HRV,HRV_0156,2022-11-30 18:34:12
Come by her,6,"The title of the song ""Kumbaya"" is actually a distortion of what three-word phrase?",106,0.972,12,108192.70000001788,q,S,4015.199999988079,,,,,113717.80000001192,HRV,HRV_0156,2022-11-30 18:34:12
Mars,4,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,316,1.345,13,113717.90000000596,q,S,5283.0999999940395,,,,,120873.30000001192,HRV,HRV_0156,2022-11-30 18:34:12
Bumblebee bat,2,"Which mammal is the world's smallest, weighing less than a penny? ",347,0.503,14,120873.30000001192,q,S,4922.4000000059605,,,,,126833.40000000596,HRV,HRV_0156,2022-11-30 18:34:12
potein,2,"What nutrient comes from meat, eggs, and fish?",433,0.654,15,126833.40000000596,p,K,3800.4000000059605,,,,,131809.0,HRV,HRV_0156,2022-11-30 18:34:12
Sweden,4,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,1.178,16,131809.0,q,S,6816.800000011921,,,,,140320.5,HRV,HRV_0156,2022-11-30 18:34:12
